compound,nib,quine,vir,similarity,meansim,nas
Fedratinib,0.74,0.5342,0.4017,-0.3222,0.5586333333333333,0
Vorinostat,0.7059,0.7269,0.5397,-0.3224,0.6575,0
BIX01294,0.7022,0.4987,0.4624,-0.3338,0.5544333333333333,0
CHEMBL2141722,0.6906,NA,0.3454,-0.323,0.518,1
"Trichostatin A, Streptomyces Sp.",0.687,0.5017,0.5172,-0.3253,0.5686333333333333,0
Canertinib,0.6699,0.6538,0.4174,-0.3397,0.5803666666666667,0
Bosutinib,0.6571,0.5772,0.4221,-0.3231,0.5521333333333334,0
CHEMBL2136735,0.6562,0.6237,0.5003,-0.3315,0.5934,0
CHEMBL1673039,0.6544,0.6826,0.6268,-0.3507,0.6546,0
1268524-70-4,0.654,0.4761,0.3502,-0.3216,0.49343333333333333,0
PFI-1,0.6386,0.6442,0.3881,-0.3772,0.5569666666666666,0
LRRK2-IN-1,0.6358,0.5759,0.4246,-0.3411,0.5454333333333333,0
5-Nonyloxytryptamine,0.6198,0.3871,NA,-0.3255,0.50345,1
I-BET151,0.6198,0.4331,0.3525,-0.3297,0.46846666666666664,0
CHEMBL2142321,0.6176,0.3601,0.3505,-0.3596,0.4427333333333333,0
Wortmannin,0.6143,0.6268,0.5301,-0.3222,0.5904,0
BI-2536,0.6132,0.6482,0.3813,-0.3241,0.5475666666666666,0
GSK-1070916,0.612,0.6366,0.4767,-0.3536,0.5751000000000001,0
6266-99-5,0.6104,NA,0.3765,-0.3272,0.49345000000000006,1
GSK 525762A,0.6088,0.6901,0.4311,-0.3306,0.5766666666666667,0
"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",0.6067,0.7712,0.5321,-0.3258,0.6366666666666667,0
SCHEMBL2608041,0.6026,0.507,0.3703,-0.4645,0.4933,0
Rottlerin,0.6021,0.5542,0.3566,-0.327,0.5043,0
Zuclomiphene,0.5971,0.6092,0.3487,-0.3761,0.5183333333333333,0
FR-180204,0.5847,0.7462,0.5003,-0.3787,0.6103999999999999,0
ML228,0.5817,0.331,NA,-0.4044,0.45635000000000003,1
Dacinostat,0.5756,0.3803,0.4293,-0.3659,0.46173333333333333,0
Etoposide,0.5736,0.4129,NA,-0.3259,0.49324999999999997,1
Pictilisib,0.5686,0.5535,0.4548,-0.3434,0.5256333333333333,0
AT 7867,0.5635,0.5896,0.4795,-0.4757,0.5442,0
Abexinostat,0.5624,0.4868,NA,-0.3221,0.5246,1
Bithionol,0.5564,0.4912,NA,-0.3781,0.5238,1
KU0060648,0.5553,0.4452,0.3667,-0.3731,0.4557333333333333,0
Quinacrine,0.5539,0.6349,0.4839,-0.3432,0.5575666666666667,0
Thioridazine,0.5439,0.56,0.4063,-0.3264,0.5034000000000001,0
PF431396,0.541,0.753,0.4339,-0.3921,0.5759666666666667,0
Cediranib,0.5395,0.5545,0.396,-0.3242,0.49666666666666665,0
Pracinostat,0.5387,0.5328,0.3264,-0.3457,0.4659666666666667,0
Panobinostat,0.5384,0.4489,0.3525,-0.3233,0.4466,0
Pitavastatin Calcium,0.5362,0.441,NA,-0.329,0.48860000000000003,1
Amitriptyline,0.5344,0.5326,0.3485,-0.3878,0.4718333333333333,0
Obatoclax,0.5339,0.5017,NA,-0.347,0.5178,1
Thiothixene,0.5285,0.768,0.4365,-0.3314,0.5776666666666667,0
HG-14-10-04,0.5273,0.6212,0.4588,-0.3439,0.5357666666666666,0
CHEMBL2333343,0.5164,0.4329,0.3404,-0.3408,0.4299,0
CHEMBL1083527,0.5098,0.6353,0.4485,-0.3661,0.5312,0
apigenin,0.5083,0.5695,0.4543,-0.3324,0.5106999999999999,0
SU 11274,0.5074,0.5115,0.4194,-0.3249,0.4794333333333333,0
Tubastatin A,0.5057,0.5703,0.3437,-0.3338,0.47323333333333334,0
TAE-684,0.5033,0.6865,0.5294,-0.3235,0.5730666666666666,0
WH-4-025,0.5021,0.6239,0.4496,-0.3257,0.5252,0
HY-11007,0.4975,0.7622,0.4374,-0.3264,0.5657,0
Radicicol,0.497,0.687,0.6343,-0.3459,0.6061,0
"4,11-Diethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione",0.4956,0.4369,0.5877,-0.3277,0.5067333333333334,0
ITK Inhibitor,0.4911,0.536,0.3948,-0.4398,0.47396666666666665,0
BRD-K01425431,0.4906,0.618,0.4663,-0.3382,0.5249666666666667,0
ZSTK 474,0.4891,0.537,0.4601,-0.3246,0.4954,0
WZ-4-145,0.4888,0.3599,NA,-0.4189,0.42435,1
CHEMBL2360506,0.4849,NA,0.3569,-0.3742,0.4209,1
Saracatinib,0.4838,0.7788,0.3918,-0.3664,0.5514666666666667,0
Dasatinib,0.4828,0.7183,0.5738,-0.3213,0.5916333333333333,0
amcinonide,0.48,0.6636,0.5153,-0.3527,0.5529666666666666,0
CHEMBL2135770,0.4774,0.3286,NA,-0.3689,0.403,1
Atorvastatin,0.475,0.4482,NA,-0.3215,0.4616,1
Pevonedistat,0.4741,0.621,0.4315,-0.3249,0.5088666666666667,0
GDC-0980 (RG7422),0.4735,0.5225,NA,-0.3289,0.498,1
PI-103,0.4733,0.7115,0.4279,-0.3323,0.5375666666666666,0
CHEMBL3182395,0.4703,0.7242,0.4054,-0.3569,0.5333,0
NCGC00346967-01,0.4692,0.6327,0.3835,-0.3245,0.49513333333333337,0
TAS-103 (dihydrochloride),0.4684,0.5931,0.3311,-0.3238,0.4642,0
Camptothecin,0.4672,0.4695,0.3512,-0.3269,0.4293,0
"13-Methyl-7-[9-(4,4,5,5,5-pentafluoropentylsulfinyl)nonyl]-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol",0.4657,0.5238,0.4732,-0.3249,0.4875666666666667,0
Primaquine,0.4653,0.382,0.3459,-0.4113,0.3977333333333333,0
Mycophenolate Mofetil,0.4647,0.5743,0.4045,-0.3338,0.4811666666666667,0
GANT-61,0.4628,0.4293,NA,-0.3902,0.44605,1
Resveratrol,0.4577,0.6889,0.4686,-0.3493,0.5384,0
Dactolisib,0.4568,0.5169,0.3946,-0.3307,0.4561,0
Tozasertib,0.4531,0.813,0.5087,-0.3287,0.5916,0
N-[4-(Acridin-9-ylmethyl)-3-methoxyphenyl]methanesulfonamide,0.4504,0.3822,0.4081,-0.3343,0.4135666666666667,0
Doxorubicin,0.4492,0.5416,0.4577,-0.3216,0.48283333333333334,0
PI828,0.4469,0.4822,NA,-0.3426,0.46455,1
AZD-8055,0.4464,0.7634,0.4757,-0.3457,0.5618333333333333,0
UNII-5308DT8060,0.4458,0.4161,NA,-0.3499,0.43095,1
Carvedilol,0.4423,0.4761,NA,-0.4437,0.45920000000000005,1
