compound,azt,los,nib,quine,vir,similarity,meansim,nas
MLS002460474,0.7427,NA,NA,NA,0.3941,-0.496,0.5684,3
NVP-AUY922,0.7139,0.3292,0.3942,0.4443,0.6601,-0.3422,0.50834,0
PF431396,0.7103,0.3411,0.5512,0.5733,0.4702,-0.3398,0.52922,0
"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",0.7076,0.4849,0.4968,0.6762,0.6942,-0.3232,0.61194,0
Canertinib,0.7054,NA,0.5015,0.4805,0.4562,-0.3273,0.5359,1
HG-5-88-01,0.6949,NA,NA,0.3852,NA,-0.3347,0.5400499999999999,3
AS-605240,0.686,0.3614,0.4257,0.421,0.6413,-0.3467,0.50708,0
L-Sulforaphane,0.6792,0.4709,0.4251,0.6277,0.4783,-0.4433,0.53624,0
Radicicol,0.6787,0.3477,0.4194,0.4836,0.6953,-0.3232,0.52494,0
CHEMBL2136735,0.6751,0.3233,0.4225,0.4888,0.5666,-0.4204,0.49526,0
CP466722,0.6609,0.3986,0.4547,0.4676,0.566,-0.3458,0.50956,0
Y-39983,0.658,NA,0.4436,0.5133,0.4105,-0.4129,0.50635,1
SSR 69071,0.6579,NA,0.3258,0.6349,NA,-0.3438,0.5395333333333333,2
SU 11274,0.6475,0.3386,0.3273,0.4407,0.36870000000000003,-0.3343,0.42456,0
N9-Isopropylolomoucine,0.6427,NA,NA,0.6312,0.4521,-0.3379,0.5753333333333334,2
PIK-93,0.6401,0.3979,NA,0.6095,0.5863,-0.3344,0.55845,1
CP-724714,0.6325,NA,NA,0.5635,0.5078,-0.3216,0.5679333333333333,2
Calcitriol,0.6314,0.342,NA,0.4935,0.5859,-0.4126,0.5132,1
Linopirdine,0.6305,NA,0.4634,0.5003,0.4639,-0.4204,0.514525,1
AC1LWZG4,0.6305,NA,0.4477,NA,0.4799,-0.3411,0.5193666666666666,2
131780-47-7,0.6288,NA,NA,0.8403,0.4636,-0.4402,0.6442333333333333,2
Imatinib,0.6234,0.362,NA,0.4516,0.6738,-0.3588,0.5277,1
JZL-184,0.6218,0.3265,NA,NA,0.6349,-0.4856,0.5277333333333334,2
Sirolimus,0.6207,0.4601,0.4222,0.5314,0.5922,-0.3234,0.52532,0
Purmorphamine,0.6207,NA,0.5196,0.5349,0.4361,-0.5238,0.527825,1
Simvastatin,0.6203,NA,0.4699,0.4767,0.4562,-0.3587,0.505775,1
CHEMBL416418,0.6097,0.4566,0.4916,0.4005,0.7182,-0.3269,0.53532,0
Seliciclib,0.6054,0.3404,0.4372,0.6342,0.548,-0.3211,0.51304,0
CGK733,0.6041,0.3271,0.4169,0.4349,0.406,-0.3243,0.4378,0
MLN 2238,0.6035,0.5116,0.4273,0.4626,0.4403,-0.3224,0.48906000000000005,0
CHEMBL3185054,0.6033,NA,NA,0.3477,NA,-0.3455,0.4755,3
AZD-8330,0.6025,0.3409,0.373,0.7018,0.4661,-0.322,0.49686,0
869288-64-2,0.5987,0.52,0.378,0.5039,NA,-0.3646,0.50015,1
59826-53-8,0.5894,NA,NA,NA,0.5089,-0.3566,0.54915,3
Saracatinib,0.5873,0.393,0.3815,0.4767,0.438,-0.3392,0.45530000000000004,0
ABT737,0.5859,0.3475,0.4876,0.422,0.5289,-0.3474,0.47437999999999997,0
