compound,azt,nib,quine,vir,similarity,meansim,nas
Azithromycin,1,0.3907,0.3852,0.5214,-0.3823,0.574325,0
WZ3105,0.798,0.4329,0.6992,0.5818,-0.327,0.6279750000000001,0
Linifanib,0.631,0.3802,0.7171,0.7072,-0.3517,0.608875,0
SCHEMBL1564574,0.6023,0.4941,0.762,0.6094,-0.3543,0.61695,0
Y-39983,0.5898,0.4224,0.6753,0.5619,-0.4017,0.56235,0
VX-745,0.5863,0.3404,0.6469,0.5556,-0.3423,0.5323,0
Sirolimus,0.5828,0.5129,0.7565,0.7807,-0.3317,0.658225,0
Nimodipine,0.5827,0.3681,0.659,0.8194,-0.3392,0.6073,0
BAY 61-3606,0.5801,0.47,0.6831,0.5714,-0.3213,0.5761499999999999,0
Foretinib,0.5788,0.477,0.6313,0.6649,-0.3319,0.588,0
BMS-345541,0.574,0.4635,0.6977,0.5209,-0.3717,0.564025,0
848193-68-0,0.574,0.4405,0.6198,0.7571,-0.3472,0.59785,0
Rebastinib,0.5634,0.5353,0.7235,0.6004,-0.3924,0.60565,0
"9-Fluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione",0.5517,0.3749,0.7396,0.5923,-0.3485,0.564625,0
AZD 1480,0.5377,0.4177,0.6896,0.54990000000000006,-0.4406,0.548725,0
Canertinib,0.5294,0.4934,0.7789,0.5365,-0.3755,0.58455,0
Vemurafenib,0.52,0.5265,0.7579,0.7238,-0.3581,0.63205,0
Hydroxyl,0.5104,0.4392,0.8305,0.3644,-0.3543,0.536125,0
Daminozide,0.4816,NA,0.5437,0.574,-0.3265,0.5330999999999999,1
Piplartine,0.4789,0.4519,0.7419,0.5067,-0.3277,0.5448500000000001,0
TPCA-1,0.4729,0.4352,0.6576,0.621,-0.3432,0.546675,0
PS-1145,0.4662,NA,0.6464,NA,-0.4433,0.5563,2
Quinacrine,0.4646,0.462,0.7142,0.5618,-0.323,0.55065,0
Falnidamol,0.4631,0.5043,0.636,0.5168,-0.3284,0.53005,0
Quizartinib,0.4629,0.6048,0.678,0.6329,-0.3296,0.59465,0
KW-2449,0.4611,0.484,0.6668,0.6835,-0.3648,0.57385,0
Erlotinib,0.4587,0.503,0.702,0.7583,-0.3484,0.6054999999999999,0
LCQ-908,0.4583,NA,0.6308,0.5684,-0.3284,0.5525,1
"Pfmrk inhibitor, wr 216174",0.4511,0.4752,0.5924,0.4782,-0.3325,0.49922500000000003,0
C30H33N3O5S,0.4452,0.3784,0.668,0.5217,-0.34,0.503325,0
Diflunisal,0.4395,NA,0.7308,0.4398,-0.326,0.5367,1
CHEMBL3188661,0.4372,0.4315,0.5821,0.5767,-0.4149,0.506875,0
Dasatinib,0.4356,0.4818,0.7651,0.594,-0.3795,0.569125,0
SU-11652,0.4344,0.3944,0.8019,0.9036,-0.3509,0.633575,0
HG-9-91-01,0.4264,0.4377,0.7168,0.5132,-0.3266,0.523525,0
Lapatinib,0.4239,0.3587,0.707,0.489,-0.323,0.49465,0
Levetiracetam,0.4221,NA,0.5997,0.708,-0.3863,0.5766,1
Lenalidomide,0.4205,0.3478,0.6584,0.7445,-0.3356,0.5428,0
PF-04217903,0.4193,NA,0.6311,0.6266,-0.3384,0.559,1
XAV 939,0.4167,0.4262,0.7329,0.5061,-0.3548,0.520475,0
Glyburide,0.4167,0.5325,0.7924,0.6804,-0.3577,0.6055,0
Cabozantinib,0.4151,0.4646,0.6466,0.609,-0.3231,0.533825,0
Elliptecine,0.4147,0.6298,0.6184,0.4365,-0.4025,0.52485,0
Decitabine,0.413,0.4528,0.6748,0.6891,-0.376,0.557425,0
Simvastatin,0.4121,0.5179,0.5766,0.4966,-0.3343,0.5008,0
Telatinib,0.4102,0.3676,NA,0.7639,-0.3273,0.5139,1
Pinacidil,0.4029,NA,0.7353,NA,-0.4666,0.5690999999999999,2
AKT Inhibitor IV,0.4021,0.4605,0.6438,0.5193,-0.3242,0.506425,0
Glipizide,0.3985,NA,0.7192,0.7606,-0.3557,0.6261,1
"3,7-Bis(dimethylamino)phenothiazin-5-ium",0.3961,0.471,0.6509,0.3929,-0.3879,0.477725,0
amcinonide,0.396,0.4842,0.7658,0.561,-0.3532,0.5517500000000001,0
PCI-34051,0.3953,0.3892,0.5358,0.6891,-0.3437,0.5023500000000001,0
ETHYLENEDIAMINE TETRACETATE TETRA-ETHANOLAMINE,0.3919,NA,NA,0.555,-0.3267,0.47345000000000004,2
F1304-0056,0.3911,0.3915,0.5788,NA,-0.3345,0.4538,1
