compound,los,nib,quine,vir,similarity,meansim,nas
AS-605240,0.8877,0.3992,0.5034,0.447,-0.3338,0.559325,0
SPECTRUM1505012,0.7892,0.4952,0.3368,0.3282,-0.3292,0.48735,0
SB590885,0.7785,0.4505,0.4758,0.435,-0.3234,0.53495,0
Sirolimus,0.7773,0.7163,0.6614,0.5843,-0.3317,0.684825,0
Telatinib,0.772,NA,NA,0.3384,-0.3273,0.5552,2
AZD-5438,0.7546,NA,0.5941,0.3299,-0.3269,0.5595333333333333,1
Avicin-D,0.7491,NA,0.4976,0.4648,-0.3342,0.5705,1
Y-39983,0.7242,NA,0.416,0.5265,-0.4017,0.5555666666666667,1
BAY 61-3606,0.6478,0.3889,0.4571,0.5159,-0.3213,0.502425,0
BRD-K24890551,0.6471,NA,0.3914,NA,-0.3582,0.51925,2
BRD-A75471153,0.6414,NA,0.417,0.3258,-0.342,0.4614,1
Bisoprolol,0.6362,0.3331,NA,0.4058,-0.3459,0.45836666666666664,1
Lonafarnib,0.6338,NA,0.443,0.4792,-0.3411,0.5186666666666667,1
BIO2_000413,0.6292,NA,0.4963,0.3615,-0.3258,0.49566666666666664,1
Refametinib,0.6241,0.3754,NA,0.3212,-0.3521,0.4402333333333333,1
SCHEMBL15556278,0.6216,NA,0.5235,0.5135,-0.3261,0.5528666666666666,1
Simvastatin,0.6015,0.4479,0.4978,0.3276,-0.3343,0.4687,0
Glipizide,0.5891,NA,0.3995,0.4114,-0.3557,0.4666666666666667,1
Vemurafenib,0.5879,0.538,0.5428,0.4345,-0.3581,0.5258,0
Nefazodone,0.5855,NA,0.4548,0.3241,-0.3267,0.4548,1
SCHEMBL17497626,0.5836,0.3433,0.4643,0.5299,-0.3213,0.480275,0
ETHYLENEDIAMINE TETRACETATE TETRA-ETHANOLAMINE,0.5835,0.4567,0.3725,0.4687,-0.3267,0.47035,0
Meptazinol,0.5594,NA,0.4258,NA,-0.3401,0.49260000000000004,2
Decitabine,0.5555,0.3468,0.4944,0.475,-0.376,0.467925,0
N6022,0.5422,NA,NA,0.3514,-0.4051,0.4468,2
Indomethacin,0.5408,NA,0.4193,0.4415,-0.3307,0.4672,1
Thalidomide,0.539,NA,0.4944,0.4794,-0.3641,0.5042666666666666,1
Linifanib,0.5372,0.4047,0.4349,0.3596,-0.3517,0.4341,0
Pimobendan,0.5355,NA,0.5828,0.5533,-0.3876,0.5572,1
Gly-Gly-Palo,0.5334,NA,NA,0.4493,-0.3358,0.49134999999999995,2
PS-1145,0.5326,NA,0.447,0.3236,-0.4433,0.4344,1
Procainamide,0.5262,NA,0.3988,NA,-0.3516,0.4625,2
FK888,0.5219,0.5017,0.5937,0.5869,-0.3504,0.55105,0
Nelarabine,0.5178,NA,0.3654,0.3637,-0.4076,0.41563333333333335,1
Nimodipine,0.5176,NA,0.5144,0.3995,-0.3392,0.47716666666666663,1
SC-514,0.5168,NA,0.3865,NA,-0.4081,0.45165,2
BRD-K01497355,0.5149,0.4076,NA,0.4445,-0.3663,0.45566666666666666,1
Dilazep,0.5091,0.6455,0.4408,0.3877,-0.341,0.49577499999999997,0
XL-147,0.5074,NA,0.6382,0.4045,-0.3488,0.5166999999999999,1
E319,0.494,NA,0.4265,0.4393,-0.3469,0.45326666666666665,1
LCQ-908,0.4904,NA,0.4597,0.4015,-0.3284,0.45053333333333334,1
EDOXUDINE,0.4903,0.445,0.3927,0.3274,-0.4223,0.41385,0
Methysergide,0.4776,NA,0.3945,0.4176,-0.3323,0.4299,1
CHEMBL2356537,0.4721,NA,0.3671,0.3392,-0.3493,0.3928,1
6-Aminoindazole,0.4684,NA,NA,0.3641,-0.3408,0.41625,2
amcinonide,0.454,0.3912,0.4817,0.4145,-0.3532,0.43535,0
CHEMBL1410859,0.4481,NA,0.3674,NA,-0.3234,0.40775,2
"ICI-199,441",0.4422,0.4896,NA,0.4191,-0.326,0.4503,1
Ivabradine HCl,0.438,NA,0.4934,NA,-0.3472,0.4657,2
Vincamine,0.4369,NA,0.4927,0.452,-0.4339,0.46053333333333335,1
Flufenamic acid,0.4354,NA,0.437,0.3724,-0.3973,0.4149333333333333,1
Hydroxyprogesterone Caproate,0.426,NA,0.4235,0.423,-0.3766,0.42416666666666664,1
"9-Fluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione",0.4239,NA,0.3795,0.3231,-0.3485,0.3755,1
Stavudine,0.4086,NA,0.6458,NA,-0.3229,0.5272,2
Phenylbutazone,0.4058,NA,0.3694,NA,-0.3959,0.3876,2
HMS1476K01,0.4044,0.4324,0.5439,NA,-0.3968,0.4602333333333333,1
Skimmianine,0.399,NA,0.581,NA,-0.3547,0.49,2
BRD-K24133356,0.3902,NA,0.3619,NA,-0.3214,0.37605,2
GAP-134 (Hydrochloride),0.3834,NA,0.4849,0.4447,-0.3285,0.43766666666666665,1
2-Fluoropalmitic acid,0.382,0.4491,0.4335,NA,-0.3435,0.4215333333333333,1
Acebutolol,0.3805,NA,NA,0.3469,-0.3494,0.3637,2
AN-465/42886295,0.3802,NA,0.5471,0.3672,-0.3752,0.4315,1
BRD-K04993985,0.379,NA,0.5399,NA,-0.3735,0.45945,2
Androstanol,0.3785,NA,0.3893,NA,-0.3271,0.3839,2
UB-165,0.3778,NA,0.4544,0.338,-0.3236,0.3900666666666667,1
Hoechst 33258,0.375,NA,0.4837,0.4628,-0.3507,0.4405,1
Aristolochic acid,0.375,NA,0.5232,NA,-0.3223,0.4491,2
F1304-0056,0.3747,NA,0.4288,NA,-0.3345,0.40175,2
AC1O52XK,0.3648,NA,0.4384,0.4012,-0.428,0.4014666666666667,1
"Triazolothiadiazine, 35",0.3582,0.3322,0.3812,0.4021,-0.3632,0.368425,0
BRD-K13468108,0.3518,NA,0.4099,NA,-0.3479,0.38085,2
Lenalidomide,0.3502,NA,0.4466,0.364,-0.3356,0.38693333333333335,1
Olomoucine,0.3462,NA,0.559,NA,-0.3263,0.4526,2
Daminozide,0.3454,NA,0.4215,0.4975,-0.3265,0.42146666666666666,1
PCI-34051,0.3413,0.351,0.3789,0.4027,-0.3437,0.368475,0
CHEMBL453376,0.3352,NA,0.3745,NA,-0.3528,0.35485,2
MLS003179190,0.3348,NA,0.3879,0.3379,-0.4098,0.3535333333333333,1
Maprotiline,0.8204,0.6604,0.4405,0.4008,-0.356,0.580525,0
Wortmannin,0.7823,0.4592,0.7247,0.5363,-0.3228,0.625625,0
ST014366,0.7764,NA,0.4973,0.3352,-0.3515,0.5363,1
AZD-1775,0.7762,0.415,0.5601,0.4723,-0.354,0.5559000000000001,0
Mitoxantrone,0.773,0.4165,0.6303,0.5908,-0.3323,0.60265,0
PF-04217903,0.7679,0.3291,0.5245,0.5864,-0.3384,0.551975,0
CGP 60474,0.76,NA,0.6187,0.4684,-0.3228,0.6157,1
Piplartine,0.7559,0.4525,0.5369,0.5437,-0.3277,0.57225,0
Dasatinib,0.7469,0.4259,0.5733,0.4582,-0.3795,0.551075,0
Phentolamine,0.7328,NA,NA,0.3893,-0.4844,0.56105,2
CT-200783,0.7309,0.4599,0.4581,0.4825,-0.3893,0.53285,0
A-443654,0.7249,NA,0.5986,0.4376,-0.3231,0.5870333333333333,1
Foretinib,0.7239,0.4796,0.4721,0.6464,-0.3319,0.5805,0
SU-11652,0.7229,0.3394,0.5214,0.4804,-0.3509,0.516025,0
"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",0.7213,0.4651,0.5755,0.559,-0.3213,0.580225,0
Auranofin,0.721,0.4647,0.55,NA,-0.3333,0.5785666666666667,1
Sorafenib,0.721,0.3751,0.6386,0.4594,-0.3516,0.5485249999999999,0
"4,11-Diethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione",0.7209,0.3764,0.5369,0.3534,-0.3269,0.4969,0
U-0126,0.7166,NA,0.3882,0.3838,-0.3417,0.4962,1
ZSTK 474,0.7145,0.3933,0.5196,0.4728,-0.3333,0.52505,0
CHEMBL585951,0.7139,NA,0.622,0.4314,-0.3624,0.5891,1
Alvocidib,0.7132,0.4075,0.6172,0.5178,-0.3217,0.563925,0
C30H33N3O5S,0.7118,0.4106,0.5251,0.5719,-0.34,0.55485,0
Cabozantinib,0.7085,0.4455,0.5831,0.4303,-0.3231,0.5418499999999999,0
Cyclosporine,0.7061,0.3574,0.4825,0.5741,-0.4502,0.530025,0
Trametinib,0.7044,0.431,0.5189,0.4811,-0.3235,0.53385,0
SB-216763,0.7041,0.3287,0.5095,0.4697,-0.4296,0.503,0
Selumetinib,0.7036,0.4142,0.615,0.4707,-0.3322,0.550875,0
Erlotinib,0.7032,0.3705,0.5058,0.6176,-0.3484,0.5492750000000001,0
C24H25CLFN5O3,0.6999,0.3237,0.5031,0.4409,-0.3992,0.4919,0
LDN 193189,0.6991,NA,0.8012,0.4097,-0.3289,0.6366666666666667,1
AC1MJ3VH,0.6983,0.3921,0.613,0.5097,-0.3504,0.553275,0
PIK 75,0.6982,NA,0.5334,0.4575,-0.3575,0.5630333333333334,1
