compound,nib,quine,vir,similarity,meansim,nas
TW 37,0.7416,0.3247,0.5126,-0.6192,0.5263,0
Fedratinib,0.74,0.5342,0.4017,-0.4751,0.5586333333333333,0
PAC-1,0.7338,0.4837,0.4062,-0.6498,0.5412333333333333,0
Vorinostat,0.7059,0.7269,0.5397,-0.4738,0.6575,0
PCI-34051,0.7041,0.4972,0.3951,-0.6449,0.5321333333333333,0
CHEMBL179288,0.7041,0.3993,0.4568,-0.4921,0.5200666666666667,0
BIX01294,0.7022,0.4987,0.4624,-0.5269,0.5544333333333333,0
CHEMBL2141722,0.6906,NA,0.3454,-0.5266,0.518,1
"Trichostatin A, Streptomyces Sp.",0.687,0.5017,0.5172,-0.4942,0.5686333333333333,0
BRD-K27332342,0.6835,0.4664,0.3239,-0.7373,0.4912666666666667,0
CID 6167421,0.6766,0.3684,0.3696,-0.5279,0.4715333333333333,0
Canertinib,0.6699,0.6538,0.4174,-0.5688,0.5803666666666667,0
"Trans-1,4-bis(2-chlorobenzaminomethyl)cyclohexane dihydrochloride",0.669,0.396,NA,-0.4977,0.5325,1
SMR000030495,0.664,0.4017,NA,-0.5147,0.53285,1
Bosutinib,0.6571,0.5772,0.4221,-0.4746,0.5521333333333334,0
IOX2,0.6567,0.7763,0.4323,-0.514,0.6217666666666667,0
CHEMBL2136735,0.6562,0.6237,0.5003,-0.6103,0.5934,0
CHEMBL1673039,0.6544,0.6826,0.6268,-0.5002,0.6546,0
1268524-70-4,0.654,0.4761,0.3502,-0.582,0.49343333333333333,0
H89,0.6536,0.3635,NA,-0.6093,0.50855,1
AC1OAV9H,0.653,0.363,0.3509,-0.5985,0.45563333333333333,0
AC1MFIS3,0.6507,NA,0.3676,-0.715,0.50915,1
SCHEMBL2557158,0.6397,0.4743,0.3356,-0.5682,0.4832,0
PFI-1,0.6386,0.6442,0.3881,-0.522,0.5569666666666666,0
LRRK2-IN-1,0.6358,0.5759,0.4246,-0.4893,0.5454333333333333,0
AC1O9ZP5,0.6357,0.3453,NA,-0.5031,0.49050000000000005,1
MST-312,0.6355,NA,0.3793,-0.4748,0.5074,1
WAY-170523,0.6339,0.3806,NA,-0.5576,0.50725,1
CID 75060947,0.6208,0.3319,NA,-0.5024,0.47635,1
I-BET151,0.6198,0.4331,0.3525,-0.6168,0.46846666666666664,0
CHEMBL2142321,0.6176,0.3601,0.3505,-0.7092,0.4427333333333333,0
Belinostat,0.6147,0.4726,0.4107,-0.4749,0.49933333333333335,0
Wortmannin,0.6143,0.6268,0.5301,-0.4737,0.5904,0
Wortmannin,0.6143,0.6268,0.5301,-0.4737,0.5904,0
NINDS_000152,0.6137,0.3375,0.3971,-0.6102,0.44943333333333335,0
BI-2536,0.6132,0.6482,0.3813,-0.4848,0.5475666666666666,0
PCL2_000057,0.6127,0.4481,NA,-0.5722,0.5304,1
GSK-1070916,0.612,0.6366,0.4767,-0.5079,0.5751000000000001,0
6266-99-5,0.6104,NA,0.3765,-0.6196,0.49345000000000006,1
GSK 525762A,0.6088,0.6901,0.4311,-0.61,0.5766666666666667,0
Perhexiline,0.6073,0.6237,0.4331,-0.4961,0.5547,0
"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",0.6067,0.7712,0.5321,-0.4739,0.6366666666666667,0
Merck-Ketone,0.6041,0.344,NA,-0.6719,0.47404999999999997,1
SCHEMBL2608041,0.6026,0.507,0.3703,-0.4767,0.4933,0
Rottlerin,0.6021,0.5542,0.3566,-0.4874,0.5043,0
AC1O9X68,0.5985,0.44,0.3651,-0.4771,0.46786666666666665,0
SCHEMBL16980224,0.5984,0.5108,0.5198,-0.4785,0.543,0
NCH-51,0.5974,0.4957,NA,-0.6273,0.54655,1
Zuclomiphene,0.5971,0.6092,0.3487,-0.5208,0.5183333333333333,0
