compound,mcf7,ha1e
CP-724714,0.5386,0.48260000000000003
Mitoxantrone,0.56608,0.4372333333333333
Mebendazole,0.49388,0.478425
Rottlerin,0.4728,0.3914
Withaferin A,0.48042,0.5104666666666666
IN1549,0.49395,0.4255
Foretinib,0.4455,0.5340333333333334
O-Demethylated Adapalene,0.39837500000000003,0.6116
SCHEMBL6874948,0.46680000000000005,0.3620333333333333
PLX-4720,0.51235,0.5685
Menadione,0.4426,0.54215
TAK-715,0.3958666666666667,0.45089999999999997
CHEMBL41721,0.40185000000000004,0.6916
Mepivacaine,0.42010000000000003,0.46455
Ursolic acid,0.4138,0.4224
PF477736,0.41659999999999997,0.49175
CHEMBL3183436,0.38195,0.42910000000000004
MG-132,0.39326,0.5441499999999999
vincristine,0.40545,0.45385
179324-69-7,0.47862499999999997,0.4971333333333333
GSK-1070916,0.47136,0.5388
Genistein,0.3612,0.4866666666666667
Ruxolitinib,0.42973333333333336,0.56855
Flutamide,0.3673,0.4752
Camptothecin,0.4035,0.3973
Irinotecan,0.34604999999999997,0.37715
TAE-684,0.41656666666666664,0.5844
Amonafide,0.37777499999999997,0.40963333333333335
Maprotiline,0.3786,0.41385
Roquinimex,0.38505,0.6509
PENICILLIN V POTASSIUM,0.3597666666666667,0.3873
AT-9283,0.47325,0.437875
Parbendazole,0.403275,0.56115
Pazopanib,0.35245,0.5413666666666667
AG 14361,0.506325,0.4818
PJ34,0.6791,0.48345000000000005
Bupropion,0.5488,0.4317
Flufenamic acid,0.5435,0.5146
Seliciclib,0.46835000000000004,0.5112
Wortmannin,0.56806,0.48267499999999997
Quizartinib,0.5262,0.44993333333333335
Minoxidil,0.5696333333333333,0.49396666666666667
Perhexiline,0.4189,0.38927999999999996
Broad-Sai-045,0.42396666666666666,0.56065
Dasatinib,0.461775,0.5193666666666666
PD-0325901,0.4591,0.405925
Nilotinib,0.46997500000000003,0.49312
Veliparib,0.45785,0.4187333333333333
MLN 2238,0.47453333333333336,0.6128666666666667
CI-1040,0.51678,0.4769
Vorinostat,0.5597799999999999,0.471075
Gemcitabine,0.43545,0.42253999999999997
Alvocidib,0.4401,0.42843333333333333
Lapatinib,0.45015000000000005,0.3837
Skiii,0.4944,0.5071666666666667
Sirolimus,0.485175,0.5404249999999999
PHA-793887,0.49235,0.37570000000000003
CHEMBL2136735,0.450825,0.4444
Valdecoxib,0.4648,0.472525
PF-562271,0.49355,0.45255
AC1NWAML,0.4257,0.4346333333333333
AT-7519,0.44983333333333336,0.41296
AC1MJ3VH,0.48734,0.49006666666666665
Sitagliptin,0.5083666666666666,0.4667
Crizotinib,0.4706,0.44904999999999995
Doxorubicin,0.46956,0.4424666666666667
"Ingenol 3,20-dibenzoate",0.5270666666666667,0.51445
Omacetaxine Mepesuccinate,0.47215,0.4554
"4,11-Diethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione",0.42510000000000003,0.43484999999999996
GSK 1059615,0.41184,0.5535
MK-2206,0.46016666666666667,0.47164
Adapalene,0.43835,0.41845
AZD-1775,0.43982,0.5290666666666667
GSK-3 Inhibitor IX,0.4040666666666667,0.4505
CHEMBL179288,0.41973333333333335,0.4688
Narciclasine,0.3935,0.4828
Niclosamide,0.4282666666666667,0.5452666666666667
Mycophenolate Mofetil,0.3852333333333333,0.5779
QL47,0.4074,0.4437
Sorafenib,0.44626666666666664,0.5366
BRD-K01425431,0.37216666666666665,0.3483
SCHEMBL1564574,0.337025,0.42386666666666667
Doramapimod,0.40405,0.462725
Fenofibrate,0.3703,0.47009999999999996
MLS006011051,0.48095,0.4783
Nafronyl,0.383,0.43726666666666664
NSC95397,0.359,0.462
BS-181,0.3916,0.4457
Phorbol 12-myristate-13-acetate,0.4944,0.496
GW843682X,0.35350000000000004,0.44706666666666667
Raloxifene,0.381775,0.37234999999999996
VX-745,0.4057,0.3563
Idelalisib,0.3771,0.511675
Aminopurvalanol,0.437575,0.47135
AC1OCDAW,0.46186666666666665,0.38285
Everolimus,0.388,0.4473
Gefitinib,0.389875,0.5702333333333334
DOCETAXEL,0.48815,0.4914
Neratinib,0.40449999999999997,0.3862
SCHEMBL618594,0.4213,0.4037
Ivermectin,0.3839,0.459975
BRD-K54343811,0.40675,0.44494999999999996
Carfilzomib (PR-171),0.4779,0.5409666666666667
Penfluridol,0.44155,0.6165999999999999
SB743921,0.376,0.3877
Adarotene,0.37324999999999997,0.4924
BRD-A28746609,0.35275,0.466775
Amuvatinib,0.37935,0.39085000000000003
