compound,azt,los,nib,quine,vir,similarity,nas,presence,meansim
Gefitinib,0.7185,NA,0.3848,NA,0.6074,-0.6042,2,3,0.5702333333333334
Carfilzomib (PR-171),0.671,NA,0.384,0.5679,NA,-0.4923,2,3,0.5409666666666667
Ethacrynic acid,0.5843,NA,NA,0.41,NA,-0.5171,3,2,0.49715
Manumycin-A,0.5785,0.4914,0.3795,0.6921,NA,-0.6187,1,4,0.535375
Trapidil,0.4941,NA,NA,0.5006,NA,-0.5568,3,2,0.49735
MK2A Inhibitor,0.487,NA,0.4025,NA,NA,-0.5253,3,2,0.44475
Mibefradil,0.4664,NA,0.5673,0.4721,NA,-0.894,2,3,0.5019333333333333
Tubastatin A,0.4649,NA,NA,0.4825,0.3424,-0.4918,2,3,0.42993333333333333
Sirolimus,0.4648,0.4916,0.7049,0.5004,NA,-0.492,1,4,0.5404249999999999
Golvatinib (E7050),0.4586,0.4607,NA,0.5885,NA,-0.6115,2,3,0.5026
Bosutinib,0.4428,0.3703,0.4237,0.4517,NA,-0.625,1,4,0.42212500000000003
SB271046,0.4404,0.42,NA,0.4818,NA,-0.6381,2,3,0.4474
Vorinostat,0.4266,0.3867,NA,0.5462,0.5248,-0.6414,1,4,0.471075
"16,16-Dimethyl prostaglandin e2",0.4224,NA,NA,0.437,NA,-0.5085,3,2,0.42969999999999997
Sertraline HCl,0.421,0.4231,NA,0.6316,NA,-0.7179,2,3,0.4919
Sertraline,0.4098,NA,0.5373,NA,NA,-0.7891,3,2,0.47355
TyrphostinAG835,0.4097,NA,NA,NA,0.4142,-0.8296,3,2,0.41195000000000004
CHEMBL2136735,0.4051,NA,0.4358,NA,0.4923,-0.6151,2,3,0.4444
Imatinib,0.402,0.4084,0.3216,0.4763,NA,-0.7067,1,4,0.402075
Osimertinib,0.4005,0.4197,0.3415,0.522,NA,-0.6699,1,4,0.420925
Entinostat,0.3997,0.4067,NA,0.6334,0.378,-0.611,1,4,0.45445
GR-127935,0.3963,NA,0.3623,NA,0.526,-0.4988,2,3,0.4282
Dexniguldipine,0.3903,NA,0.4844,0.8206,NA,-0.6125,2,3,0.5650999999999999
Crizotinib,0.3878,0.3949,0.3954,0.6181,NA,-0.6223,1,4,0.44904999999999995
Radicicol,0.3849,NA,0.4824,NA,0.362,-0.5061,2,3,0.40976666666666667
Tipifarnib,0.3777,0.3959,NA,0.5584,0.45,-0.6235,1,4,0.4455
UK 383367,0.3775,0.5118,NA,0.5709,0.3345,-0.5157,1,4,0.448675
CHEMBL1083527,0.3761,0.4647,NA,NA,0.6861,-0.6586,2,3,0.5089666666666667
Tacedinaline,0.375,NA,0.3878,0.609,0.3873,-0.6262,1,4,0.43977499999999997
"2-Phenylethyl 3-(3,4-dihydroxyphenyl)prop-2-enoate",0.3646,NA,0.4316,0.4359,NA,-0.532,2,3,0.4107
Neratinib,0.3545,0.3481,0.4924,NA,0.3498,-0.6299,1,4,0.3862
Panobinostat,0.3527,0.4354,0.3292,0.4493,0.3787,-0.6296,0,5,0.38906
Perhexiline,0.3439,0.3235,0.3293,0.5932,0.3565,-0.4976,0,5,0.38927999999999996
"2,8-Dinitroimipramine",0.3423,NA,NA,0.4117,NA,-0.622,3,2,0.377
"HDACi1,2+3_mix",0.3399,0.3859,0.3602,0.7111,0.4519,-0.6462,0,5,0.4498
Tosedostat,0.3378,NA,0.3301,NA,NA,-0.6077,3,2,0.33394999999999997
IMD-0354,0.3302,NA,0.5411,0.4324,0.3778,-0.5189,1,4,0.420375
Cyclosporine,0.33,NA,0.344,0.4872,0.4549,-0.5322,1,4,0.404025
Belinostat,0.3275,NA,NA,0.5021,NA,-0.5073,3,2,0.4148
Paroxetine,0.3257,0.3245,0.3483,NA,NA,-0.7508,2,3,0.3328333333333333
Rimcazole,0.3239,0.5487,NA,0.5336,NA,-0.6594,2,3,0.46873333333333334
GSK-461364,0.4494,0.3324,0.369,0.6079,NA,-0.549,1,4,0.439675
KX2-391,0.4428,NA,0.408,0.5977,NA,-0.4851,2,3,0.48283333333333334
Selamectin,0.4366,0.4195,0.4058,0.6361,0.4307,-0.4919,0,5,0.46574
Podofilox,0.4322,NA,0.3828,0.5521,NA,-0.5268,2,3,0.4557
Fenbendazole,0.4289,NA,NA,0.8022,NA,-0.6878,3,2,0.61555
Cucurbitacin I,0.4246,0.3667,0.3831,0.5978,NA,-0.6772,1,4,0.44305
