compound,azt,nib,quine,vir,similarity,meansim,nas
Albendazole,0.5994,0.4637,0.6403,0.5945,-0.3375,0.5744750000000001,0
Cladribine,0.5848,0.4944,0.6306,0.6855,-0.322,0.598825,0
TAK-733,0.5479,0.4038,0.6652,0.3417,-0.338,0.48965000000000003,0
Pazopanib,0.5442,0.3627,0.683,0.71,-0.3244,0.574975,0
Neratinib,0.5001,0.5222,0.7472,0.5282,-0.3229,0.574425,0
CGK733,0.4746,0.4835,0.6325,0.6232,-0.326,0.55345,0
TPCA-1,0.4729,0.4352,0.6576,0.621,-0.3265,0.546675,0
Indigo Red,0.4584,0.4247,0.6158,0.4224,-0.3309,0.480325,0
STK468807,0.4472,NA,0.4613,0.3853,-0.3685,0.43126666666666663,1
Bosutinib,0.414,0.4475,0.6538,0.491,-0.3255,0.501575,0
Tivantinib,0.41,0.5549,0.671,0.7301,-0.3553,0.5915,0
"(1Ar,7as,10as,10br)-1a,5-Dimethyl-8-methylidene-2,3,6,7,7a,8,10a,10b-octahydrooxireno[9,10]cyclodeca[1,2-b]furan-9(1ah)-one",0.3927,0.3524,0.5899,0.6169,-0.3251,0.487975,0
Sulpiride,0.3857,0.3668,0.6096,0.3701,-0.3412,0.43305,0
HMN-214,0.3844,0.5897,0.8307,0.7775,-0.3286,0.645575,0
SCHEMBL618594,0.3784,0.3755,0.6956,0.7315,-0.3405,0.54525,0
BRD-K00541818,0.3501,0.3854,0.5461,0.5334,-0.3291,0.45375,0
Ibutilide,0.3346,NA,0.5409,0.5086,-0.3442,0.4613666666666667,1
Kinetin Riboside,0.3277,0.472,0.6672,0.5422,-0.3215,0.502275,0
WYE 125132,0.7281,0.4496,0.6179,0.4737,-0.3399,0.567325,0
Withaferin A,0.6099,0.4429,0.7797,0.688,-0.3496,0.6301249999999999,0
GSK-461364,0.5997,0.5595,0.672,0.6535,-0.3272,0.621175,0
CI-1040,0.5727,0.4227,0.7379,0.7696,-0.3641,0.625725,0
PD-0325901,0.567,0.512,0.785,0.7757,-0.326,0.659925,0
NMS-1286937,0.5639,0.4782,0.42,0.5399,-0.3307,0.5005,0
Dolastatin 10,0.5524,0.4268,0.4253,0.5335,-0.3225,0.4845,0
pyrvinium-pamoate,0.5504,0.6349,0.5709,0.862,-0.3375,0.65455,0
A-443654,0.5472,0.4164,0.6877,0.5833,-0.3416,0.55865,0
CHEMBL1394624,0.5153,0.4195,NA,0.5218,-0.3278,0.4855333333333333,1
GSK-3 Inhibitor IX,0.5082,0.5391,0.6053,0.6517,-0.3217,0.576075,0
Fenbendazole,0.4967,0.4918,0.4841,0.5639,-0.3382,0.5091249999999999,0
Podofilox,0.4859,0.4906,0.5377,0.568,-0.3493,0.52055,0
331771-20-1,0.4778,0.5123,0.7422,0.6221,-0.3388,0.5886,0
GW620972X,0.4727,0.5053,0.6283,0.7098,-0.3379,0.579025,0
Pelitinib,0.4718,0.4935,0.731,0.5572,-0.3381,0.563375,0
MLS002264457,0.4711,0.3651,0.5631,0.4311,-0.3524,0.4576,0
SB743921,0.4696,0.4362,0.5136,0.5567,-0.3542,0.494025,0
KX2-391,0.4668,0.711,0.6207,0.5085,-0.323,0.57675,0
Parthenolide,0.4665,0.3716,0.6833,0.5327,-0.3418,0.513525,0
Radicicol,0.4597,0.5633,0.6031,0.6404,-0.3257,0.5666249999999999,0
Troglitazone,0.4589,0.4895,0.6888,0.6411,-0.342,0.5695749999999999,0
Mebendazole,0.4567,0.5755,0.6509,0.5708,-0.3375,0.563475,0
Selumetinib,0.455,0.4287,0.8212,0.5814,-0.3277,0.571575,0
MLS002264453,0.4457,0.4079,0.5441,0.3927,-0.3308,0.4476,0
"Cyclohexanecarboxamide, 4-(1-aminoethyl)-n-4-pyridinyl-, trans-",0.4437,0.3493,0.7329,0.5946,-0.3257,0.530125,0
ZK-93423,0.4273,0.4277,0.5892,0.5142,-0.334,0.4896,0
179324-69-7,0.424,0.5789,0.8356,0.5728,-0.3534,0.6028249999999999,0
GW843682X,0.421,0.421,0.646,0.7036,-0.3213,0.5479,0
CP-724714,0.414,0.4516,0.7713,0.6036,-0.3331,0.560125,0
AZ20,0.4101,0.4467,0.5474,0.4055,-0.329,0.452425,0
GW-5074,0.4066,0.4611,0.638,0.5003,-0.356,0.5015000000000001,0
R-7128,0.398,0.3498,NA,0.5363,-0.3267,0.4280333333333333,1
RO4987655,0.3964,0.4049,0.6168,0.4499,-0.3361,0.46699999999999997,0
