compound,azt,los,nib,quine,vir,similarity,meansim,nas
Itrazole,0.6941,0.6054,0.3449,0.6049,0.6842,-0.461,0.5867,0
BRD-A81936046,0.6892,0.3832,NA,0.3544,0.5133,-0.4361,0.485025,1
Brefeldin A,0.6778,0.4088,0.4156,0.6149,0.6703,-0.3444,0.55748,0
362-74-3,0.6684,NA,NA,0.6098,0.393,-0.3222,0.5570666666666667,2
IN1541,0.6377,0.3547,0.5525,0.5813,0.5583,-0.5747,0.5369,0
SB-216763,0.622,0.5285,0.4154,0.5243,0.6232,-0.3259,0.5426799999999999,0
FK 866,0.6201,0.3562,NA,0.6319,0.4796,-0.4211,0.52195,1
CHEMBL3186197,0.617,NA,NA,0.5816,0.55,-0.4349,0.5828666666666666,2
SJ 172550,0.6097,NA,0.3269,0.3426,NA,-0.4955,0.4264,2
848193-68-0,0.5735,0.5036,NA,0.5557,0.4705,-0.4111,0.525825,1
NSC23766,0.5648,0.4248,0.4017,0.3817,0.5336,-0.3237,0.46132,0
KUC104122,0.5572,0.3394,NA,0.5205,NA,-0.5338,0.47236666666666666,2
"16,16-Dimethyl prostaglandin e2",0.5548,0.5152,0.3888,0.4841,0.6558,-0.4574,0.51974,0
Nimodipine,0.5503,0.3265,0.3771,0.4404,0.8082,-0.4127,0.5005000000000001,0
Gefitinib,0.5428,0.4664,0.378,0.5095,0.7275,-0.331,0.52484,0
CHEMBL552425,0.5219,0.566,0.3907,0.4845,0.7159,-0.3727,0.5357999999999999,0
3-(4-Pyridyl)indole,0.5197,0.5565,0.4068,0.4752,0.5068,-0.3922,0.493,0
Fluspirilene,0.5181,0.4513,NA,0.5431,0.8066,-0.4562,0.579775,1
Flutamide,0.5131,NA,0.3427,0.4891,0.8778,-0.413,0.555675,1
Nifedipine,0.5054,NA,NA,0.7246,0.4273,-0.3404,0.5524333333333333,2
BRD-K16257790,0.4984,0.36870000000000003,NA,NA,NA,-0.6089,0.43355,3
CAY10618,0.4908,0.7388,0.3601,0.4613,NA,-0.3581,0.51275,1
Ursolic acid,0.4872,NA,NA,0.328,0.5426,-0.4242,0.4526,2
PKC Beta Inhibitor,0.4856,0.3541,0.3316,0.4739,0.5434,-0.4222,0.43772,0
Linsitinib,0.4845,0.4333,0.3782,0.6485,0.6172,-0.4165,0.51234,0
MLS002607804,0.4813,NA,NA,0.497,NA,-0.5685,0.48915,3
32703-82-5,0.4799,0.5019,NA,0.71,NA,-0.4481,0.5639333333333333,2
ChEBI91594,0.4699,0.4207,0.3476,0.5698,0.5176,-0.4226,0.46512,0
3-Chloro-l-alanine,0.4605,0.3878,0.4373,0.441,0.6873,-0.4365,0.48278,0
PD-98059,0.4579,0.3323,NA,0.4376,0.5885,-0.4632,0.454075,1
H-9,0.4556,0.3375,NA,0.3903,0.5914,-0.4144,0.4437,1
Phenoxazine,0.4553,0.5355,0.3312,0.4996,0.7082,-0.4375,0.50596,0
PF750,0.4547,0.404,NA,0.6062,0.5308,-0.3318,0.498925,1
BRD-K17890048,0.4533,NA,NA,NA,0.6634,-0.4969,0.55835,3
F1709-0025,0.4531,0.3324,NA,0.4521,0.4341,-0.746,0.417925,1
MLS002699341,0.4488,NA,NA,0.4963,NA,-0.4794,0.47255,3
MLS000860958,0.4476,NA,NA,0.5347,0.6515,-0.4381,0.5446,2
Estrone,0.4457,NA,NA,0.4584,NA,-0.4271,0.45204999999999995,3
Dacomitinib,0.444,0.5279,0.3925,0.4187,0.5678,-0.3343,0.47018,0
Cis-Platin,0.4432,NA,NA,0.5359,NA,-0.4131,0.48955000000000004,3
AKT Inhibitor IV,0.4388,0.8315,0.4156,0.4946,0.5438,-0.3519,0.54486,0
AC1MSUFC,0.4351,NA,0.3776,0.413,0.6224,-0.6245,0.46202499999999996,1
TIE2 Kinase Inhibitor,0.4282,0.54,0.3463,0.324,0.6069,-0.4461,0.44908000000000003,0
Lexibulin,0.4264,0.4451,NA,0.43120000000000003,0.7693,-0.3346,0.518,1
Latanoprost,0.4259,NA,NA,0.3949,0.5308,-0.3374,0.45053333333333334,2
Calcitriol,0.4247,0.5466,0.3795,0.42,0.6687,-0.4126,0.4879,0
CHEBI:82814,0.422,0.3592,NA,0.3804,0.4979,-0.4517,0.414875,1
Triciribine,0.4186,0.4257,NA,0.5365,0.6774,-0.3456,0.5145500000000001,1
Gemcitabine,0.4172,0.3601,0.3673,0.6568,0.5721,-0.3305,0.4747,0
MLS002699918,0.4164,NA,NA,0.3394,NA,-0.3882,0.3779,3
Broad-Sai-296,0.4148,0.3421,0.3495,0.3749,0.5474,-0.5162,0.40574,0
MLS003448145,0.413,NA,NA,NA,0.6234,-0.4101,0.5182,3
NVP-AUY922,0.4118,0.8285,NA,0.6584,0.835,-0.3422,0.683425,1
NVP-AEW541,0.411,0.3947,NA,0.4356,0.4808,-0.4696,0.430525,1
Rivaroxaban,0.4102,NA,NA,0.361,0.6952,-0.417,0.4888,2
Minoxidil,0.4096,0.4491,NA,0.5269,0.5532,-0.5403,0.4847,1
79966-13-5,0.4094,0.79990000000000006,0.4445,0.3866,0.5006,-0.4145,0.5082,0
"6,10,10B-Trihydroxy-3,4a,7,7,10a-pentamethyl-1-oxo-3-vinyldodecahydro-1H-benzo[f]chromen-5-yl acetate",0.4086,NA,0.3433,0.3666,NA,-0.3476,0.37283333333333335,2
SR-02000000448,0.4082,0.5718,NA,NA,0.4669,-0.373,0.4823,2
Quinapril,0.4076,0.348,NA,0.3809,0.558,-0.4293,0.42362500000000003,1
Binospirone,0.4074,NA,NA,0.3644,0.4889,-0.4176,0.42023333333333335,2
MEGXM0_000032,0.4072,NA,0.4057,0.3503,0.5673,-0.4098,0.43262500000000004,1
SMR000651449,0.4058,NA,NA,0.5043,0.7389,-0.4118,0.5496666666666666,2
Colforsin,0.4045,NA,NA,0.4724,0.5071,-0.4122,0.4613333333333333,2
ZINC01050121,0.4036,NA,0.4304,0.4611,0.6778,-0.325,0.493225,1
Tenofovir,0.4036,NA,NA,0.3297,0.5716,-0.4263,0.43496666666666667,2
SCHEMBL2559280,0.4027,NA,0.36870000000000003,0.4813,0.5677,-0.3607,0.4551,1
PF-04217903,0.4016,0.3582,0.3856,0.6505,0.7104,-0.4166,0.50126,0
XAV 939,0.3994,NA,0.4751,0.4665,0.4712,-0.3278,0.45305,1
Warfarin,0.3991,NA,NA,NA,0.6794,-0.4356,0.53925,3
Sirolimus,0.3987,0.4989,0.3374,0.657,0.7278,-0.3234,0.52396,0
10-DEBC,0.3963,0.3311,0.3708,0.4608,0.6602,-0.4703,0.44384,0
NSC 663284,0.3937,0.4488,0.4476,NA,0.4415,-0.3323,0.4329,1
RAC-Etomoxir,0.3934,NA,NA,0.4863,0.5817,-0.5433,0.48713333333333336,2
BS-181,0.3919,0.3488,0.4005,0.4356,0.8697,-0.3256,0.4893,0
Veliparib,0.391,0.4553,0.3592,0.5277,0.7925,-0.3511,0.50514,0
BMS-299897,0.3905,0.3964,NA,NA,0.5835,-0.3479,0.4568,2
BRD-K54247306,0.3905,NA,NA,0.5865,NA,-0.6309,0.48850000000000005,3
Boldine,0.3878,NA,NA,0.3994,NA,-0.4336,0.39359999999999995,3
Tamibarotene,0.3872,0.3364,NA,0.3915,0.5472,-0.4048,0.41557500000000003,1
Tozasertib,0.3851,0.4366,0.3909,0.5518,0.8016,-0.3333,0.5132,0
Mesoridazine,0.3847,0.4389,NA,0.3958,0.5255,-0.4105,0.436225,1
BIX01294,0.3839,0.4143,0.3789,0.5073,0.7412,-0.4309,0.48512,0
MLS000589843,0.3838,0.4555,NA,0.4384,NA,-0.3656,0.4259,2
PX 12,0.3814,0.7977,0.3736,0.6113,0.5139,-0.3372,0.53558,0
MRS-1334,0.381,NA,NA,0.516,NA,-0.5786,0.4485,3
STK222600,0.3786,NA,0.4242,0.3336,0.7854,-0.6665,0.48045,1
BRD-K00141503,0.3774,NA,NA,0.3342,0.6342,-0.4313,0.4486,2
PK-11195,0.3773,0.3224,0.3614,0.5163,0.7266,-0.3294,0.4608,0
Ivabradine HCl,0.3768,NA,NA,0.5664,NA,-0.421,0.4716,3
DASA-58,0.3768,0.3272,0.4236,NA,0.5425,-0.4583,0.417525,1
"O-(OCTAHYDRO-1H-4,7-METHANOINDEN-5-YL) HYDROGEN CARBONODITHIOATE",0.3758,NA,NA,0.4953,0.5445,-0.3679,0.47186666666666666,2
SMR000076922,0.375,NA,NA,0.4661,0.5605,-0.4401,0.4672,2
N-[(1-Ethylpyrrolidin-3-yl)methyl]-2-methoxy-5-sulfamoylbenzamide,0.3747,0.3421,0.3903,0.3705,0.7377,-0.5995,0.44306,0
BRD-K41087962,0.3741,NA,NA,0.3291,0.8021,-0.3466,0.5017666666666667,2
BRD32048,0.374,0.3356,NA,0.3971,0.4556,-0.4131,0.390575,1
COT-10B,0.3726,0.5196,0.4728,0.434,0.568,-0.3315,0.4734,0
Meclizine,0.3726,NA,NA,NA,0.497,-0.3242,0.43479999999999996,3
ABT737,0.3723,0.475,0.3672,0.5563,0.7978,-0.3474,0.51372,0
BDBM50127227,0.3721,0.6505,0.3321,0.5331,0.6017,-0.3238,0.4979,0
Dactolisib,0.3713,0.42,NA,0.5944,0.7621,-0.3212,0.53695,1
TGX 221,0.3707,NA,0.3389,0.5245,0.6183,-0.4099,0.46309999999999996,1
Wortmannin,0.3706,0.4726,0.4437,0.6202,0.8187,-0.3235,0.54516,0
3-Methyladenine,0.3703,NA,NA,0.5113,NA,-0.4219,0.44079999999999997,3
Phenytoin,0.3692,NA,NA,0.3729,0.6479,-0.4326,0.4633333333333333,2
MLS003587251,0.3692,NA,NA,NA,0.7322,-0.4123,0.5507,3
BRD-K52831896,0.3686,NA,NA,0.3718,NA,-0.4845,0.3702,3
Acetylcysteine,0.3686,NA,NA,NA,0.5234,-0.433,0.44599999999999995,3
ST012015,0.3683,NA,NA,0.3295,0.5306,-0.4127,0.40946666666666665,2
KW-2449,0.3682,0.3497,0.4919,0.5779,0.6607,-0.323,0.48968,0
Risperidone,0.3674,NA,NA,NA,0.5911,-0.4841,0.47924999999999995,3
BRL50481,0.3662,NA,NA,0.3381,NA,-0.442,0.35215,3
noscapine,0.3659,0.4608,0.3601,0.4179,0.5133,-0.3256,0.4236,0
PIK-93,0.3642,0.3664,NA,0.4799,0.5868,-0.3344,0.449325,1
Celecoxib,0.3642,0.3452,0.3288,NA,0.4405,-0.4439,0.369675,1
HLI-373,0.3635,0.4886,0.3222,0.4732,0.4618,-0.433,0.42186,0
Tanespimycin,0.3628,0.7167,0.3253,0.4144,0.3992,-0.4308,0.44368,0
Gallocatechin Gallate,0.3619,NA,0.3313,0.5671,0.7744,-0.3842,0.508675,1
Cilomilast,0.3616,NA,NA,0.345,0.4756,-0.4215,0.3940666666666667,2
BRD-K57732441,0.3605,NA,0.3437,0.3714,0.5819,-0.5396,0.414375,1
Temozolomide,0.3595,NA,NA,0.3868,0.6144,-0.4193,0.4535666666666666,2
CYTO7H11,0.3592,0.3681,0.3272,0.3884,0.5952,-0.4825,0.40762,0
ASN 05257430,0.3587,0.3383,NA,NA,0.4532,-0.4962,0.3834,2
Flufenamic acid,0.3585,NA,NA,NA,0.5354,-0.5686,0.44694999999999996,3
Coumestrol,0.3579,NA,0.3538,NA,NA,-0.679,0.35585,3
Vorinostat,0.3574,0.6613,0.4976,0.7391,0.8047,-0.3242,0.61202,0
Vorinostat,0.3574,0.6613,0.4976,0.7391,0.8047,-0.3242,0.61202,0
Quinine,0.3555,0.4868,NA,0.5822,0.4978,-0.5211,0.48057500000000003,1
Diclofenac,0.3548,NA,NA,0.5033,0.4302,-0.4396,0.42943333333333333,2
Nepafenac,0.3542,NA,NA,0.5443,0.5335,-0.5324,0.47733333333333333,2
N-[4-(1-Benzoylpiperidin-4-yl)butyl]-3-pyridin-3-ylpropanamide,0.353,0.3877,0.4682,NA,0.5991,-0.4599,0.45199999999999996,1
Zaprinast,0.3519,NA,NA,0.3607,0.4736,-0.5602,0.39540000000000003,2
SB225002,0.3518,0.3619,NA,NA,0.7474,-0.4096,0.4870333333333333,2
GSK429286A,0.3512,0.4513,0.3425,0.3731,0.722,-0.3718,0.44802,0
Abiraterone Acetate,0.3497,NA,0.3645,NA,0.5495,-0.5095,0.42123333333333335,2
MLS003429133,0.3494,NA,NA,0.5308,NA,-0.4615,0.44010000000000005,3
(R)-(-)-Jq1 enantiomer,0.3492,0.4304,NA,0.3601,0.732,-0.4542,0.467925,1
MLS001207806,0.3492,0.3933,0.3334,NA,0.4521,-0.5669,0.382,1
PD-160170,0.3489,0.5005,0.3217,0.3866,0.5335,-0.4285,0.41824,0
BRD-K90543092-001-01-2,0.3489,0.4271,0.3267,0.3502,0.4371,-0.6004,0.378,0
Quinacrine,0.3486,0.3924,0.3762,0.5076,0.6739,-0.3362,0.45974000000000004,0
"ICI 192,605",0.3484,NA,NA,0.4626,0.4726,-0.4124,0.4278666666666667,2
Amifostine,0.3482,NA,NA,0.4953,NA,-0.4252,0.42175,3
Sorafenib,0.3479,0.5962,0.4481,0.5062,0.657,-0.3216,0.51108,0
UK 356618,0.3474,0.4799,0.5059,0.3613,0.4724,-0.3373,0.43338,0
MLS000107177,0.3471,NA,0.3453,NA,0.5016,-0.6531,0.398,2
Lenalidomide,0.3466,NA,0.4105,0.3636,0.4271,-0.3321,0.38695,1
BRD-K18863894,0.3461,NA,NA,0.3496,0.4443,-0.4954,0.38,2
Dehydroepiandrosterone Acetate,0.3454,0.3235,NA,NA,NA,-0.4704,0.33445,3
AS601245,0.3451,0.4126,0.3988,0.5033,0.7823,-0.339,0.48842,0
Metoclopramide,0.3449,0.3397,NA,0.5185,0.7583,-0.3962,0.49034999999999995,1
L-690488,0.3445,NA,0.3487,0.4088,0.6765,-0.336,0.444625,1
Avicin-G,0.3444,0.4119,0.3346,0.513,0.5555,-0.3234,0.43188,0
CEP-701,0.3441,NA,0.3447,0.5079,0.504,-0.3281,0.425175,1
LY-294002,0.3441,0.5217,0.4182,0.5928,0.6662,-0.3237,0.5086,0
Mitoxantrone,0.3434,0.3656,0.415,0.5627,0.6443,-0.3257,0.4662,0
"8,10-Dimethyl-4-(2-methylphenyl)-3,4-dihydro-1H-pyrido[3',2':4,5]thieno[3,2-e][1,4]diazepine-2,5-dione",0.3428,0.36,NA,0.4033,0.4366,-0.4318,0.385675,1
Cyproheptadine,0.3427,0.4589,0.4071,0.393,0.493,-0.4154,0.41894,0
GSK-2334470,0.3414,0.3882,0.3526,0.3634,0.783,-0.3248,0.44572,0
Rebastinib,0.341,0.4757,NA,0.4991,0.8894,-0.3248,0.5513,1
Rebastinib,0.341,0.4757,NA,0.4991,0.8894,-0.3248,0.5513,1
Raltitrexed,0.3402,NA,0.3347,NA,NA,-0.333,0.33745000000000003,3
Gossypol,0.3392,0.3707,NA,NA,0.6117,-0.3457,0.44053333333333333,2
Tamatinib,0.3392,0.4443,0.3695,0.4905,0.6489,-0.3377,0.45848,0
Buspirone,0.339,NA,NA,NA,0.4297,-0.466,0.38435,3
Nicardipine,0.339,0.5082,0.3601,0.4761,0.635,-0.3579,0.46368,0
Gemfibrozil,0.3387,NA,NA,0.4944,0.4557,-0.4646,0.4296,2
Tretinoin,0.3381,0.4409,0.3326,0.5732,0.6415,-0.3659,0.46526,0
BMS-345541,0.3374,0.4735,0.3854,0.517,0.6134,-0.3229,0.46534,0
"Pfmrk inhibitor, wr 216174",0.3354,0.7845,0.4644,0.4999,0.4698,-0.4035,0.5108,0
PRESTWICK3_000652,0.3342,NA,NA,0.3657,0.4882,-0.4588,0.39603333333333335,2
Omacetaxine Mepesuccinate,0.3339,0.383,0.5042,0.369,0.439,-0.3334,0.40582,0
Niclosamide,0.3334,0.3544,0.3773,NA,0.6807,-0.3234,0.43645,1
"2-Propenoic acid, 3-[4-(1H-imidazol-1-ylmethyl)phenyl]-, (z)-",0.3328,NA,NA,NA,0.5046,-0.4586,0.4187,3
RO 90-7501,0.3326,NA,NA,NA,0.6424,-0.365,0.4875,3
Tropicamide,0.3323,NA,NA,0.3906,0.5986,-0.4156,0.4405,2
Pyrimethamine,0.3311,0.4744,NA,0.4913,0.5628,-0.3605,0.4649,1
ALD1-H_001128,0.3301,NA,NA,0.3534,0.4333,-0.4274,0.3722666666666667,2
CHEMBL1868923,0.33,NA,NA,0.4574,0.567,-0.3817,0.4514666666666666,2
AC1NWALX,0.3298,NA,0.474,0.4667,0.5009,-0.4286,0.44284999999999997,1
Fasudil,0.3297,NA,NA,0.5377,0.7348,-0.4434,0.5340666666666667,2
Curcumin,0.3287,0.5484,0.358,0.5682,0.5265,-0.3261,0.46596,0
CHEMBL2142684,0.3286,NA,NA,0.5838,0.4933,-0.4104,0.4685666666666667,2
