compound,Azt,Los,Nib,Quine,Vir,sars,nas
179324-69-7,0.3684,NA,0.5046,0.6184,NA,-0.3311,2
"3,5-Bis(4-methylbenzylidene)piperidin-4-one",0.4451,NA,0.4533,0.5666,0.4116,-0.3742,1
301836-43-1,0.3494,NA,0.3274,0.4995,0.3557,-0.343,1
ABT-751,0.3493,NA,0.3479,0.5286,NA,-0.3828,2
ABT737,0.3347,0.4501,0.422,0.5687,0.3519,-0.3472,0
AC1NWALF,0.3816,0.4408,0.6553,NA,NA,-0.451,2
AC1NWAQV,0.3279,NA,0.3859,0.5583,NA,-0.3737,2
Adapalene,0.3421,NA,NA,0.4948,NA,-0.3365,3
Afatinib,0.4095,NA,0.4274,0.4208,NA,-0.3573,2
Albendazole,0.4563,0.5207,0.3674,0.6137,NA,-0.3373,1
altrenogest,0.4143,NA,0.3501,NA,NA,-0.3692,3
Aminopurvalanol,0.3892,0.3293,0.534,0.6329,NA,-0.399,1
Apilimod,0.4005,NA,0.3671,NA,NA,-0.6659,3
AT-7519,0.329,0.3863,0.4343,0.5726,0.3426,-0.3438,0
AT-9283,0.3906,0.3738,0.4136,0.5735,NA,-0.5051,1
Avicin-G,0.3616,0.5191,0.5607,0.4764,0.5723,-0.4516,0
AZD-1775,0.4732,NA,0.5433,0.5707,NA,-0.3314,2
AZD8931 (Sapitinib),0.3848,NA,NA,0.4167,NA,-0.335,3
Bardoxolone Methyl,0.4825,NA,0.3942,0.5136,0.5754,-0.3634,1
BI-2536,0.3434,0.378,0.4836,NA,0.3507,-0.4523,1
BMS-794833,0.3645,0.331,NA,0.5854,NA,-0.5179,2
Bosutinib,0.4428,0.3703,0.4237,0.4517,NA,-0.4005,1
BRD-A24396574-001-01-5,0.5345,0.3266,0.3578,0.6596,NA,-0.3675,1
BRD-A28746609,0.4372,NA,0.4155,0.6901,0.3243,-0.3884,1
Cadmium Dichloride,0.3586,NA,0.6522,0.7256,NA,-0.3601,2
Canertinib,0.3505,0.3962,0.5516,0.4641,0.3283,-0.3315,0
Carfilzomib (PR-171),0.671,NA,0.384,0.5679,NA,-0.4212,2
CHEMBL179288,0.4729,0.4041,0.5069,NA,0.4913,-0.3782,1
CHEMBL2136735,0.4051,NA,0.4358,NA,0.4923,-0.4246,2
CHEMBL2143628,0.3383,0.3585,0.3896,NA,NA,-0.3582,2
CHEMBL318111,0.3634,NA,0.3434,NA,0.6296,-0.3311,2
Cholic acid,0.5707,0.3328,NA,0.4274,0.4421,-0.6033,1
CI-218872,0.4624,NA,0.6879,NA,0.3513,-0.4101,2
CID-2858522,0.4641,NA,NA,0.4143,NA,-0.3739,3
CLONAZEPAM,0.775,0.4629,NA,NA,NA,-0.6425,3
cortisone-acetate,0.5054,NA,0.3903,0.6089,0.4186,-0.3307,1
Crizotinib,0.3878,0.3949,0.3954,0.6181,NA,-0.3323,1
Curcumin,0.3312,0.3559,NA,0.6171,NA,-0.3547,2
"Cyclohexanecarboxamide, 4-(1-aminoethyl)-n-4-pyridinyl-, trans-",0.3211,NA,NA,0.718,NA,-0.4699,3
Diethylstilbestrol,0.3472,NA,0.3934,NA,0.3619,-0.6114,2
DOCETAXEL,0.3804,NA,0.5162,0.5776,NA,-0.3448,2
Dolastatin 10,0.3797,NA,0.3821,NA,NA,-0.4365,3
