compound,azt,los,nib,quine,vir,similarity,meansim,nas
Azithromycin,1,0.4919,0.5645,0.5268,NA,-0.3823,0.6458,1
UB-165,0.8277,0.4295,NA,0.482,NA,-0.3236,0.5797333333333333,2
848193-68-0,0.7678,0.5531,0.5266,0.442,0.5947,-0.3472,0.57684,0
Sirolimus,0.767,0.5555,0.7813,0.5121,0.5713,-0.3317,0.63744,0
SPECTRUM1505012,0.7648,0.4143,NA,0.4544,0.3278,-0.3292,0.490325,1
Curcumin,0.7582,0.3957,0.3769,0.3933,0.5062,-0.3254,0.48606,0
Indomethacin,0.7008,NA,0.3813,0.3672,NA,-0.3307,0.4831,2
MLN-8054,0.7003,0.5141,0.4635,0.5446,0.3592,-0.4248,0.51634,0
Rivaroxaban,0.6998,0.372,NA,0.3741,0.3375,-0.3557,0.44584999999999997,1
AMSACRINE,0.6989,NA,0.5934,0.4371,NA,-0.3228,0.5764666666666667,2
PF-04217903,0.6909,0.5322,0.3973,0.634,0.4738,-0.3384,0.54564,0
N6022,0.6898,NA,NA,0.602,0.409,-0.4051,0.5669333333333333,2
Selumetinib,0.6897,0.5849,0.5202,0.3749,0.5495,-0.3322,0.54384,0
Bisoprolol,0.6825,NA,NA,0.3523,0.3295,-0.3459,0.45476666666666665,2
Nordihydroguaiaretic acid,0.6613,0.3719,NA,0.6496,0.4475,-0.3615,0.532575,1
Falnidamol,0.6561,0.4857,0.7831,0.3382,NA,-0.3284,0.565775,1
Dabrafenib,0.6227,0.5652,0.4842,0.3892,0.3691,-0.4026,0.48608,0
Chaetocin,0.6099,0.5789,NA,0.629,0.444,-0.3462,0.56545,1
Nefazodone,0.604,0.3982,0.3495,0.3513,NA,-0.3267,0.42574999999999996,1
CHEMBL585951,0.5973,0.6402,0.4386,0.4965,0.3665,-0.3624,0.50782,0
Dasatinib,0.5965,0.6219,0.6079,0.499,0.4774,-0.3795,0.56054,0
AGK 2,0.5823,0.4684,0.3444,0.5425,0.3822,-0.3282,0.46396,0
FK888,0.5778,0.391,0.7837,0.3362,0.4259,-0.3504,0.50292,0
Decitabine,0.5704,0.609,0.3525,0.4215,0.4018,-0.376,0.47104,0
Gefitinib,0.559,0.6054,0.7367,0.5293,0.4194,-0.3795,0.56996,0
Quizartinib,0.5588,0.5668,0.6319,0.4758,0.3584,-0.3296,0.51834,0
Regorafenib,0.5571,0.5967,0.462,0.4504,0.385,-0.3334,0.49024,0
GSK-461364,0.5523,0.4156,0.7627,0.5035,0.3651,-0.3244,0.51984,0
KW-2449,0.5508,0.5914,0.5525,0.5188,0.3358,-0.3648,0.50986,0
Thioridazine,0.5483,0.4788,0.8069,0.4405,0.3588,-0.3437,0.52666,0
Nimodipine,0.5381,0.4865,0.4923,0.7214,NA,-0.3392,0.559575,1
3-(4-Pyridyl)indole,0.5345,0.3347,0.3637,0.4137,0.3837,-0.3236,0.40606,0
BRD-K18059480,0.5288,0.4445,NA,NA,NA,-0.3563,0.48665,3
SCHEMBL17497626,0.5191,0.4179,0.3987,0.6719,NA,-0.3213,0.5019,1
Erlotinib,0.5132,0.5684,0.609,0.4974,0.3678,-0.3484,0.5111600000000001,0
"9-Fluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione",0.5129,0.3686,0.5324,0.4256,0.4106,-0.3485,0.45002,0
Pinacidil,0.5097,0.4455,NA,0.3579,0.483,-0.4666,0.449025,1
Hydroxyprogesterone Caproate,0.5011,0.4581,0.5156,0.3728,0.4637,-0.3766,0.46226,0
