compound,azt,los,nib,quine,vir,similarity,meansim,nas
Thioguanosine,0.8191,0.38,NA,0.3909,0.328,-0.3442,0.47950000000000004,1
R-7128,0.6854,0.4849,0.5565,0.3224,0.4085,-0.3267,0.49154,0
"Cyclohexanecarboxamide, 4-(1-aminoethyl)-n-4-pyridinyl-, trans-",0.5786,0.4209,0.5015,0.5914,0.5006,-0.3257,0.5186,0
Pelitinib,0.5542,0.3558,0.483,0.6799,0.3434,-0.3381,0.48325999999999997,0
179324-69-7,0.5489,0.4545,0.6216,0.5886,0.6286,-0.3534,0.5684400000000001,0
CI-1040,0.5449,0.429,0.4906,0.6388,0.3968,-0.3641,0.50002,0
Mebendazole,0.5183,0.3992,0.4961,0.5074,0.5721,-0.3375,0.49862,0
Ibutilide,0.5158,0.4979,NA,NA,0.3487,-0.3442,0.45413333333333333,2
Neratinib,0.5076,0.6526,0.4872,0.7238,0.5292,-0.3229,0.58008,0
Withaferin A,0.5049,0.486,0.5925,0.6928,0.5323,-0.3496,0.5617,0
Troglitazone,0.5018,0.431,0.3488,0.553,0.4933,-0.342,0.46558,0
Selumetinib,0.4906,0.6056,0.4838,0.645,0.4336,-0.3277,0.53172,0
Radicicol,0.489,0.4603,0.6244,0.5685,0.4615,-0.3257,0.52074,0
GW843682X,0.456,0.5508,0.52,0.7066,0.4857,-0.3213,0.54382,0
CGK733,0.449,0.5814,0.5297,0.5421,0.4064,-0.326,0.5017199999999999,0
Bosutinib,0.4428,0.5675,0.5275,0.762,0.49370000000000003,-0.3255,0.5587,0
Parthenolide,0.4397,0.3446,0.3573,0.4977,0.509,-0.3418,0.42966,0
HMN-214,0.4328,0.5071,0.5866,0.6349,0.4298,-0.3286,0.51824,0
GW-5074,0.4299,0.504,0.6397,0.6612,0.5056,-0.356,0.54808,0
MLS002264466,0.4206,NA,0.3454,0.3448,0.3812,-0.338,0.373,1
"(1Ar,7as,10as,10br)-1a,5-Dimethyl-8-methylidene-2,3,6,7,7a,8,10a,10b-octahydrooxireno[9,10]cyclodeca[1,2-b]furan-9(1ah)-one",0.4141,0.509,0.3758,0.5425,0.5048,-0.3251,0.46924,0
MLS002264453,0.4129,NA,0.374,0.4617,0.4713,-0.3308,0.429975,1
Cladribine,0.4097,0.3783,0.6422,0.587,0.3766,-0.322,0.47876,0
CHEMBL3182395,0.4052,0.3309,0.4089,0.7016,0.3634,-0.3723,0.442,0
GSK-3 Inhibitor IX,0.4009,0.4971,0.617,0.7345,0.4982,-0.3217,0.54954,0
WYE 125132,0.398,0.5253,0.416,0.7375,0.5153,-0.3399,0.51842,0
TAK-733,0.3854,NA,NA,0.4711,NA,-0.338,0.42825,3
