compound,azt,los,nib,quine,vir,similarity,meansim,nas
Famotidine,0.8685,0.54990000000000006,0.3291,0.3885,0.702,-0.4295,0.5676,0
BRD-K48505466,0.8508,NA,NA,NA,0.7332,-0.4596,0.792,3
AC1LDBAO,0.8293,0.6889,0.3874,0.4195,0.8131,-0.3274,0.62764,0
SCHEMBL14379041,0.8035,0.4242,0.341,NA,0.8045,-0.3225,0.5933,1
3-Aminobenzamide,0.8019,0.5197,NA,0.5043,0.6884,-0.4223,0.628575,1
HSCI1_000314,0.8,0.4467,0.3355,0.4278,0.6981,-0.3267,0.54162,0
BMS-536924,0.7897,0.6608,0.5546,0.5102,0.7977,-0.3392,0.6626,0
Tonabersat,0.7649,0.849,NA,0.3948,0.7667,-0.4633,0.69385,1
NNC 05-2090,0.7627,0.4548,0.5157,0.4143,0.8298,-0.3773,0.59546,0
CHEMBL2355346,0.7444,NA,0.3617,0.6044,NA,-0.3547,0.5701666666666667,2
FPA1_000218,0.7332,NA,0.3536,NA,NA,-0.4907,0.5434,3
Clofibrate,0.7285,NA,0.3986,0.3848,0.5283,-0.4955,0.51005,1
LY 2183240,0.7259,0.4901,0.4616,0.5962,0.7494,-0.4232,0.60464,0
Vesamicol,0.7223,NA,0.3805,NA,0.4993,-0.4533,0.5340333333333334,2
SMR000075319,0.7216,0.5321,0.6886,0.7179,0.813,-0.417,0.69464,0
GSK-461364,0.7194,0.661,0.5108,0.6029,0.6964,-0.3321,0.6381,0
BRD-K95985487-001-01-3,0.716,0.4106,NA,0.5675,0.6461,-0.4263,0.58505,1
Orlistat,0.7118,0.5717,0.7218,0.4981,0.5287,-0.4177,0.60642,0
SCHEMBL2557158,0.7036,0.437,0.7353,0.4673,0.6024,-0.3276,0.58912,0
GSK-923295,0.6993,0.4803,0.3512,NA,0.6192,-0.4315,0.5375,1
GSK-1070916,0.6969,0.5819,0.6138,0.5849,0.767,-0.3429,0.6489,0
"16,16-Dimethyl prostaglandin e2",0.6941,0.401,NA,0.3942,0.8866,-0.4574,0.593975,1
SMR000082310,0.6921,0.3896,NA,0.3315,0.4436,-0.5595,0.4642,1
AZD-1775,0.6871,0.6042,0.6053,0.5588,0.9131,-0.3213,0.6737,0
Perphenazine,0.6864,0.608,0.6663,0.5318,0.7186,-0.321,0.64222,0
GW843682X,0.6859,0.61,0.5361,0.5866,0.6719,-0.3211,0.6181,0
Bavisant (dihydrochloride hydrate),0.6811,0.4128,NA,0.4329,0.7181,-0.4379,0.561225,1
Bosutinib,0.6782,0.6462,0.6786,0.5375,0.6907,-0.3331,0.64624,0
BCPP000194,0.677,0.7407,0.4567,0.4837,0.5469,-0.4281,0.5810000000000001,0
MK-0773,0.6744,0.3799,NA,NA,NA,-0.4106,0.52715,3
BI-2536,0.6694,0.6018,0.6478,0.3337,0.8134,-0.4109,0.61322,0
Chloroquine,0.6688,0.391,0.4366,1,0.7202,-0.4133,0.64332,0
Chloroquine,0.6688,0.391,0.4366,1,0.7202,-0.4133,0.64332,0
pyrvinium-pamoate,0.6672,0.5541,0.4251,0.6669,0.7862,-0.3247,0.6199,0
BRD-K82494270,0.6639,NA,NA,0.3854,0.5933,-0.3231,0.5475333333333334,2
59826-53-8,0.6588,0.3729,0.3358,0.3492,0.571,-0.3566,0.45754,0
AC1L1IKY,0.657,0.3889,0.3693,0.4055,0.5168,-0.5027,0.4675,0
Trifluoperazine,0.6549,0.7439,0.6865,0.4779,0.791,-0.3219,0.67084,0
BRD-K70052069,0.6537,0.6258,NA,0.5036,NA,-0.3522,0.5943666666666667,2
Zuclomiphene,0.6517,0.6788,0.6934,0.563,0.7278,-0.3404,0.66294,0
Vorinostat,0.6502,0.6251,0.6283,0.662,0.8552,-0.3242,0.68416,0
Vorinostat,0.6502,0.6251,0.6283,0.662,0.8552,-0.3242,0.68416,0
AKT Inhibitor VIII,0.6487,0.5624,0.682,0.486,0.7498,-0.3575,0.62578,0
TGX-115,0.6475,0.4427,0.4017,0.6964,0.7596,-0.3298,0.58958,0
Perhexiline,0.6467,0.5682,0.6713,0.5357,0.776,-0.3227,0.63958,0
Falnidamol,0.6464,0.5218,0.6519,0.499,0.6417,-0.3577,0.59216,0
SPOX1_002925,0.6449,0.3909,0.3406,NA,0.5846,-0.3516,0.49025,1
Sertraline,0.6411,0.4921,0.7552,0.5162,0.693,-0.3443,0.61952,0
SB-431542,0.6408,0.5192,0.5083,0.4848,0.558,-0.4205,0.54222,0
