compound,azt,los,nib,quine,vir,similarity,meansim,nas
(-)-Tramadol,0.8097,NA,NA,0.3314,NA,-0.3223,0.57055,3
Sirolimus,0.767,0.5555,0.7813,0.5121,0.5713,-0.3216,0.63744,0
Aurora A Inhibitor I,0.7589,0.5336,0.6687,0.4352,0.3562,-0.3672,0.55052,0
ZINC77024257,0.7543,0.5243,0.7705,0.3767,0.3421,-0.3546,0.55358,0
10-DEBC,0.7431,0.4535,0.7769,0.4345,NA,-0.4205,0.602,1
AKT Inhibitor VIII,0.7427,0.5657,0.7739,0.6678,0.4539,-0.4253,0.6408,0
GDC-0152,0.7378,0.4114,NA,0.3568,NA,-0.3309,0.502,2
Tivozanib,0.7276,0.4652,0.6477,0.3832,0.3697,-0.3733,0.51868,0
AC1NSZCT,0.7084,0.4664,0.3407,0.4573,0.3284,-0.3704,0.46024,0
Theophylline,0.7076,0.3219,NA,0.326,NA,-0.3833,0.45183333333333336,2
Gliclazide,0.7053,0.5264,0.6832,0.3683,NA,-0.361,0.5708,1
MLN-8054,0.7003,0.5141,0.4635,0.5446,0.3592,-0.3466,0.51634,0
LE-135,0.6993,0.5089,0.6885,0.4128,0.4734,-0.3216,0.55658,0
AMSACRINE,0.6989,NA,0.5934,0.4371,NA,-0.3221,0.5764666666666667,2
PF-04217903,0.6909,0.5322,0.3973,0.634,0.4738,-0.3734,0.54564,0
N6022,0.6898,NA,NA,0.602,0.409,-0.3393,0.5669333333333333,2
Selumetinib,0.6897,0.5849,0.5202,0.3749,0.5495,-0.3281,0.54384,0
RO4987655,0.6867,0.5605,0.3269,NA,NA,-0.3405,0.5246999999999999,2
BRD-K41087962,0.6808,0.3766,0.5274,0.5361,0.3372,-0.3414,0.49162,0
R547,0.6756,0.5633,0.4443,NA,0.3275,-0.3223,0.502675,1
L-690330,0.6744,0.4418,0.3531,0.5445,0.3897,-0.3392,0.4807,0
TCB2,0.6735,0.4493,NA,0.3841,NA,-0.353,0.5023,2
Nilotinib,0.6721,0.4209,0.5855,0.4782,0.5306,-0.3442,0.53746,0
3-Aminobenzamide,0.67,NA,NA,0.5341,0.3427,-0.4166,0.5156000000000001,2
"MEK162 (ARRY-162, ARRY-438162)",0.6685,0.502,NA,NA,NA,-0.3243,0.58525,3
Deoxycholic acid,0.6629,0.5353,0.4371,0.4643,NA,-0.3378,0.5249,1
AZD-8055,0.6626,0.5601,0.4348,0.7319,0.5985,-0.3457,0.59758,0
Emodic acid,0.6625,NA,0.6409,NA,NA,-0.3661,0.6517,3
PI-103,0.658,0.6444,0.492,0.8118,0.5905,-0.3323,0.63934,0
ICG-001,0.6382,0.5921,0.4154,NA,0.3615,-0.3291,0.5018,1
COT-10B,0.6365,0.5883,0.6362,0.7059,0.4477,-0.427,0.60292,0
PD-198306,0.6318,0.6287,0.4366,0.5526,0.3348,-0.3295,0.5169,0
Vitinoin,0.6285,0.4183,0.3268,NA,NA,-0.3321,0.45786666666666664,2
Dabrafenib,0.6227,0.5652,0.4842,0.3892,0.3691,-0.3247,0.48608,0
AC1O8PYD,0.6119,NA,0.4437,0.3369,NA,-0.3218,0.46416666666666667,2
VX-11E,0.6087,0.4815,NA,0.4002,0.3267,-0.3277,0.454275,1
Picotamide,0.6037,0.5666,NA,0.36870000000000003,NA,-0.3224,0.513,2
Dasatinib,0.5965,0.6219,0.6079,0.499,0.4774,-0.3213,0.56054,0
Purmorphamine,0.5933,0.4461,NA,0.3512,NA,-0.3533,0.46353333333333335,2
OSI-906 (Linsitinib),0.5856,0.3459,NA,NA,0.3821,-0.3746,0.4378666666666667,2
AGK 2,0.5823,0.4684,0.3444,0.5425,0.3822,-0.3486,0.46396,0
Decitabine,0.5704,0.609,0.3525,0.4215,0.4018,-0.3221,0.47104,0
Gefitinib,0.559,0.6054,0.7367,0.5293,0.4194,-0.3301,0.56996,0
Quizartinib,0.5588,0.5668,0.6319,0.4758,0.3584,-0.4554,0.51834,0
KW-2449,0.5508,0.5914,0.5525,0.5188,0.3358,-0.3327,0.50986,0
Thioridazine,0.5483,0.4788,0.8069,0.4405,0.3588,-0.3264,0.52666,0
Ethacrynic acid,0.5403,0.5508,0.3716,0.4936,0.3759,-0.342,0.46643999999999997,0
Infigratinib,0.5382,0.5362,0.4834,0.4938,0.5097,-0.3269,0.51226,0
Nimodipine,0.5381,0.4865,0.4923,0.7214,NA,-0.3214,0.559575,1
3-(4-Pyridyl)indole,0.5345,0.3347,0.3637,0.4137,0.3837,-0.4274,0.40606,0
AT-9283,0.5311,0.5185,0.4682,0.435,0.3349,-0.3293,0.45754,0
Dorsomorphin,0.5206,0.6055,0.508,0.624,0.3422,-0.3344,0.52006,0
