compound,azt,los,nib,quine,vir,similarity,meansim,nas
Brefeldin A,0.6778,0.4088,0.4156,0.6149,0.6703,-0.4006,0.55748,0
SB-216763,0.622,0.5285,0.4154,0.5243,0.6232,-0.3349,0.5426799999999999,0
Nimodipine,0.5503,0.3265,0.3771,0.4404,0.8082,-0.3214,0.5005000000000001,0
Gefitinib,0.5428,0.4664,0.378,0.5095,0.7275,-0.3301,0.52484,0
3-(4-Pyridyl)indole,0.5197,0.5565,0.4068,0.4752,0.5068,-0.4274,0.493,0
Nifedipine,0.5054,NA,NA,0.7246,0.4273,-0.3683,0.5524333333333333,2
MLS002729074,0.5033,0.3517,0.3743,0.4153,0.5899,-0.3335,0.4469,0
Ursolic acid,0.4872,NA,NA,0.328,0.5426,-0.3484,0.4526,2
Linsitinib,0.4845,0.4333,0.3782,0.6485,0.6172,-0.4243,0.51234,0
Phenoxazine,0.4553,0.5355,0.3312,0.4996,0.7082,-0.3262,0.50596,0
Dacomitinib,0.444,0.5279,0.3925,0.4187,0.5678,-0.3337,0.47018,0
Lexibulin,0.4264,0.4451,NA,0.43120000000000003,0.7693,-0.3245,0.518,1
Calcitriol,0.4247,0.5466,0.3795,0.42,0.6687,-0.3364,0.4879,0
Triciribine,0.4186,0.4257,NA,0.5365,0.6774,-0.3224,0.5145500000000001,1
Gemcitabine,0.4172,0.3601,0.3673,0.6568,0.5721,-0.3216,0.4747,0
NVP-AUY922,0.4118,0.8285,NA,0.6584,0.835,-0.3411,0.683425,1
Minoxidil,0.4096,0.4491,NA,0.5269,0.5532,-0.3221,0.4847,1
"6,10,10B-Trihydroxy-3,4a,7,7,10a-pentamethyl-1-oxo-3-vinyldodecahydro-1H-benzo[f]chromen-5-yl acetate",0.4086,NA,0.3433,0.3666,NA,-0.3377,0.37283333333333335,2
SMR000651449,0.4058,NA,NA,0.5043,0.7389,-0.3631,0.5496666666666666,2
Colforsin,0.4045,NA,NA,0.4724,0.5071,-0.3805,0.4613333333333333,2
PF-04217903,0.4016,0.3582,0.3856,0.6505,0.7104,-0.3734,0.50126,0
XAV 939,0.3994,NA,0.4751,0.4665,0.4712,-0.3385,0.45305,1
Warfarin,0.3991,NA,NA,NA,0.6794,-0.4212,0.53925,3
Sirolimus,0.3987,0.4989,0.3374,0.657,0.7278,-0.3216,0.52396,0
10-DEBC,0.3963,0.3311,0.3708,0.4608,0.6602,-0.4205,0.44384,0
BS-181,0.3919,0.3488,0.4005,0.4356,0.8697,-0.3234,0.4893,0
BMS-299897,0.3905,0.3964,NA,NA,0.5835,-0.3239,0.4568,2
Tamibarotene,0.3872,0.3364,NA,0.3915,0.5472,-0.3702,0.41557500000000003,1
Tozasertib,0.3851,0.4366,0.3909,0.5518,0.8016,-0.3287,0.5132,0
BIX01294,0.3839,0.4143,0.3789,0.5073,0.7412,-0.3338,0.48512,0
PX 12,0.3814,0.7977,0.3736,0.6113,0.5139,-0.3839,0.53558,0
MLS-0435541.0001,0.3769,NA,NA,0.4172,0.6048,-0.3862,0.4663,2
"O-(OCTAHYDRO-1H-4,7-METHANOINDEN-5-YL) HYDROGEN CARBONODITHIOATE",0.3758,NA,NA,0.4953,0.5445,-0.3914,0.47186666666666666,2
BRD-K41087962,0.3741,NA,NA,0.3291,0.8021,-0.3414,0.5017666666666667,2
COT-10B,0.3726,0.5196,0.4728,0.434,0.568,-0.427,0.4734,0
Dactolisib,0.3713,0.42,NA,0.5944,0.7621,-0.3307,0.53695,1
TGX 221,0.3707,NA,0.3389,0.5245,0.6183,-0.3328,0.46309999999999996,1
Wortmannin,0.3706,0.4726,0.4437,0.6202,0.8187,-0.3222,0.54516,0
3-Methyladenine,0.3703,NA,NA,0.5113,NA,-0.3721,0.44079999999999997,3
Acetylcysteine,0.3686,NA,NA,NA,0.5234,-0.3331,0.44599999999999995,3
KW-2449,0.3682,0.3497,0.4919,0.5779,0.6607,-0.3327,0.48968,0
noscapine,0.3659,0.4608,0.3601,0.4179,0.5133,-0.3567,0.4236,0
PIK-93,0.3642,0.3664,NA,0.4799,0.5868,-0.3988,0.449325,1
Gallocatechin Gallate,0.3619,NA,0.3313,0.5671,0.7744,-0.3377,0.508675,1
CHEMBL83092,0.3596,NA,NA,0.3899,NA,-0.3405,0.37475,3
ASN 05257430,0.3587,0.3383,NA,NA,0.4532,-0.3752,0.3834,2
Vorinostat,0.3574,0.6613,0.4976,0.7391,0.8047,-0.3224,0.61202,0
GSK429286A,0.3512,0.4513,0.3425,0.3731,0.722,-0.3435,0.44802,0
BRD-K90543092-001-01-2,0.3489,0.4271,0.3267,0.3502,0.4371,-0.3444,0.378,0
Quinacrine,0.3486,0.3924,0.3762,0.5076,0.6739,-0.3432,0.45974000000000004,0
Sorafenib,0.3479,0.5962,0.4481,0.5062,0.657,-0.3266,0.51108,0
Dehydroepiandrosterone Acetate,0.3454,0.3235,NA,NA,NA,-0.3589,0.33445,3
L-690488,0.3445,NA,0.3487,0.4088,0.6765,-0.4795,0.444625,1
Avicin-G,0.3444,0.4119,0.3346,0.513,0.5555,-0.3285,0.43188,0
CEP-701,0.3441,NA,0.3447,0.5079,0.504,-0.3435,0.425175,1
LY-294002,0.3441,0.5217,0.4182,0.5928,0.6662,-0.3272,0.5086,0
Mitoxantrone,0.3434,0.3656,0.415,0.5627,0.6443,-0.3222,0.4662,0
Cyproheptadine,0.3427,0.4589,0.4071,0.393,0.493,-0.3347,0.41894,0
GSK-2334470,0.3414,0.3882,0.3526,0.3634,0.783,-0.3344,0.44572,0
Rebastinib,0.341,0.4757,NA,0.4991,0.8894,-0.3243,0.5513,1
Danazol,0.3408,0.446,0.3443,0.5566,0.4892,-0.3491,0.43538,0
Raltitrexed,0.3402,NA,0.3347,NA,NA,-0.3331,0.33745000000000003,3
Tretinoin,0.3381,0.4409,0.3326,0.5732,0.6415,-0.3232,0.46526,0
Niclosamide,0.3334,0.3544,0.3773,NA,0.6807,-0.3242,0.43645,1
Pyrimethamine,0.3311,0.4744,NA,0.4913,0.5628,-0.3314,0.4649,1
ALD1-H_001128,0.3301,NA,NA,0.3534,0.4333,-0.3336,0.3722666666666667,2
CHEMBL1868923,0.33,NA,NA,0.4574,0.567,-0.3389,0.4514666666666666,2
179324-69-7,0.3252,0.7453,0.3986,0.4086,0.7023,-0.3293,0.516,0
C21H27N7O3,0.3249,0.345,0.3397,0.4974,0.7105,-0.3433,0.4435,0
MW-STK33-100,0.3246,NA,NA,0.3479,0.4736,-0.3252,0.38203333333333334,2
Avicin-D,0.3238,0.3452,0.3434,0.3303,0.5834,-0.3666,0.38522,0
Vitinoin,0.3227,NA,0.3623,0.3451,0.4525,-0.3321,0.37065000000000003,1
AC1Q6JJ5,0.3223,0.4932,0.3841,0.4467,0.7956,-0.3369,0.48838,0
BRD-K08663380,0.3222,NA,NA,0.4615,0.4885,-0.3295,0.42406666666666665,2
JZL-184,0.7218,0.6788,NA,0.4166,0.4619,-0.4086,0.569775,1
AKT Inhibitor VIII,0.6376,0.3831,NA,0.6255,0.7716,-0.4253,0.6044499999999999,1
CHEMBL2132289,0.631,0.362,NA,0.3986,0.6336,-0.3363,0.5063,1
UNC0638,0.5754,0.3614,0.3217,NA,0.6231,-0.3437,0.4704,1
MLN 2238,0.5693,0.6518,0.4155,0.403,0.5714,-0.3634,0.5222,0
Tosedostat,0.4917,0.5287,0.3531,0.4118,0.7373,-0.3328,0.50452,0
GDC-0152,0.4859,NA,NA,0.4,0.4896,-0.3309,0.4585,2
Foretinib,0.4831,0.3971,NA,0.4565,0.6946,-0.3509,0.507825,1
PI-103,0.4822,0.3288,NA,0.5234,0.8313,-0.3323,0.541425,1
Y-39983,0.4446,0.4845,NA,0.5621,0.6233,-0.3251,0.528625,1
CHEMBL1083527,0.4427,0.3323,NA,0.6035,0.5802,-0.3661,0.489675,1
pyrvinium-pamoate,0.4417,0.5137,NA,0.484,0.5955,-0.3231,0.508725,1
Ischemin,0.4326,NA,NA,0.532,0.623,-0.3211,0.5292,2
Teniposide,0.4293,NA,0.4588,0.3935,0.535,-0.3277,0.45415,1
Amylocaine,0.4235,NA,NA,NA,0.4733,-0.3361,0.4484,3
SMER28,0.4224,NA,NA,NA,0.5645,-0.3327,0.49345,3
BMS-536924,0.4173,0.5466,NA,0.4945,0.6078,-0.3821,0.51655,1
AC1LUIBL,0.4124,0.4471,0.4167,NA,NA,-0.494,0.4254,2
Momelotinib,0.4088,0.4059,0.3851,0.3264,0.6676,-0.4102,0.43876,0
Alprostadil,0.4033,0.3871,NA,0.4495,0.4768,-0.4306,0.429175,1
