compound,avg,sdev,slog10,slog2
(3-Isopropoxyphenyl)(1-((5-methyl-1-propyl-1H-pyrazol-4-yl)methyl)piperidin-3-yl)methanone,0.455278125,0.0615820495609313,1.2105458610939064,4.0213463061174615
"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",0.6214239583333334,0.03630293877143365,1.4400582168218203,4.783769848733802
3-(4-Pyridyl)indole,0.5266466666666667,0.0758844870327409,1.1198469972885747,3.720051202268168
"3,7-Bis(dimethylamino)phenothiazin-5-ium",0.5056983333333334,0.052076703021783625,1.2833565187711031,4.263218075462568
"4,11-Diethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione",0.5112285416666666,0.05566534459106904,1.2544150981281579,4.167076757122815
848193-68-0,0.542688125,0.051522380138238254,1.2880040824295602,4.278656947752374
869288-64-2,0.5425966666666667,0.06034396869560792,1.2193661305892134,4.0506466071584
"9-Fluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione",0.471865,0.08735125283262156,1.0587308617813087,3.5170277946756383
A-443654,0.511674375,0.06229009880133885,1.205580980269827,4.004853329020185
AC1MJ3VH,0.48724270833333333,0.049337177182438685,1.3068257022147551,4.341181015308101
AC1OCDAW,0.467659375,0.03993489553881953,1.3986474472518824,4.646206249868519
AC1Q6JJ5,0.542104375,0.03899654466721564,1.408973872420732,4.680509891756672
AGK 2,0.4837929166666667,0.052835322253009534,1.2770756393851561,4.242353445769792
AKT Inhibitor IV,0.5068902083333333,0.06961473824772743,1.1572988054748157,3.844463416086375
Aliskiren,0.4449239583333333,0.08403143608640785,1.0755582143566493,3.572927049958237
Alvocidib,0.5156183333333333,0.04619553499175655,1.3353999989493193,4.436102774422298
amcinonide,0.5038358333333334,0.06695697236593587,1.1742041923280402,3.9006218956290404
Aminopurvalanol,0.49172354166666665,0.07157942558454831,1.1452117910879809,3.8043112234114402
Amitriptyline,0.48158229166666666,0.06173463307241177,1.2094711287954385,4.017776122700699
AMSACRINE,0.48063333333333336,0.05120543048457958,1.2906839783908997,4.287559369437723
Amuvatinib,0.51939,0.0498955480407392,1.301938202825411,4.324945093772894
Apigenin,0.42845,0.039466133009985985,1.4037754247749554,4.6632410224723655
AS-605240,0.559306875,0.034852587051132165,1.457764979392924,4.842590440788251
AS601245,0.5128616666666667,0.04691394833535861,1.328698014759096,4.4138392648493046
AT-7519,0.5185185416666667,0.055931445669077214,1.2523439552473141,4.160196569398414
Auranofin,0.48186958333333335,0.07454580024872108,1.1275768187459694,3.7457291133359507
Avicin-D,0.4938664583333333,0.0674741329651211,1.1708626873699313,3.889521656429493
Avicin-G,0.51749375,0.055971521746572016,1.2520328853899476,4.159163217699756
AZ628,0.5285035416666667,0.05809182673733505,1.2358849666211928,4.105520992667871
AZD 1480,0.4847739583333333,0.07469999836349363,1.1266794076990014,3.7427479783663657
AZD-1775,0.5794341666666667,0.059166468349768214,1.227924353014392,4.079076406674896
AZD-5438,0.50718875,0.06347483323152445,1.1973984314817916,3.977671490313424
Azithromycin,0.5823433333333333,0.09171128370018874,1.0375772276096775,3.446756943011927
BAY 61-3606,0.52213875,0.05038387474111702,1.2977084364016664,4.310894113855046
Benzbromarone,0.45614895833333335,0.051698338302925466,1.286523415851278,4.2737382798468175
BIO2_000413,0.45011666666666666,0.04169052935734011,1.3799625904694757,4.584136499174095
BMS-345541,0.519516875,0.05754556933034525,1.2399881088622853,4.119151336155874
BMS-387032,0.5168570833333334,0.051659419927656026,1.2868504747332103,4.2748247459353905
BRD-A24396574-001-01-5,0.527208125,0.04259508715278762,1.3706404888192127,4.55316914779869
BRD-K42573370-001-01-1,0.44518125,0.05137450145550406,1.2892523795426212,4.282803701003018
BRD-U86222656,0.47314375,0.0455944677682658,1.3410878495169334,4.454997405022376
BRD32048,0.46940624999999997,0.07482237202969971,1.1259685278528606,3.740386486633381
BX-795,0.5237520833333333,0.05592046347020223,1.2524292378039124,4.160479871919182
C24H25CLFN5O3,0.5220364583333333,0.04625799645533202,1.3348131814927007,4.434153409026586
C30H33N3O5S,0.5023379166666667,0.05920951760653361,1.2276084771999451,4.07802708993239
Cabozantinib,0.5203279166666667,0.03135513315548846,1.503691350571263,4.9951545435018
Canertinib,0.5584545833333333,0.040987264066714726,1.387351070226666,4.608680497658012
CGP 60474,0.5190925,0.06408118076761249,1.1932694944872704,3.963955458509304
Chaetocin,0.5287422916666666,0.04033247727286622,1.394345102244929,4.631914169116022
Chelerythrine,0.486250625,0.06670340816081181,1.175851975564412,3.9060957130562284
CHEMBL2355399,0.45449875,0.050150288860757924,1.2997265611426276,4.317598179131032
CHEMBL2355513,0.45642520833333333,0.059086058607558126,1.2285149790857994,4.081038424015078
CHEMBL3188661,0.46934166666666666,0.033604983651096695,1.4735963115484338,4.895180987855133
CHEMBL3347630,0.5042029166666666,0.03696549139088836,1.4322035162503723,4.757677098228581
CHEMBL585951,0.5172745833333333,0.04797626128229443,1.3189735989637217,4.381535454812284
CI-1040,0.5192764583333334,0.05873217965083279,1.231123881452909,4.089705010085197
CT-200783,0.46842875,0.0578564319643275,1.237648353024442,4.111378835502967
Curcumin,0.4977304166666667,0.05783521872698686,1.2378076176207813,4.111907901040067
Cyclosporine,0.4931316666666667,0.07790841447514989,1.1084156339477877,3.6820770352235423
Dabrafenib,0.5311889583333333,0.06987383166492087,1.1556854407258408,3.839103934399454
Daminozide,0.45037499999999997,0.04955447399435435,1.304917129405853,4.3348408736730715
Dasatinib,0.5736866666666667,0.03636461284628669,1.4393210317586098,4.781320972961192
Daunorubicin,0.4508385416666667,0.05288415666849288,1.276674416849892,4.2410206133575965
Decitabine,0.5103785416666666,0.05445338194372436,1.2639751422831111,4.198834536389518
Diflunisal,0.47552916666666667,0.05302123376684789,1.2755501707579633,4.237285948679251
Dilazep,0.47652937500000003,0.06447685394306116,1.1905961614712885,3.9550748384565244
Elliptecine,0.4666139583333333,0.06236594059882198,1.2050525232713996,4.00309783287017
Enzastaurin,0.518655625,0.04177503213963884,1.3790832073097972,4.5812152515497875
Erlotinib,0.5464577083333333,0.05394715972147085,1.268031415666216,4.2123091849013985
ETHYLENEDIAMINE TETRACETATE TETRA-ETHANOLAMINE,0.44694520833333334,0.048010268374534634,1.3186658663438167,4.380513189176509
Falnidamol,0.5293447916666667,0.05423704065413831,1.2657040149861294,4.204577727194159
Fenretinide,0.4704389583333333,0.05723070116903692,1.2423709332462813,4.127066907422254
FK888,0.501675,0.054267902641827404,1.2654569628075236,4.203757037621145
Flufenamic acid,0.46196354166666664,0.06082335794557706,1.2159296069314813,4.039230722671035
Foretinib,0.5539141666666666,0.02861693551749905,1.543376875086985,5.126987002350919
Gallocatechin Gallate,0.5111733333333334,0.03448869127975829,1.4623232852140235,4.857732804960451
Gefitinib,0.5640254166666666,0.06488961241221845,1.1878248198886723,3.9458686409927015
Glyburide,0.5146104166666666,0.10490211657778886,0.9792157490916589,3.2528843078637557
GSK-3 Inhibitor II,0.46960729166666665,0.04921832262978981,1.3078731912232102,4.344660698474374
GSK-3 Inhibitor IX,0.5004804166666666,0.04352017877850111,1.3613093292483636,4.52217170666241
GSK-461364,0.5607977083333333,0.06376289422625928,1.19543197834396,3.9711390743875814
HG-9-91-01,0.49068541666666665,0.046041263262615435,1.3368527688724698,4.440928771645419
HLI-373,0.4928929166666667,0.07286240070916666,1.1374965234925762,3.7786816592266916
Hydroxyl,0.46828458333333334,0.06220812386817668,1.20615289632627,4.006753193036
KW-2449,0.517845625,0.03331012002353252,1.4774238024495028,4.907895637412319
Lapatinib,0.5268256250000001,0.04676710576565999,1.3300595060567786,4.418362041042021
LDN 193189,0.5609310416666666,0.07045184894516018,1.1521076047385355,3.8272186205143255
Lenalidomide,0.4588947916666667,0.06788922202392576,1.1681991680917307,3.8806736369079644
Lestaurtinib,0.46486041666666666,0.06505528307640197,1.1867174290368625,3.9421899682100534
LGX818,0.449646875,0.04810739885045487,1.3177881246071799,4.377597394241519
Linifanib,0.52604875,0.08243104099574905,1.0839092155529395,3.6006684754526317
Lonafarnib,0.45965520833333334,0.042159314938237664,1.3751064547442853,4.568004765475998
Maprotiline,0.49015333333333333,0.07237184809048161,1.1404303370706395,3.788427576976822
Mesoridazine,0.4776708333333333,0.06187588303041542,1.2084785901997837,4.014478980854533
Mitoxantrone,0.5737289583333334,0.06691789624048251,1.1744577208105276,3.9014640990178697
ML162,0.5091597916666667,0.0458669619179788,1.338500025203827,4.4464008387320355
MLN-8054,0.5455672916666666,0.045475629178239475,1.3422212835399652,4.4587625913471864
MLS000089581,0.43891270833333335,0.04760508207778805,1.3223466817222513,4.392740593194223
MLS001173269,0.48122291666666667,0.05329805320270539,1.2732886539896298,4.229773352589464
MLS002222336,0.46585625,0.05188523579451462,1.284956205256952,4.268532118942922
MLS003672589,0.49771916666666666,0.07187742326073727,1.1434075003402142,3.7983174992850888
Mocetinostat,0.4870791666666667,0.06232572728613788,1.2053326449619577,4.004028376984022
N6022,0.480084375,0.05837730119142921,1.233755986510773,4.098448673825611
Narciclasine,0.48394312500000003,0.05578246563012247,1.253502293478163,4.164044485710853
Nefazodone,0.45751624999999996,0.05321430814983014,1.2739715798281528,4.23204198311918
Nimodipine,0.496421875,0.07536071259434968,1.1228550036025102,3.730043582952029
Nortriptyline,0.5130370833333333,0.045448540032342395,1.3424800632908895,4.4596222390721705
NU-7026,0.48837375,0.061863488332702984,1.2085655948253944,4.014768003964734
Osimertinib,0.48601062500000003,0.06965562506449138,1.1570438062202577,3.843616326898483
Oxetane,0.5193502083333333,0.09451695113961397,1.0244902959753173,3.4032830971398753
Parthenolide,0.49133166666666667,0.05436925398211224,1.2646466260506128,4.201065157182043
PCI-34051,0.456669375,0.052394290166142055,1.2807160390554233,4.254446591711071
PD-0325901,0.5668114583333334,0.061747042596344975,1.2093838383087134,4.017486149980431
PF 3845,0.44985458333333334,0.05943371188586278,1.2259671453735101,4.072574703625122
PF-04217903,0.5224235416666667,0.03460473646860366,1.460864453768032,4.852886671794305
"Pfmrk inhibitor, wr 216174",0.447031875,0.055356313289291074,1.2568328414456813,4.175108326575522
PG 490,0.49116041666666665,0.052838866540283635,1.2770465071169348,4.242256670469519
Phentolamine,0.44575833333333337,0.05719071963787843,1.242674438637919,4.128075130509684
Phenytoin,0.45802,0.044008897837697424,1.356459507806061,4.506060948558037
PIK 75,0.4951785416666667,0.06143141794444177,1.2116094602894272,4.024879506166762
Pimobendan,0.442646875,0.0670985590437235,1.173286806300145,3.897574405209118
Pinacidil,0.4586722916666667,0.05875125529856145,1.230982849678963,4.089236512673054
Piplartine,0.520601875,0.05103989559560947,1.2920902226547832,4.292230811766192
Promazine,0.49481729166666666,0.05086151072241435,1.2936107442652214,4.297281875222789
PS-1145,0.436428125,0.06354261145862786,1.1969349406142202,3.976131806978715
Pyrazolanthrone,0.48667333333333335,0.07536994386948216,1.1228018081617148,3.729866871522731
Quinacrine,0.5103452083333333,0.0713781234517277,1.1464348739381132,3.8083742166936694
Quizartinib,0.5378139583333333,0.050187294745967836,1.2994062135341722,4.3165340074103735
Radicicol,0.55476125,0.06091961745670626,1.215242832469337,4.036949307290386
Rebastinib,0.5224895833333334,0.07609072812209643,1.1186682600590536,3.7161355219489325
Refametinib,0.4330366666666667,0.03798621399887405,1.420373989449586,4.718380260799825
Regorafenib,0.4871770833333333,0.05045534132334808,1.2970928515387274,4.308849185204061
Ricolinostat,0.5027666666666667,0.05493312265909673,1.2601657129198618,4.186179885962251
SB-216763,0.53514375,0.054234675765207095,1.265722951871194,4.204640634164685
SB590885,0.5347175,0.044828533244543514,1.3484454706863402,4.4794388934965665
SCHEMBL15556278,0.46393,0.0636944118490284,1.1958986682861343,3.972689384818092
SCHEMBL1564574,0.5215858333333333,0.06907830240168335,1.160658343754266,3.85562356068273
SCHEMBL17378613,0.49305791666666665,0.04702786650039917,1.3276447233190092,4.410340306422375
SCHEMBL17497626,0.46841229166666665,0.04921278357714299,1.3079220696742349,4.344823069174067
Selumetinib,0.54926875,0.04081289438663087,1.3892026046492134,4.614831161874923
Simvastatin,0.506036875,0.054831815773163504,1.2609673720773416,4.188842940040007
Sirolimus,0.60796375,0.05964330298592985,1.2244383137629282,4.067496034945578
Sorafenib,0.5261152083333334,0.05132650237046471,1.2896583296017288,4.284152237909489
SR-2640,0.441574375,0.03437118069908,1.4638055489716508,4.862656778580946
Staurosporine,0.4608454166666667,0.05896326211435954,1.2294184973492197,4.084039846718578
STK249718,0.47722708333333336,0.04742653628767373,1.3239785921113532,4.398161682164119
SU-11652,0.5158010416666666,0.05617343950925208,1.2504689833847422,4.153968047691014
Thalidomide,0.5231097916666667,0.08121499867067278,1.0903637584633976,3.6221100028865383
Thioridazine,0.54256,0.06579263414047849,1.18182272540137,3.925930114687164
Tigecycline,0.4571270833333333,0.06500169918261355,1.1870752904957973,3.9433787582445663
TL_HRAS26,0.5485020833333334,0.06494872262359368,1.1874293859763247,3.9445550379696033
TPCA-1,0.5340245833333334,0.04936959510099819,1.3065404345816294,4.3402333767430585
Trametinib,0.5211739583333334,0.050350460835027144,1.2979965501909299,4.311851207146124
Tyrphostin AG-1478,0.5272520833333333,0.06171892436844968,1.2095816513859063,4.018143270799094
