compound,azt,los,nib,quine,vir,similarity,meansim,nas
Diazoxide,0.8505,0.4841,0.4406,0.5627,0.441,-0.5195,0.5557799999999999,0
Lonidamine,0.82,0.4124,0.4053,0.3778,NA,-0.3312,0.503875,1
Manumycin-A,0.8145,NA,0.6211,0.3462,0.4059,-0.4379,0.546925,1
Inamrinone,0.8131,NA,0.3216,0.3258,NA,-0.3466,0.48683333333333334,2
K-115,0.8099,0.4502,NA,0.3474,NA,-0.4217,0.5358333333333333,2
(-)-Tramadol,0.8097,NA,NA,0.3314,NA,-0.5371,0.57055,3
Etoricoxib,0.8056,0.4409,NA,0.386,NA,-0.4514,0.5441666666666667,2
EX527,0.7937,0.344,0.3901,0.4468,0.5509,-0.8211,0.5051,0
Avasimibe,0.7914,0.4366,0.3648,NA,NA,-0.4066,0.5309333333333334,2
Midodrine,0.7891,NA,NA,0.3337,NA,-0.4822,0.5614,3
Rimcazole,0.7814,0.4491,0.7397,0.4663,NA,-0.3404,0.609125,1
2-Bromo-.alpha.-ergocryptine,0.7753,0.462,0.5161,NA,NA,-0.4124,0.5844666666666667,2
Rizatriptan,0.7681,0.3312,NA,0.3556,NA,-0.3408,0.48496666666666666,2
848193-68-0,0.7678,0.5531,0.5266,0.442,0.5947,-0.4111,0.57684,0
Sirolimus,0.767,0.5555,0.7813,0.5121,0.5713,-0.3234,0.63744,0
TAK-242,0.7663,0.4014,NA,NA,NA,-0.4406,0.58385,3
Aurora A Inhibitor I,0.7589,0.5336,0.6687,0.4352,0.3562,-0.4369,0.55052,0
MK-2206,0.7587,0.6627,0.7843,0.3415,0.4765,-0.3257,0.60474000000000006,0
Curcumin,0.7582,0.3957,0.3769,0.3933,0.5062,-0.3261,0.48606,0
ZINC77024257,0.7543,0.5243,0.7705,0.3767,0.3421,-0.3241,0.55358,0
Rilmenidine,0.7508,0.4048,NA,NA,0.323,-0.4221,0.4928666666666667,2
Metoclopramide,0.7444,0.3889,NA,0.3872,NA,-0.3962,0.5068333333333334,2
Tipifarnib,0.7442,0.5538,0.5946,0.5662,0.3802,-0.4196,0.5678,0
10-DEBC,0.7431,0.4535,0.7769,0.4345,NA,-0.4703,0.602,1
AKT Inhibitor VIII,0.7427,0.5657,0.7739,0.6678,0.4539,-0.3575,0.6408,0
PF-03814735,0.741,0.5313,0.4141,0.4224,0.3808,-0.3231,0.49792000000000003,0
Cyclosporin A,0.7403,0.5456,0.5505,0.3737,0.439,-0.3356,0.52982,0
GDC-0152,0.7378,0.4114,NA,0.3568,NA,-0.3289,0.502,2
Birinapant,0.7345,NA,NA,0.3379,NA,-0.5811,0.5362,3
Zosuquidar,0.7342,NA,0.6014,0.3313,NA,-0.4217,0.5556333333333333,2
Tivozanib,0.7276,0.4652,0.6477,0.3832,0.3697,-0.3374,0.51868,0
Aphidicolin,0.7209,0.5332,0.5675,0.4116,NA,-0.324,0.5583,1
AC1NSZCT,0.7084,0.4664,0.3407,0.4573,0.3284,-0.3553,0.46024,0
Salermide,0.7059,0.6846,0.7295,0.5638,0.356,-0.3521,0.60796,0
Gliclazide,0.7053,0.5264,0.6832,0.3683,NA,-0.4341,0.5708,1
Indomethacin,0.7008,NA,0.3813,0.3672,NA,-0.4289,0.4831,2
OSI-930,0.7006,0.5751,0.3688,0.5832,NA,-0.4124,0.556925,1
MLN-8054,0.7003,0.5141,0.4635,0.5446,0.3592,-0.336,0.51634,0
Rivaroxaban,0.6998,0.372,NA,0.3741,0.3375,-0.417,0.44584999999999997,1
LE-135,0.6993,0.5089,0.6885,0.4128,0.4734,-0.3354,0.55658,0
AMSACRINE,0.6989,NA,0.5934,0.4371,NA,-0.3233,0.5764666666666667,2
Emtricitabine,0.6946,0.3716,0.3364,NA,0.3429,-0.354,0.43637499999999996,1
Telmisartan,0.6911,NA,0.5411,0.5343,NA,-0.4149,0.5888333333333333,2
PF-04217903,0.6909,0.5322,0.3973,0.634,0.4738,-0.4166,0.54564,0
N6022,0.6898,NA,NA,0.602,0.409,-0.4762,0.5669333333333333,2
Artesunate,0.6898,0.3445,NA,0.4272,0.3382,-0.3623,0.449925,1
Selumetinib,0.6897,0.5849,0.5202,0.3749,0.5495,-0.329,0.54384,0
RO4987655,0.6867,0.5605,0.3269,NA,NA,-0.3309,0.5246999999999999,2
BRD-K41087962,0.6808,0.3766,0.5274,0.5361,0.3372,-0.3466,0.49162,0
Nicergoline,0.6789,0.4018,0.7711,0.3269,NA,-0.49,0.544675,1
MLS002264492,0.6782,0.6748,NA,NA,0.3986,-0.3464,0.5838666666666666,2
R547,0.6756,0.5633,0.4443,NA,0.3275,-0.3223,0.502675,1
AVN-944,0.6753,0.4965,0.3658,0.4162,0.3511,-0.4928,0.46098,0
L-690330,0.6744,0.4418,0.3531,0.5445,0.3897,-0.5795,0.4807,0
SJ 172550,0.6742,NA,NA,0.3619,0.3354,-0.4955,0.45716666666666667,2
TCB2,0.6735,0.4493,NA,0.3841,NA,-0.4313,0.5023,2
Nilotinib,0.6721,0.4209,0.5855,0.4782,0.5306,-0.3498,0.53746,0
Pinaverium bromide,0.6716,0.3409,NA,0.3212,0.3859,-0.4453,0.4299,1
Azelastine,0.6708,0.5639,0.7186,0.4001,0.4242,-0.3655,0.55552,0
3-Aminobenzamide,0.67,NA,NA,0.5341,0.3427,-0.4223,0.5156000000000001,2
"MEK162 (ARRY-162, ARRY-438162)",0.6685,0.502,NA,NA,NA,-0.3233,0.58525,3
NSC23766,0.6685,NA,0.3222,0.5218,0.3413,-0.3237,0.46345000000000003,1
BMS-927711,0.6681,0.3525,NA,0.3419,NA,-0.4451,0.45416666666666666,2
Deoxycholic acid,0.6629,0.5353,0.4371,0.4643,NA,-0.4144,0.5249,1
AZD-8055,0.6626,0.5601,0.4348,0.7319,0.5985,-0.3265,0.59758,0
IWR-1-ENDO,0.6625,0.4695,NA,0.3837,NA,-0.411,0.5052333333333333,2
Emodic acid,0.6625,NA,0.6409,NA,NA,-0.324,0.6517,3
Nordihydroguaiaretic acid,0.6613,0.3719,NA,0.6496,0.4475,-0.39,0.532575,1
Metformin,0.6602,0.4314,0.3801,0.3922,0.349,-0.3636,0.44258,0
PI-103,0.658,0.6444,0.492,0.8118,0.5905,-0.3229,0.63934,0
Falnidamol,0.6561,0.4857,0.7831,0.3382,NA,-0.3577,0.565775,1
CHEMBL2141330,0.6505,NA,0.5156,0.4069,0.3483,-0.3238,0.480325,1
BRD-A81936046,0.6503,NA,0.5176,0.4162,0.4627,-0.4361,0.5117,1
CL-976,0.6471,NA,0.3655,0.44,0.4294,-0.3468,0.47050000000000003,1
TAK-715,0.6466,0.5538,0.4157,0.4365,0.3439,-0.4107,0.4793,0
Duloxetine,0.6444,0.4796,0.7433,0.3403,0.4221,-0.3829,0.52594,0
Maxacalcitol-D6,0.6436,NA,NA,0.4783,NA,-0.6095,0.56095,3
Atenolol,0.6411,0.4784,NA,NA,NA,-0.5147,0.55975,3
"ICI 192,605",0.6386,0.5282,0.3284,0.4086,NA,-0.4124,0.47595,1
ICG-001,0.6382,0.5921,0.4154,NA,0.3615,-0.3434,0.5018,1
Gliquidone,0.637,NA,0.3645,0.4563,0.3571,-0.5377,0.453725,1
COT-10B,0.6365,0.5883,0.6362,0.7059,0.4477,-0.3315,0.60292,0
PD-198306,0.6318,0.6287,0.4366,0.5526,0.3348,-0.3308,0.5169,0
Vitinoin,0.6285,0.4183,0.3268,NA,NA,-0.4796,0.45786666666666664,2
Honokiol,0.6229,0.5183,NA,NA,NA,-0.3789,0.5706,3
Dabrafenib,0.6227,0.5652,0.4842,0.3892,0.3691,-0.3236,0.48608,0
Dabigatran Etexilate,0.6176,0.3668,0.8016,0.4488,NA,-0.5197,0.5587,1
Eicosatrienoic acid (20:3 n-3),0.6165,0.4101,NA,NA,NA,-0.4981,0.5133000000000001,3
AC1O8PYD,0.6119,NA,0.4437,0.3369,NA,-0.5041,0.46416666666666667,2
SPECTRUM_000090,0.61,0.5916,NA,0.3404,NA,-0.4147,0.514,2
Chaetocin,0.6099,0.5789,NA,0.629,0.444,-0.3566,0.56545,1
MLS002473458,0.6099,0.6141,NA,0.398,NA,-0.3433,0.5406666666666666,2
Tamoxifen,0.6088,0.6542,0.7508,0.5358,0.3596,-0.3607,0.58184,0
VX-11E,0.6087,0.4815,NA,0.4002,0.3267,-0.448,0.454275,1
Pantoprazole,0.608,0.3802,0.4776,NA,NA,-0.5736,0.4886,2
Nefazodone,0.604,0.3982,0.3495,0.3513,NA,-0.4883,0.42574999999999996,1
