compound,azt,los,nib,quine,vir,similarity,meansim,nas
MLN 2238,0.8299,0.5897,0.4939,0.663,0.7557,-0.3634,0.66644,0
Thioguanosine,0.8191,0.38,NA,0.3909,0.328,-0.3434,0.47950000000000004,1
Paricalcitol,0.7734,0.4661,0.3751,0.6588,0.4051,-0.3491,0.5357000000000001,0
Oprozomib (ONX 0912),0.7244,0.3462,0.3868,0.5524,0.6012,-0.3283,0.5222,0
Gefitinib,0.7185,0.5062,0.5433,0.6631,0.3802,-0.3301,0.56226,0
Tacedinaline,0.7157,0.3573,0.3554,0.7361,0.4922,-0.3289,0.53134,0
PF-562271,0.6736,0.3948,0.5137,0.577,0.4635,-0.35,0.52452,0
10-DEBC,0.6717,0.3791,NA,0.4983,0.5255,-0.4205,0.51864999999999994,1
R547,0.6637,0.3594,0.3527,0.4284,0.4481,-0.3223,0.45045999999999997,0
Danusertib,0.6611,0.374,0.6191,0.4436,0.3376,-0.3228,0.48708,0
SCHEMBL3958507,0.6582,0.4623,0.5082,0.6871,0.5173,-0.3624,0.56662,0
Idelalisib,0.6515,0.538,0.4041,0.7448,0.4311,-0.3212,0.5539000000000001,0
Dasatinib,0.6447,0.5034,0.6319,0.7753,0.5275,-0.3213,0.61656,0
FR-180204,0.643,0.5656,0.4478,0.6804,0.4052,-0.3787,0.5484,0
Lidoflazine,0.6408,NA,0.4227,0.4536,0.4645,-0.3311,0.4954,1
Sirolimus,0.6397,0.4916,0.5713,0.6706,0.5189,-0.3216,0.57842,0
AZ628,0.6385,0.4466,0.5253,0.7201,0.5442,-0.3338,0.57494,0
3-Aminobenzamide,0.6355,0.6935,0.3884,0.4853,0.3507,-0.4166,0.51068,0
Tubastatin A,0.6346,0.4374,0.47,0.4207,0.3585,-0.3338,0.46424,0
Voriconazole,0.6303,NA,0.3703,0.4436,0.5397,-0.3559,0.495975,1
BRD-A24396574-001-01-5,0.6231,0.3691,0.4056,0.5624,0.4693,-0.361,0.4859,0
Saracatinib,0.6095,0.4956,0.5952,0.5405,0.4574,-0.3664,0.53964,0
Felodipine,0.6002,NA,0.4216,0.469,0.5353,-0.3449,0.506525,1
Calpain Inhibitor I,0.5951,NA,NA,NA,0.3809,-0.3427,0.488,3
CHEMBL2142877,0.5932,NA,0.5016,0.4922,0.4834,-0.3328,0.5176000000000001,1
Pomalidomide,0.5914,0.3808,0.4723,0.3681,0.4757,-0.3268,0.45766,0
Ethacrynic acid,0.5843,NA,NA,0.4047,0.5017,-0.342,0.4969,2
