compound,azt,los,nib,quine,vir,similarity,meansim,nas
MLN 2238,0.8299,0.5897,0.4939,0.663,0.7557,-0.3224,0.66644,0
Thioguanosine,0.8191,0.38,NA,0.3909,0.328,-0.3329,0.47950000000000004,1
Bavisant (dihydrochloride hydrate),0.8089,0.3805,NA,0.4208,0.4355,-0.4379,0.511425,1
Sertindole,0.8082,0.4103,NA,0.5715,0.4076,-0.3247,0.5494,1
Dabigatran Etexilate,0.7837,0.5311,0.3787,0.5472,0.4334,-0.5197,0.53482,0
Arvanil,0.7783,0.3384,NA,0.5473,0.398,-0.4604,0.5155,1
CLONAZEPAM,0.775,0.4629,0.4414,0.4146,0.5782,-0.4143,0.53442,0
CLONAZEPAM,0.775,0.4629,0.4414,0.4146,0.5782,-0.4143,0.53442,0
Amoxapine,0.7568,0.3316,NA,0.4509,0.3736,-0.352,0.478225,1
Ciprofloxacin,0.7415,0.3461,NA,NA,0.4895,-0.4244,0.5257000000000001,2
Closantel,0.7378,0.3324,0.389,0.4026,0.3589,-0.3727,0.44414,0
AEE788 (NVP-AEE788),0.7354,NA,0.3512,0.4991,0.6128,-0.3217,0.549625,1
Oprozomib (ONX 0912),0.7244,0.3462,0.3868,0.5524,0.6012,-0.3507,0.5222,0
Gefitinib,0.7185,0.5062,0.5433,0.6631,0.3802,-0.331,0.56226,0
Tacedinaline,0.7157,0.3573,0.3554,0.7361,0.4922,-0.3383,0.53134,0
Lomitapide,0.7115,0.3309,0.3421,NA,0.5059,-0.3279,0.4726,1
"N-(4-Hydroxyphenyl)icosa-5,8,11,14-tetraenamide",0.7041,NA,NA,0.4386,0.3877,-0.4107,0.5101333333333333,2
"376348-65-1, Uk-427857, uk427857",0.7031,0.3864,0.3684,0.4122,0.4718,-0.4774,0.46838,0
Carfilzomib (PR-171),0.7022,NA,0.3709,0.5286,0.5592,-0.3827,0.540225,1
SPECTRUM_001418,0.69,0.3509,0.5063,0.7327,0.4037,-0.3263,0.53672,0
Ketorolac,0.6861,0.6028,NA,0.6596,0.51,-0.4332,0.614625,1
Duloxetine,0.6857,0.4874,0.3907,0.4793,0.3921,-0.3829,0.48704,0
Dipraglurant,0.6753,0.6186,0.4194,0.4882,NA,-0.5274,0.5503750000000001,1
Methazolamide,0.6739,0.4029,0.3777,NA,0.452,-0.3374,0.476625,1
PF-562271,0.6736,0.3948,0.5137,0.577,0.4635,-0.3218,0.52452,0
