compound,azt,los,nib,quine,vir,similarity,meansim,nas
Azithromycin,1,0.5498,0.3901,0.656,0.4806,-0.3823,0.6153,0
Bisoprolol,0.8064,0.5248,NA,0.5766,0.4024,-0.3459,0.57755,1
Gefitinib,0.7185,0.5062,0.5433,0.6631,0.3802,-0.3795,0.56226,0
Dasatinib,0.6447,0.5034,0.6319,0.7753,0.5275,-0.3795,0.61656,0
Sirolimus,0.6397,0.4916,0.5713,0.6706,0.5189,-0.3317,0.57842,0
AZ628,0.6385,0.4466,0.5253,0.7201,0.5442,-0.3412,0.57494,0
BRD-A24396574-001-01-5,0.6231,0.3691,0.4056,0.5624,0.4693,-0.4825,0.4859,0
SPECTRUM1505012,0.6179,0.6316,0.4314,0.6049,0.4365,-0.3292,0.54446,0
F1304-0056,0.5883,NA,NA,0.6654,0.382,-0.3345,0.5452333333333333,2
Vemurafenib,0.5841,0.6189,0.5161,0.5964,0.4434,-0.3581,0.55178,0
Erlotinib,0.5488,0.579,0.4509,0.695,0.5583,-0.3484,0.5664,0
CI-1040,0.5449,0.429,0.4906,0.6388,0.3968,-0.323,0.50002,0
Enzastaurin,0.5397,0.5849,0.5651,0.5167,0.5432,-0.424,0.54992,0
Canertinib,0.5377,0.3962,0.5469,0.6661,0.4984,-0.3755,0.52906,0
Sorafenib,0.5367,0.4801,0.5174,0.6423,0.5381,-0.3516,0.54292,0
WZ 4002,0.5319,0.4099,0.4628,0.8379,0.5039,-0.596,0.54928,0
Fenretinide,0.5139,0.4522,0.3741,0.4638,0.3944,-0.3942,0.43968,0
Alprostadil,0.5122,0.3791,0.5901,0.49370000000000003,0.4968,-0.3432,0.49438,0
TL_HRAS26,0.5096,0.5062,0.7234,0.5943,0.5303,-0.3448,0.57276,0
BMS-345541,0.5068,0.6087,0.4576,0.6659,0.5159,-0.3717,0.55098,0
"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",0.5056,0.592,0.6381,0.7391,0.5588,-0.3213,0.60672,0
Withaferin A,0.5049,0.486,0.5925,0.6928,0.5323,-0.3319,0.5617,0
Curcumin,0.5022,0.4499,0.508,0.5952,0.5417,-0.3254,0.5194,0
E319,0.5006,0.4191,NA,0.7202,0.5,-0.3469,0.534975,1
Selumetinib,0.4906,0.6056,0.4838,0.645,0.4336,-0.3322,0.53172,0
Radicicol,0.489,0.4603,0.6244,0.5685,0.4615,-0.3261,0.52074,0
Dabrafenib,0.4845,0.5359,0.5973,0.7514,0.4496,-0.4026,0.56374,0
Lapatinib,0.4816,0.3667,0.5062,0.7301,0.4539,-0.323,0.5077,0
Ibrutinib (PCI-32765),0.4585,0.4719,0.3836,0.5481,0.3663,-0.3307,0.44568,0
Nortriptyline,0.4573,0.5204,0.4222,0.523,NA,-0.3213,0.480725,1
MLN-8054,0.4542,0.6576,0.4885,0.8161,0.5332,-0.4248,0.58992,0
CHEMBL3188661,0.4525,0.4813,0.331,0.766,0.4581,-0.4149,0.49778,0
C24H25CLFN5O3,0.4509,0.398,0.4303,0.667,0.4642,-0.3992,0.48208,0
MLS001173269,0.4456,0.4347,0.531,0.3784,0.5458,-0.3244,0.4671,0
amcinonide,0.4435,0.4717,0.4692,0.6964,0.4811,-0.3532,0.5123800000000001,0
Mocetinostat,0.4424,0.4163,0.3832,0.54990000000000006,0.5623,-0.3384,0.47082,0
AS-605240,0.4412,0.3716,0.5359,0.7733,0.5441,-0.3338,0.53322,0
C30H33N3O5S,0.4409,0.401,0.4315,0.7245,0.4888,-0.34,0.49734,0
LDN 193189,0.4405,0.4767,0.5599,0.7262,0.5724,-0.3289,0.55514,0
