compound,a5491,a5492,ha1e2,ht29,mcf72,pc3,vcap1,vcap2
Azithromycin,0.6458,0.61065,0.6153,0.3898666666666667,0.5118,0.574325,0.64628,0.664725
848193-68-0,0.57684,0.444,0.55645,0.5894666666666667,0.5518333333333334,0.59785,0.49924,0.525825
Sirolimus,0.63744,0.52532,0.57842,0.684825,0.6224999999999999,0.658225,0.63302,0.52396
Curcumin,0.48606,0.4142,0.5194,0.47375,0.46573333333333333,0.5888,0.56794,0.46596
MLN-8054,0.51634,0.53264,0.58992,0.538775,0.4956333333333333,0.63315,0.54816,0.50992
AMSACRINE,0.5764666666666667,0.50465,0.4641,0.47009999999999996,0.45666666666666667,0.5099333333333333,0.4629,0.40025
PF-04217903,0.54564,0.45842,0.529,0.551975,0.49483333333333335,0.559,0.53926,0.50126
N6022,0.5669333333333333,0.3845,0.510225,0.4468,0.44739999999999996,0.5244500000000001,0.4476,0.5127666666666667
Selumetinib,0.54384,0.50546,0.53172,0.550875,0.612,0.571575,0.5881799999999999,0.4905
Falnidamol,0.565775,0.4809,0.44533999999999996,0.58375,0.48155000000000003,0.53005,0.59216,0.5552333333333334
Dabrafenib,0.48608,0.45484,0.56374,0.479975,0.4868,0.63925,0.62446,0.5143666666666666
Chaetocin,0.56545,0.44125,0.56216,0.547275,0.5310333333333334,0.53555,0.50336,0.54386
Nefazodone,0.42574999999999996,0.39644,0.48593333333333333,0.4548,0.44145,0.54245,0.51494,0.39836666666666665
CHEMBL585951,0.50782,0.4407,0.478025,0.5891,0.5098666666666667,0.5621,0.55046,0.500125
Dasatinib,0.56054,0.5417,0.61656,0.551075,0.5916333333333333,0.569125,0.63092,0.52794
AGK 2,0.46396,0.43002,0.47058,0.5215333333333334,0.44970000000000004,0.5495,0.5597,0.42535
FK888,0.50292,0.4107,0.4338,0.55105,0.5028,0.55835,0.54698,0.5068
Decitabine,0.47104,0.45167999999999997,0.5729,0.467925,0.5295333333333333,0.557425,0.5771,0.45542499999999997
Gefitinib,0.56996,0.4353,0.56226,0.582375,0.5628333333333333,0.648475,0.6261599999999999,0.52484
Quizartinib,0.51834,0.45104,0.54556,0.557975,0.5999,0.59465,0.54348,0.49156666666666665
Regorafenib,0.49024,0.369,0.48475,0.48886666666666667,0.50875,0.53095,0.5219,0.50296
GSK-461364,0.51984,0.43822,0.5623,0.5748,0.5966666666666667,0.621175,0.6381,0.53528
KW-2449,0.50986,0.47644,0.51866,0.522875,0.4948,0.57385,0.5566,0.48968
Thioridazine,0.52666,0.469325,0.503,0.574,0.5034000000000001,0.57995,0.67662,0.507525
Nimodipine,0.559575,0.37453333333333333,0.5023666666666666,0.47716666666666663,0.4146666666666667,0.6073,0.5352666666666667,0.5005000000000001
3-(4-Pyridyl)indole,0.40606,0.506275,0.6314,0.475725,0.5347,0.6290333333333333,0.53698,0.493
SCHEMBL17497626,0.5019,0.39896666666666664,0.42296,0.480275,0.4232666666666667,0.4677,0.51888,0.53335
Erlotinib,0.5111600000000001,0.46455,0.5664,0.5492750000000001,0.49956666666666666,0.6054999999999999,0.54926,0.62595
