compound,azt,los,nib,quine,vir,similarity,meansim,nas
SCHEMBL14379041,0.8035,0.4242,0.341,NA,0.8045,-0.3426,0.5933,1
3-Aminobenzamide,0.8019,0.5197,NA,0.5043,0.6884,-0.4166,0.628575,1
HSCI1_000314,0.8,0.4467,0.3355,0.4278,0.6981,-0.3303,0.54162,0
BMS-536924,0.7897,0.6608,0.5546,0.5102,0.7977,-0.3821,0.6626,0
SMR000075319,0.7216,0.5321,0.6886,0.7179,0.813,-0.4078,0.69464,0
BRD-K95985487-001-01-3,0.716,0.4106,NA,0.5675,0.6461,-0.3228,0.58505,1
GSK-1070916,0.6969,0.5819,0.6138,0.5849,0.767,-0.3536,0.6489,0
AZD-1775,0.6871,0.6042,0.6053,0.5588,0.9131,-0.3234,0.6737,0
GW843682X,0.6859,0.61,0.5361,0.5866,0.6719,-0.3971,0.6181,0
Bosutinib,0.6782,0.6462,0.6786,0.5375,0.6907,-0.3231,0.64624,0
BI-2536,0.6694,0.6018,0.6478,0.3337,0.8134,-0.3241,0.61322,0
pyrvinium-pamoate,0.6672,0.5541,0.4251,0.6669,0.7862,-0.3231,0.6199,0
5-Nonyloxytryptamine,0.6585,0.3297,0.5874,0.5465,0.6437,-0.3255,0.55316,0
Zuclomiphene,0.6517,0.6788,0.6934,0.563,0.7278,-0.3761,0.66294,0
Vorinostat,0.6502,0.6251,0.6283,0.662,0.8552,-0.3224,0.68416,0
AKT Inhibitor VIII,0.6487,0.5624,0.682,0.486,0.7498,-0.4253,0.62578,0
Raloxifene,0.6356,0.5509,0.5523,0.5752,0.7065,-0.3282,0.6041,0
"Trichostatin A, Streptomyces Sp.",0.6314,0.6548,0.6488,0.478,0.8436,-0.3253,0.65132,0
AZD4547,0.6289,0.6747,0.629,0.5097,0.5806,-0.3341,0.60458,0
BIX01294,0.6223,0.8018,0.7422,0.4621,0.8236,-0.3338,0.6904,0
Lasalocid,0.6206,0.4521,0.584,0.4907,0.6848,-0.3609,0.56644,0
Aurora A Inhibitor I,0.6198,0.6826,0.416,0.4663,0.8094,-0.3672,0.59882,0
SMR000651449,0.6189,0.4655,0.3494,0.5088,0.6987,-0.3631,0.52826,0
Toremifene,0.6181,0.5975,0.3728,0.5379,0.8524,-0.3629,0.59574,0
amcinonide,0.6178,0.5424,0.4749,0.7041,0.6619,-0.3527,0.60022,0
Trametinib,0.6172,0.572,0.4675,0.4709,0.6934,-0.3414,0.5642,0
GANT-61,0.6133,0.5987,0.5242,0.3647,0.6826,-0.3902,0.5567,0
