compound,azt,los,nib,quine,vir,similarity,meansim,nas
Azithromycin,1,0.4919,0.5645,0.5268,NA,-0.6301,0.6458,1
Diazoxide,0.8505,0.4841,0.4406,0.5627,0.441,-0.482,0.5557799999999999,0
UB-165,0.8277,0.4295,NA,0.482,NA,-0.8652,0.5797333333333333,2
Lonidamine,0.82,0.4124,0.4053,0.3778,NA,-0.6028,0.503875,1
Manumycin-A,0.8145,NA,0.6211,0.3462,0.4059,-0.4832,0.546925,1
K-115,0.8099,0.4502,NA,0.3474,NA,-0.6117,0.5358333333333333,2
(-)-Tramadol,0.8097,NA,NA,0.3314,NA,-0.5142,0.57055,3
Etoricoxib,0.8056,0.4409,NA,0.386,NA,-0.8295,0.5441666666666667,2
EX527,0.7937,0.344,0.3901,0.4468,0.5509,-0.6147,0.5051,0
Avasimibe,0.7914,0.4366,0.3648,NA,NA,-0.5217,0.5309333333333334,2
Midodrine,0.7891,NA,NA,0.3337,NA,-0.9666,0.5614,3
Rimcazole,0.7814,0.4491,0.7397,0.4663,NA,-0.5564,0.609125,1
181144-66-1,0.7695,0.4938,0.4114,0.3311,NA,-0.6675,0.50145,1
Rizatriptan,0.7681,0.3312,NA,0.3556,NA,-0.7761,0.48496666666666666,2
848193-68-0,0.7678,0.5531,0.5266,0.442,0.5947,-0.5144,0.57684,0
Loratadine,0.7675,0.4486,0.6294,0.5044,NA,-0.4959,0.587475,1
Sirolimus,0.767,0.5555,0.7813,0.5121,0.5713,-0.4747,0.63744,0
TAK-242,0.7663,0.4014,NA,NA,NA,-0.4766,0.58385,3
Escitalopram,0.7624,NA,0.3713,0.4137,NA,-0.616,0.5158,2
Aurora A Inhibitor I,0.7589,0.5336,0.6687,0.4352,0.3562,-0.4791,0.55052,0
MK-2206,0.7587,0.6627,0.7843,0.3415,0.4765,-0.486,0.60474000000000006,0
Curcumin,0.7582,0.3957,0.3769,0.3933,0.5062,-0.4797,0.48606,0
Secnidazole,0.7571,0.3666,NA,NA,NA,-0.6567,0.56185,3
ZINC77024257,0.7543,0.5243,0.7705,0.3767,0.3421,-0.4858,0.55358,0
Rilmenidine,0.7508,0.4048,NA,NA,0.323,-0.6788,0.4928666666666667,2
AC1NWAOC,0.7498,NA,0.3694,0.4051,NA,-0.497,0.5081,2
Metoclopramide,0.7444,0.3889,NA,0.3872,NA,-0.475,0.5068333333333334,2
Tipifarnib,0.7442,0.5538,0.5946,0.5662,0.3802,-0.6235,0.5678,0
10-DEBC,0.7431,0.4535,0.7769,0.4345,NA,-0.6388,0.602,1
AKT Inhibitor VIII,0.7427,0.5657,0.7739,0.6678,0.4539,-0.4793,0.6408,0
PF-03814735,0.741,0.5313,0.4141,0.4224,0.3808,-0.5089,0.49792000000000003,0
Cyclosporin A,0.7403,0.5456,0.5505,0.3737,0.439,-0.476,0.52982,0
GDC-0152,0.7378,0.4114,NA,0.3568,NA,-0.4828,0.502,2
Birinapant,0.7345,NA,NA,0.3379,NA,-0.8553,0.5362,3
Zosuquidar,0.7342,NA,0.6014,0.3313,NA,-0.5069,0.5556333333333333,2
Cilostazol,0.7307,NA,NA,0.428,0.382,-0.5471,0.5135666666666667,2
HC-030031,0.7284,NA,NA,0.3546,NA,-0.7776,0.5415000000000001,3
Cromakalim,0.728,0.3409,NA,NA,NA,-0.7316,0.53445,3
Tivozanib,0.7276,0.4652,0.6477,0.3832,0.3697,-0.49370000000000003,0.51868,0
AC1NSZCT,0.7084,0.4664,0.3407,0.4573,0.3284,-0.6234,0.46024,0
Theophylline,0.7076,0.3219,NA,0.326,NA,-0.695,0.45183333333333336,2
Salermide,0.7059,0.6846,0.7295,0.5638,0.356,-0.4754,0.60796,0
STK-674938,0.7037,NA,0.3513,0.343,NA,-0.6731,0.466,2
Rosuvastatin,0.7022,0.4425,0.797,0.3664,0.359,-0.5509,0.53342,0
OSI-930,0.7006,0.5751,0.3688,0.5832,NA,-0.5135,0.556925,1
OSI-930,0.7006,0.5751,0.3688,0.5832,NA,-0.5135,0.556925,1
MLN-8054,0.7003,0.5141,0.4635,0.5446,0.3592,-0.4907,0.51634,0
Rivaroxaban,0.6998,0.372,NA,0.3741,0.3375,-0.4828,0.44584999999999997,1
LE-135,0.6993,0.5089,0.6885,0.4128,0.4734,-0.5283,0.55658,0
AMSACRINE,0.6989,NA,0.5934,0.4371,NA,-0.4836,0.5764666666666667,2
SCH-28080,0.6975,0.3497,0.3653,0.458,NA,-0.6344,0.467625,1
Emtricitabine,0.6946,0.3716,0.3364,NA,0.3429,-0.6344,0.43637499999999996,1
Telmisartan,0.6911,NA,0.5411,0.5343,NA,-0.6098,0.5888333333333333,2
PF-04217903,0.6909,0.5322,0.3973,0.634,0.4738,-0.504,0.54564,0
N6022,0.6898,NA,NA,0.602,0.409,-0.6261,0.5669333333333333,2
Selumetinib,0.6897,0.5849,0.5202,0.3749,0.5495,-0.5146,0.54384,0
RO4987655,0.6867,0.5605,0.3269,NA,NA,-0.6202,0.5246999999999999,2
ESTRAMUSTINE,0.6861,NA,0.4576,0.338,0.3919,-0.4796,0.46840000000000004,1
Bisoprolol,0.6825,NA,NA,0.3523,0.3295,-0.7639,0.45476666666666665,2
MK-2461,0.6819,NA,0.49,NA,NA,-0.723,0.58595,3
(S)-(-)-BAY K 8644,0.6816,0.3431,NA,0.5198,0.3422,-0.4959,0.471675,1
BRD-K41087962,0.6808,0.3766,0.5274,0.5361,0.3372,-0.5284,0.49162,0
Nicergoline,0.6789,0.4018,0.7711,0.3269,NA,-0.8489,0.544675,1
MLS002264492,0.6782,0.6748,NA,NA,0.3986,-0.6256,0.5838666666666666,2
R547,0.6756,0.5633,0.4443,NA,0.3275,-0.4908,0.502675,1
L-690330,0.6744,0.4418,0.3531,0.5445,0.3897,-0.4881,0.4807,0
SJ 172550,0.6742,NA,NA,0.3619,0.3354,-0.6103,0.45716666666666667,2
TCB2,0.6735,0.4493,NA,0.3841,NA,-0.6239,0.5023,2
Nilotinib,0.6721,0.4209,0.5855,0.4782,0.5306,-0.4812,0.53746,0
Propentofylline,0.6717,0.4151,NA,0.414,0.3371,-0.6322,0.45947499999999997,1
Pinaverium bromide,0.6716,0.3409,NA,0.3212,0.3859,-0.5083,0.4299,1
Azelastine,0.6708,0.5639,0.7186,0.4001,0.4242,-0.6077,0.55552,0
3-Aminobenzamide,0.67,NA,NA,0.5341,0.3427,-0.7897,0.5156000000000001,2
"MEK162 (ARRY-162, ARRY-438162)",0.6685,0.502,NA,NA,NA,-0.6191,0.58525,3
NSC23766,0.6685,NA,0.3222,0.5218,0.3413,-0.5505,0.46345000000000003,1
BMS-927711,0.6681,0.3525,NA,0.3419,NA,-0.6202,0.45416666666666666,2
Tazarotene,0.6653,NA,NA,0.3598,0.4151,-0.6363,0.4800666666666667,2
Deoxycholic acid,0.6629,0.5353,0.4371,0.4643,NA,-0.6073,0.5249,1
AZD-8055,0.6626,0.5601,0.4348,0.7319,0.5985,-0.5081,0.59758,0
IWR-1-ENDO,0.6625,0.4695,NA,0.3837,NA,-0.497,0.5052333333333333,2
Emodic acid,0.6625,NA,0.6409,NA,NA,-0.7421,0.6517,3
Nordihydroguaiaretic acid,0.6613,0.3719,NA,0.6496,0.4475,-0.4886,0.532575,1
Metformin,0.6602,0.4314,0.3801,0.3922,0.349,-0.4779,0.44258,0
PI-103,0.658,0.6444,0.492,0.8118,0.5905,-0.4747,0.63934,0
Falnidamol,0.6561,0.4857,0.7831,0.3382,NA,-0.6552,0.565775,1
Ibutilide,0.6507,NA,NA,0.4537,NA,-0.8225,0.5522,3
CHEMBL2141330,0.6505,NA,0.5156,0.4069,0.3483,-0.4789,0.480325,1
BRD-A81936046,0.6503,NA,0.5176,0.4162,0.4627,-0.567,0.5117,1
CL-976,0.6471,NA,0.3655,0.44,0.4294,-0.7387,0.47050000000000003,1
TAK-715,0.6466,0.5538,0.4157,0.4365,0.3439,-0.6081,0.4793,0
Duloxetine,0.6444,0.4796,0.7433,0.3403,0.4221,-0.6687,0.52594,0
Maxacalcitol-D6,0.6436,NA,NA,0.4783,NA,-0.5058,0.56095,3
LY2157299,0.6428,0.5308,0.3713,0.397,0.3581,-0.7874,0.46,0
"ICI 192,605",0.6386,0.5282,0.3284,0.4086,NA,-0.6459,0.47595,1
ICG-001,0.6382,0.5921,0.4154,NA,0.3615,-0.617,0.5018,1
Gliquidone,0.637,NA,0.3645,0.4563,0.3571,-0.6143,0.453725,1
COT-10B,0.6365,0.5883,0.6362,0.7059,0.4477,-0.5621,0.60292,0
PD-198306,0.6318,0.6287,0.4366,0.5526,0.3348,-0.4829,0.5169,0
Vitinoin,0.6285,0.4183,0.3268,NA,NA,-0.6655,0.45786666666666664,2
Honokiol,0.6229,0.5183,NA,NA,NA,-0.4869,0.5706,3
Dabrafenib,0.6227,0.5652,0.4842,0.3892,0.3691,-0.495,0.48608,0
Semagacestat (LY450139),0.6213,NA,NA,NA,0.3602,-0.6032,0.49075,3
Dabigatran Etexilate,0.6176,0.3668,0.8016,0.4488,NA,-0.5258,0.5587,1
Eicosatrienoic acid (20:3 n-3),0.6165,0.4101,NA,NA,NA,-0.5109,0.5133000000000001,3
Dequalinium,0.6135,0.5892,0.339,0.3573,0.345,-0.4841,0.4488,0
AC1O8PYD,0.6119,NA,0.4437,0.3369,NA,-0.7554,0.46416666666666667,2
Chaetocin,0.6099,0.5789,NA,0.629,0.444,-0.617,0.56545,1
MLS002473458,0.6099,0.6141,NA,0.398,NA,-0.7621,0.5406666666666666,2
Tamoxifen,0.6088,0.6542,0.7508,0.5358,0.3596,-0.475,0.58184,0
VX-11E,0.6087,0.4815,NA,0.4002,0.3267,-0.7351,0.454275,1
Atrasentan (hydrochloride),0.6081,0.4387,NA,0.4006,NA,-0.5632,0.48246666666666665,2
Pantoprazole,0.608,0.3802,0.4776,NA,NA,-0.4929,0.4886,2
"2-[(Dimethylamino)methyl]-2,3-dihydro-1H-inden-1-one",0.6071,0.3457,NA,0.3959,0.5053,-0.7029,0.46349999999999997,1
Nefazodone,0.604,0.3982,0.3495,0.3513,NA,-0.4769,0.42574999999999996,1
Picotamide,0.6037,0.5666,NA,0.36870000000000003,NA,-0.6585,0.513,2
testosterone,0.6,NA,NA,0.383,NA,-0.4831,0.4915,3
Xaliproden,0.5999,0.3816,NA,NA,0.3491,-0.7424,0.44353333333333333,2
FLUDARABINE PHOSPHATE,0.5992,NA,NA,0.3377,NA,-0.6318,0.46845,3
Evodiamine,0.5986,0.3632,0.4183,0.5019,0.3872,-0.804,0.45384,0
CHEMBL585951,0.5973,0.6402,0.4386,0.4965,0.3665,-0.5254,0.50782,0
Parbendazole,0.5968,0.4187,0.4534,0.5469,NA,-0.5377,0.50395,1
Dasatinib,0.5965,0.6219,0.6079,0.499,0.4774,-0.4832,0.56054,0
Nemonapride,0.5894,0.4277,NA,0.5021,NA,-0.6642,0.5064,2
Elesclomol,0.5884,0.5002,0.4032,0.3403,0.5251,-0.478,0.47144,0
Ulipristal,0.5877,0.4351,0.348,NA,NA,-0.4895,0.4569333333333333,2
OSI-906 (Linsitinib),0.5856,0.3459,NA,NA,0.3821,-0.645,0.4378666666666667,2
CAY10618,0.5855,0.3564,0.663,0.7021,NA,-0.5439,0.57675,1
RS-23597-190,0.5831,0.358,0.6588,0.6765,NA,-0.546,0.5690999999999999,1
AGK 2,0.5823,0.4684,0.3444,0.5425,0.3822,-0.5143,0.46396,0
FK888,0.5778,0.391,0.7837,0.3362,0.4259,-0.7131,0.50292,0
Albendazole,0.5773,0.4552,0.563,NA,0.3378,-0.4931,0.483325,1
Pindolol,0.573,0.4228,0.3224,0.404,0.3373,-0.6034,0.4119,0
SCHEMBL16980224,0.5729,0.5143,0.6014,0.709,0.4049,-0.4785,0.5605,0
Tandutinib,0.5723,0.4264,0.7782,NA,0.4059,-0.6916,0.5457,1
Decitabine,0.5704,0.609,0.3525,0.4215,0.4018,-0.4847,0.47104,0
MY 5445,0.5682,0.515,0.3587,0.3819,NA,-0.654,0.45595,1
L-Sulforaphane,0.5609,0.4599,0.6744,0.4456,0.4046,-0.4897,0.50908,0
Pifithrin MU,0.5604,0.3448,0.3721,0.4075,NA,-0.4799,0.4212,1
BRD-K00144236,0.5598,NA,0.6129,NA,0.3278,-0.6188,0.5001666666666666,2
CDK9 Inhibitor,0.5596,0.4842,0.3931,0.3841,0.3838,-0.4968,0.44096,0
Gefitinib,0.559,0.6054,0.7367,0.5293,0.4194,-0.5386,0.56996,0
PHA-665752,0.5589,0.5463,0.7505,NA,0.3272,-0.5022,0.545725,1
Quizartinib,0.5588,0.5668,0.6319,0.4758,0.3584,-0.4955,0.51834,0
GSK 1059615,0.5583,0.6248,0.4333,0.5747,0.5498,-0.4964,0.54818,0
Regorafenib,0.5571,0.5967,0.462,0.4504,0.385,-0.5167,0.49024,0
Tetrahydrouridine,0.5537,0.3955,NA,0.5292,0.3876,-0.4978,0.4665,1
GSK-461364,0.5523,0.4156,0.7627,0.5035,0.3651,-0.4794,0.51984,0
KW-2449,0.5508,0.5914,0.5525,0.5188,0.3358,-0.4784,0.50986,0
Thioridazine,0.5483,0.4788,0.8069,0.4405,0.3588,-0.4747,0.52666,0
Pimecrolimus,0.5463,0.5001,0.3278,NA,0.4434,-0.4774,0.4544,1
Cinaciguat,0.5453,0.3906,0.3802,NA,0.3399,-0.6407,0.414,1
