compound,azt,los,nib,quine,vir,similarity,meansim,nas
Selumetinib,0.6897,0.5849,0.5202,0.3749,0.5495,-0.3277,0.54384,0
RO4987655,0.6867,0.5605,0.3269,NA,NA,-0.3361,0.5246999999999999,2
"MEK162 (ARRY-162, ARRY-438162)",0.6685,0.502,NA,NA,NA,-0.3335,0.58525,3
Ibutilide,0.6507,NA,NA,0.4537,NA,-0.3442,0.5522,3
Albendazole,0.5773,0.4552,0.563,NA,0.3378,-0.3375,0.483325,1
GSK-461364,0.5523,0.4156,0.7627,0.5035,0.3651,-0.3272,0.51984,0
AZ20,0.509,0.5497,0.3766,0.4733,0.4042,-0.329,0.46255999999999997,0
Mebendazole,0.4981,0.4725,0.5518,0.6337,0.3501,-0.3375,0.50124,0
PD-0325901,0.4889,0.5972,0.6375,0.4829,0.4665,-0.326,0.5346,0
Podofilox,0.4797,0.4727,0.4358,0.3714,NA,-0.3493,0.4399,1
"Cyclohexanecarboxamide, 4-(1-aminoethyl)-n-4-pyridinyl-, trans-",0.4725,0.6491,0.3936,0.5873,0.328,-0.3257,0.48610000000000003,0
331771-20-1,0.4676,0.5013,0.6396,0.4704,0.4518,-0.3388,0.50614,0
Pelitinib,0.4497,0.5348,0.6221,0.3338,0.4109,-0.3381,0.47026,0
Neratinib,0.4262,0.6172,0.7488,0.5054,0.369,-0.3229,0.53332,0
SB743921,0.418,NA,0.523,NA,NA,-0.3542,0.47050000000000003,3
TPCA-1,0.4162,0.6097,0.4162,0.4576,0.4481,-0.3265,0.46956000000000003,0
CI-1040,0.389,0.6289,0.468,0.3798,0.376,-0.3641,0.44834,0
pyrvinium-pamoate,0.3811,0.5598,0.7239,0.6336,0.4082,-0.3375,0.54132,0
TAK-733,0.3766,0.5457,0.5423,0.4365,NA,-0.338,0.475275,1
Volasertib (BI 6727),0.3666,NA,0.4394,NA,0.3356,-0.3349,0.38053333333333333,2
CP-724714,0.3271,0.5918,0.5805,0.4184,0.5026,-0.3331,0.48408,0
Indigo Red,0.7538,NA,0.5465,NA,NA,-0.3309,0.65015,3
Radicicol,0.6767,0.599,0.5939,0.364,0.6132,-0.3257,0.56936,0
NMS-1286937,0.671,NA,0.411,0.3513,0.3313,-0.3307,0.44115,1
HMN-214,0.6014,0.4641,0.5622,0.3674,0.4337,-0.3286,0.48576,0
Troglitazone,0.5768,0.4883,0.563,0.6227,0.4511,-0.342,0.54038,0
WYE 125132,0.5703,0.5292,0.496,0.394,0.5453,-0.3399,0.50696,0
