compound,azt,los,nib,quine,vir,similarity,meansim,nas
Azithromycin,1,0.4563,0.5665,0.4594,0.7492,-0.6301,0.64628,0
Famotidine,0.8685,0.54990000000000006,0.3291,0.3885,0.702,-0.6134,0.5676,0
AC1LDBAO,0.8293,0.6889,0.3874,0.4195,0.8131,-0.4763,0.62764,0
SCHEMBL14379041,0.8035,0.4242,0.341,NA,0.8045,-0.6988,0.5933,1
3-Aminobenzamide,0.8019,0.5197,NA,0.5043,0.6884,-0.7897,0.628575,1
HSCI1_000314,0.8,0.4467,0.3355,0.4278,0.6981,-0.646,0.54162,0
BMS-536924,0.7897,0.6608,0.5546,0.5102,0.7977,-0.501,0.6626,0
NNC 05-2090,0.7627,0.4548,0.5157,0.4143,0.8298,-0.7309,0.59546,0
CHEMBL2355346,0.7444,NA,0.3617,0.6044,NA,-0.612,0.5701666666666667,2
Isoliquiritigenin,0.7437,NA,NA,0.4471,0.8178,-0.4922,0.6695333333333333,2
FPA1_000218,0.7332,NA,0.3536,NA,NA,-0.6727,0.5434,3
Clofibrate,0.7285,NA,0.3986,0.3848,0.5283,-0.6118,0.51005,1
LY 2183240,0.7259,0.4901,0.4616,0.5962,0.7494,-0.4744,0.60464,0
Vesamicol,0.7223,NA,0.3805,NA,0.4993,-0.6462,0.5340333333333334,2
GSK-461364,0.7194,0.661,0.5108,0.6029,0.6964,-0.4794,0.6381,0
Orlistat,0.7118,0.5717,0.7218,0.4981,0.5287,-0.7314,0.60642,0
SCHEMBL2557158,0.7036,0.437,0.7353,0.4673,0.6024,-0.5682,0.58912,0
GSK-923295,0.6993,0.4803,0.3512,NA,0.6192,-0.503,0.5375,1
GSK-1070916,0.6969,0.5819,0.6138,0.5849,0.767,-0.5079,0.6489,0
"16,16-Dimethyl prostaglandin e2",0.6941,0.401,NA,0.3942,0.8866,-0.5085,0.593975,1
SMR000082310,0.6921,0.3896,NA,0.3315,0.4436,-0.4859,0.4642,1
AZD-1775,0.6871,0.6042,0.6053,0.5588,0.9131,-0.4793,0.6737,0
Perphenazine,0.6864,0.608,0.6663,0.5318,0.7186,-0.5193,0.64222,0
GW843682X,0.6859,0.61,0.5361,0.5866,0.6719,-0.4866,0.6181,0
BRD-K81514393,0.6849,0.3816,0.4195,0.3885,NA,-0.6909,0.46862499999999996,1
Bosutinib,0.6782,0.6462,0.6786,0.5375,0.6907,-0.4746,0.64624,0
BCPP000194,0.677,0.7407,0.4567,0.4837,0.5469,-0.5336,0.5810000000000001,0
BI-2536,0.6694,0.6018,0.6478,0.3337,0.8134,-0.4848,0.61322,0
Chloroquine,0.6688,0.391,0.4366,1,0.7202,-0.4991,0.64332,0
Chloroquine,0.6688,0.391,0.4366,1,0.7202,-0.4991,0.64332,0
Desipramine,0.6681,0.5366,0.5536,0.3481,NA,-0.5308,0.5266,1
pyrvinium-pamoate,0.6672,0.5541,0.4251,0.6669,0.7862,-0.479,0.6199,0
BRD-K82494270,0.6639,NA,NA,0.3854,0.5933,-0.4781,0.5475333333333334,2
H89,0.6593,0.3549,0.6988,0.4106,0.7579,-0.6093,0.5763,0
AC1L1IKY,0.657,0.3889,0.3693,0.4055,0.5168,-0.5299,0.4675,0
Trifluoperazine,0.6549,0.7439,0.6865,0.4779,0.791,-0.5009,0.67084,0
BRD-K70052069,0.6537,0.6258,NA,0.5036,NA,-0.7505,0.5943666666666667,2
Zuclomiphene,0.6517,0.6788,0.6934,0.563,0.7278,-0.5208,0.66294,0
Vorinostat,0.6502,0.6251,0.6283,0.662,0.8552,-0.4738,0.68416,0
AC1L99UL,0.6498,0.3545,0.6673,NA,0.4411,-0.6234,0.5281750000000001,1
AKT Inhibitor VIII,0.6487,0.5624,0.682,0.486,0.7498,-0.4793,0.62578,0
9-Cis retinol,0.6477,0.5609,0.4274,0.5276,0.7464,-0.4828,0.582,0
TGX-115,0.6475,0.4427,0.4017,0.6964,0.7596,-0.4778,0.58958,0
Perhexiline,0.6467,0.5682,0.6713,0.5357,0.776,-0.4961,0.63958,0
Falnidamol,0.6464,0.5218,0.6519,0.499,0.6417,-0.6552,0.59216,0
Terfenadine,0.6455,NA,0.6074,0.5184,0.7322,-0.5532,0.625875,1
SPOX1_002925,0.6449,0.3909,0.3406,NA,0.5846,-0.6405,0.49025,1
MLS002264403,0.6415,0.3748,0.6451,0.4452,0.8713,-0.4808,0.59558,0
Sertraline,0.6411,0.4921,0.7552,0.5162,0.693,-0.4829,0.61952,0
SB-431542,0.6408,0.5192,0.5083,0.4848,0.558,-0.505,0.54222,0
Fast Scarlet,0.6402,NA,NA,0.5355,0.5878,-0.673,0.5878333333333333,2
Chlorprothixene,0.6391,0.508,0.5044,0.4164,0.6671,-0.513,0.547,0
Cytosporone B,0.6391,0.3596,0.4873,0.4236,0.7402,-0.6357,0.52996,0
CGP71683A,0.6389,0.4477,0.6632,0.5924,0.7782,-0.5093,0.62408,0
Raloxifene,0.6356,0.5509,0.5523,0.5752,0.7065,-0.485,0.6041,0
KUC104236N,0.6348,0.4069,NA,NA,NA,-0.6233,0.52085,3
Amlodipine,0.6335,0.5786,0.6367,0.4285,0.7777,-0.6296,0.611,0
FTI276,0.6326,0.527,0.3219,0.4278,0.74,-0.7854,0.52986,0
MLS001065841,0.6318,NA,NA,NA,0.6029,-0.8115,0.6173500000000001,3
Ampalex,0.6315,0.343,0.336,0.3509,0.5801,-0.6377,0.4483,0
"Trichostatin A, Streptomyces Sp.",0.6314,0.6548,0.6488,0.478,0.8436,-0.4942,0.65132,0
Wiskostatin,0.6293,0.5181,0.5433,0.4233,0.6697,-0.6476,0.55674,0
AZD4547,0.6289,0.6747,0.629,0.5097,0.5806,-0.5551,0.60458,0
"9-Fluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione",0.6276,0.4589,NA,0.7898,0.6602,-0.6295,0.634125,1
KU-55933,0.6272,0.5485,0.7157,0.38,0.7792,-0.523,0.61012,0
BRD-K19668893,0.6239,NA,0.3798,NA,NA,-0.7702,0.50185,3
BIX01294,0.6223,0.8018,0.7422,0.4621,0.8236,-0.5269,0.6904,0
Lasalocid,0.6206,0.4521,0.584,0.4907,0.6848,-0.6804,0.56644,0
BRD-K00144236,0.6198,NA,0.4182,0.3737,0.7962,-0.6188,0.551975,1
Aurora A Inhibitor I,0.6198,0.6826,0.416,0.4663,0.8094,-0.4791,0.59882,0
Ozagrel,0.6193,0.332,0.4047,0.787,0.755,-0.6203,0.5796,0
SMR000651449,0.6189,0.4655,0.3494,0.5088,0.6987,-0.6036,0.52826,0
Toremifene,0.6181,0.5975,0.3728,0.5379,0.8524,-0.5059,0.59574,0
amcinonide,0.6178,0.5424,0.4749,0.7041,0.6619,-0.6082,0.60022,0
Trametinib,0.6172,0.572,0.4675,0.4709,0.6934,-0.6076,0.5642,0
Cerulenin,0.6168,0.5606,0.5728,0.6603,0.8701,-0.7872,0.65612,0
"ICI-199,441",0.6167,0.5136,0.4714,NA,0.7125,-0.7322,0.57855,1
"9-[3-(3,5-Dimethylpiperazin-1-yl)propyl]-9H-carbazole",0.616,0.3886,0.5563,0.3898,NA,-0.6938,0.48767499999999997,1
Niguldipine,0.6146,0.4728,0.5628,0.6156,0.6524,-0.4884,0.58364,0
GANT-61,0.6133,0.5987,0.5242,0.3647,0.6826,-0.5331,0.5567,0
BRD-K59488055,0.6123,NA,0.3732,NA,0.5459,-0.6972,0.5104666666666666,2
MK-2206,0.6101,0.5359,0.655,0.4332,0.769,-0.486,0.6006400000000001,0
CYTO7H11,0.6096,0.4236,0.5783,0.5972,0.8178,-0.5074,0.6053,0
XMD-1527,0.6085,NA,0.4749,0.3999,NA,-0.6116,0.49443333333333334,2
AC1OAATK,0.607,0.4291,0.4457,NA,0.5497,-0.6328,0.507875,1
METERGOLINE,0.6041,0.5844,0.6656,0.4078,0.7996,-0.7245,0.6123,0
Tozasertib,0.6035,0.6303,0.4004,0.6463,0.9013,-0.4851,0.63636,0
rifampicin,0.6021,0.428,0.5206,0.3492,0.7075,-0.5227,0.5214799999999999,0
Mibefradil,0.6021,0.4848,0.6073,0.5236,0.7744,-0.6085,0.59844,0
SB590885,0.6016,0.6351,0.4788,0.3911,0.7178,-0.4793,0.56488,0
WH-4-025,0.6011,0.5612,0.4516,0.5952,0.7294,-0.6045,0.5877,0
Carvedilol,0.6002,0.6587,0.5817,0.4613,0.7209,-0.6166,0.60456,0
Tetrahydropalmatine,0.5996,NA,NA,NA,0.3725,-0.7688,0.48605,3
