compound,a5491,a5492,ha1e2,ht29,mcf72,pc3,vcap1,vcap2
Sirolimus,0.63744,0.52532,0.57842,0.684825,0.6224999999999999,0.658225,0.63302,0.52396
Aurora A Inhibitor I,0.55052,0.4934,0.53458,0.5354,0.47736666666666666,0.568525,0.59882,0.484575
MK-2206,0.60474000000000006,0.46884,0.5725,0.5843,0.6153333333333334,0.69535,0.6006400000000001,0.566325
ZINC77024257,0.55358,0.5110600000000001,0.4682,0.578275,0.5059666666666667,0.53135,0.63006,0.50335
10-DEBC,0.602,0.53215,0.51864999999999994,0.561975,0.5222666666666667,0.5453749999999999,0.51862,0.44384
AKT Inhibitor VIII,0.6408,0.46368,0.50918,0.62925,0.5113666666666666,0.63455,0.62578,0.6044499999999999
Tivozanib,0.51868,0.4767,0.4843,0.54535,0.5007333333333334,0.5858,0.58454,0.48125
AC1NSZCT,0.46024,0.3626666666666667,0.467275,0.4719666666666667,0.3978666666666667,0.52835,0.55034,0.38645
Salermide,0.60796,0.403725,0.52208,0.499675,0.4340333333333333,0.577725,0.6097400000000001,0.5107
Gliclazide,0.5708,0.4273,0.50005,0.5353,0.36375,0.46496666666666664,0.6241666666666666,0.5524
MLN-8054,0.51634,0.53264,0.58992,0.538775,0.4956333333333333,0.63315,0.54816,0.50992
AMSACRINE,0.5764666666666667,0.50465,0.4641,0.47009999999999996,0.45666666666666667,0.5099333333333333,0.4629,0.40025
PF-04217903,0.54564,0.45842,0.529,0.551975,0.49483333333333335,0.559,0.53926,0.50126
N6022,0.5669333333333333,0.3845,0.510225,0.4468,0.44739999999999996,0.5244500000000001,0.4476,0.5127666666666667
Selumetinib,0.54384,0.50546,0.53172,0.550875,0.612,0.571575,0.5881799999999999,0.4905
R547,0.502675,0.42210000000000003,0.45045999999999997,0.6402,0.3693666666666667,0.4730666666666667,0.511025,0.415625
L-690330,0.4807,0.406825,0.49610000000000004,0.5503333333333333,0.42993333333333333,0.5815,0.50694,0.461175
Nilotinib,0.53746,0.40342500000000003,0.5553,0.5069,0.4718,0.6379,0.6102,0.45758
3-Aminobenzamide,0.5156000000000001,0.44916666666666666,0.51068,0.46395,0.45593333333333336,0.5217333333333334,0.628575,0.5268
AZD-8055,0.59758,0.45826,0.52096,0.613075,0.5618333333333333,0.6307,0.53588,0.4457
PI-103,0.63934,0.4841,0.48716,0.5834,0.5375666666666666,0.581525,0.5898,0.541425
COT-10B,0.60292,0.46868,0.62785,0.631,0.4569666666666667,0.596525,0.63694,0.4734
Dabrafenib,0.48608,0.45484,0.56374,0.479975,0.4868,0.63925,0.62446,0.5143666666666666
VX-11E,0.454275,0.43405,0.4573333333333333,0.44606666666666667,0.47633333333333333,0.5020333333333333,0.48100000000000004,0.43465
Dasatinib,0.56054,0.5417,0.61656,0.551075,0.5916333333333333,0.569125,0.63092,0.52794
Purmorphamine,0.46353333333333335,0.527825,0.4673,0.4013333333333333,0.38383333333333336,0.5385333333333333,0.47442,0.4398666666666667
OSI-906 (Linsitinib),0.4378666666666667,0.4729,0.48572499999999996,0.5224,0.36406666666666665,0.47765,0.5469666666666666,0.44186666666666663
AGK 2,0.46396,0.43002,0.47058,0.5215333333333334,0.44970000000000004,0.5495,0.5597,0.42535
Albendazole,0.483325,0.4771,0.47496,0.446475,0.47304999999999997,0.5744750000000001,0.56324,0.5196666666666666
Decitabine,0.47104,0.45167999999999997,0.5729,0.467925,0.5295333333333333,0.557425,0.5771,0.45542499999999997
Gefitinib,0.56996,0.4353,0.56226,0.582375,0.5628333333333333,0.648475,0.6261599999999999,0.52484
Quizartinib,0.51834,0.45104,0.54556,0.557975,0.5999,0.59465,0.54348,0.49156666666666665
GSK-461364,0.51984,0.43822,0.5623,0.5748,0.5966666666666667,0.621175,0.6381,0.53528
KW-2449,0.50986,0.47644,0.51866,0.522875,0.4948,0.57385,0.5566,0.48968
Thioridazine,0.52666,0.469325,0.503,0.574,0.5034000000000001,0.57995,0.67662,0.507525
Ethacrynic acid,0.46643999999999997,0.3981,0.4969,0.526075,0.42823333333333335,0.54565,0.49572,0.39165
Menadione,0.48094,0.436525,0.5162,0.518975,0.49193333333333333,0.542625,0.59438,0.5662
3-(4-Pyridyl)indole,0.40606,0.506275,0.6314,0.475725,0.5347,0.6290333333333333,0.53698,0.493
AT-9283,0.45754,0.5266500000000001,0.55532,0.47025,0.49346666666666666,0.573825,0.52288,0.4682
Lexibulin,0.43496,0.44116666666666665,0.45044,0.4986,0.4292666666666667,0.5824,0.4947,0.518
Erlotinib,0.5111600000000001,0.46455,0.5664,0.5492750000000001,0.49956666666666666,0.6054999999999999,0.54926,0.62595
Pinacidil,0.449025,0.40555,0.42665,0.5169333333333334,0.421,0.5690999999999999,0.47631999999999997,0.4048
Dovitinib,0.55208,0.50392,0.51608,0.55435,0.47386666666666666,0.60635,0.5521,0.449
PD-0325901,0.5346,0.46376,0.5527,0.5517,0.5634666666666667,0.659925,0.64374,0.5646
Gemcitabine,0.5163800000000001,0.54038,0.52654,0.542775,0.5405666666666666,0.64695,0.59704,0.4747
SCHEMBL16226502,0.4918,0.480825,0.52244,0.5108,0.4858,0.532925,0.5537,0.56258
Pralatrexate,0.48183333333333334,0.54835,0.47624999999999995,0.495775,0.36556666666666665,0.47206666666666663,0.52265,0.44604999999999995
Pracinostat,0.516725,0.3872,0.46338,0.52885,0.4659666666666667,0.600125,0.49452,0.54990000000000006
Cytarabine,0.502275,0.48160000000000003,0.40942500000000004,0.473,0.4779,0.4965,0.561875,0.44315000000000004
Tizanidine,0.4178,0.3644,0.4077,0.4936666666666667,0.4911,0.64255,0.585675,0.5258499999999999
761437-28-9,0.46272,0.47248,0.49934,0.47655000000000003,0.49803333333333333,0.51185,0.5262,0.5624666666666667
Raltitrexed,0.41335,0.5057666666666667,0.46465,0.42819999999999997,0.35765,0.43995,0.48988,0.33745000000000003
Olaparib,0.4636,0.54546,0.50066,0.5181,0.5286666666666666,0.5247499999999999,0.53898,0.50036
331771-20-1,0.50614,0.47972,0.44022,0.515475,0.4916333333333333,0.5886,0.57094,0.50095
CX-5461,0.44098,0.50878,0.42904,0.43627499999999997,0.519,0.6552,0.5884,0.50035
AZD-1775,0.53774,0.52778,0.5819,0.5559000000000001,0.5117333333333334,0.6566,0.6737,0.59012
Saracatinib,0.52964,0.45530000000000004,0.53964,0.52935,0.5514666666666667,0.622075,0.5978,0.549525
vincristine,0.40518,0.3693,0.45562,0.428,0.5105999999999999,0.5529666666666666,0.46971999999999997,0.3983
"4,11-Diethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione",0.45461999999999997,0.556025,0.50335,0.4969,0.5067333333333334,0.5307999999999999,0.6091,0.4323
1268524-70-4,0.43898,0.49024999999999996,0.48825999999999997,0.5307,0.49343333333333333,0.5278,0.49246,0.607525
Alvocidib,0.50206,0.50775,0.442,0.563925,0.5701666666666667,0.548125,0.52782,0.4631
Primaquine,0.37738,0.4655,0.50576,0.5683,0.3977333333333333,0.524975,0.52662,0.44705
AT 7867,0.4828,0.43262,0.5384599999999999,0.49885,0.5442,0.49312500000000004,0.55,0.6053
SU 11274,0.53402,0.42456,0.52164,0.4709333333333333,0.4794333333333333,0.5377,0.57066,0.479975
SCHEMBL15556278,0.40346,0.34906,0.48265,0.5528666666666666,0.4487333333333334,0.506775,0.49842,0.469475
Lisinopril,0.4644333333333333,0.4306,0.4643333333333333,0.5464,0.44835,0.5136666666666666,0.5099,0.6768000000000001
Palbociclib,0.57674,0.45682,0.55486,0.4827,0.5098333333333334,0.6704,0.56746,0.5200750000000001
PFI-1,0.56886,0.41915,0.47776,0.49317500000000003,0.5569666666666666,0.51225,0.53554,0.53515
CHEMBL1083527,0.56128,0.41384,0.48658,0.559925,0.5312,0.580175,0.61196,0.489675
Amuvatinib,0.52588,0.42024,0.48032,0.5479,0.5445,0.5586,0.57268,0.505
PHA-793887,0.5236,0.436,0.50344,0.534875,0.48073333333333335,0.5731499999999999,0.57506,0.534575
CHEMBL2360506,0.407575,0.3631666666666667,0.3751,0.4171,0.4209,0.5134,0.5384249999999999,0.46845
TAE-684,0.48466,0.47972,0.51374,0.544975,0.5730666666666666,0.5312,0.55374,0.51584
Toremifene,0.5907,0.41582,0.49746,0.5493,0.49346666666666666,0.568625,0.59574,0.5669
Thiothixene,0.50115,0.38215,0.46052,0.54435,0.5776666666666667,0.5262,0.64222,0.4286
BRD-K00199686,0.39405,0.37623333333333336,0.44956,0.4881333333333333,0.398,0.4624333333333333,0.3905,0.49845
TPCA-1,0.46956000000000003,0.5381199999999999,0.528225,0.502175,0.5407666666666666,0.546675,0.6386999999999999,0.5079750000000001
PIK 75,0.49308,0.44645,0.4161,0.5630333333333334,0.4447333333333333,0.589525,0.47624,0.5322666666666667
Rebastinib,0.4644,0.39774,0.45152000000000003,0.5863666666666667,0.5324,0.60565,0.5905400000000001,0.5513
Rigosertib,0.42804,0.455925,0.47314,0.48485,0.47953333333333337,0.53395,0.58436,0.477125
TORIN-2,0.53352,0.38585,0.5157,0.526175,0.4763,0.55435,0.5349,0.5375
RG7388,0.42632499999999995,0.5344333333333333,0.4441,0.49625,0.42385,0.5276666666666666,0.5559000000000001,0.365
Phenoxazine,0.38454,0.483175,0.45106666666666667,0.4896,0.4596,0.6627333333333333,0.476425,0.50596
Floxuridine,0.46178,0.524725,0.51245,0.53165,0.44816666666666666,0.4959,0.58756,0.477625
CHEMBL3183436,0.43272,0.51225,0.44472,0.555775,0.5175000000000001,0.58545,0.47666,0.497625
Alisertib,0.46916,0.53835,0.46235,0.46385,0.47045000000000003,0.56385,0.57955,0.40082
Dinoprost,0.43146666666666667,0.56355,0.471825,0.4451,0.4051,0.44995,0.5135666666666666,0.42674999999999996
Pimasertib,0.5038333333333334,0.51575,0.42394,0.451,0.4921666666666667,0.543725,0.5044,0.431525
CI-1040,0.44834,0.48160000000000003,0.50002,0.496525,0.5322666666666667,0.625725,0.58396,0.485775
JZL-184,0.4503666666666667,0.5277333333333334,0.5475,0.5614,0.44179999999999997,0.4809333333333333,0.5231,0.569775
GSK 525762A,0.50708,0.40243999999999996,0.47858,0.6382,0.5766666666666667,0.5835,0.49544,0.53344
pyrvinium-pamoate,0.54132,0.5114,0.47618,0.5490333333333333,0.43176666666666663,0.65455,0.6199,0.508725
Sorafenib,0.45158,0.474,0.54292,0.5485249999999999,0.49916666666666665,0.58545,0.5962000000000001,0.51108
Mitoxantrone,0.5412,0.5623,0.51588,0.60265,0.5869666666666666,0.668775,0.64586,0.4662
GF-109203,0.49628,0.46782,0.51635,0.67545,0.5223,0.55365,0.57414,0.5165
Pyrazolanthrone,0.40052,0.4084,0.51385,0.47715,0.48250000000000004,0.45782500000000004,0.641275,0.5118666666666667
"Betamethasone 17,21-dipropionate",0.44585,0.3589333333333333,0.44814999999999994,0.4787,0.40800000000000003,0.5547333333333333,0.6706666666666666,0.3801
AC1MJ3VH,0.45115,0.50395,0.41333333333333333,0.553275,0.4414666666666667,0.5321,0.5251,0.4775666666666667
PIK-93,0.39795,0.55845,0.46936,0.4708,0.4529666666666667,0.565925,0.46168,0.449325
Pilaralisib,0.43124,0.403075,0.41852500000000004,0.46652499999999997,0.54355,0.573225,0.51068,0.45885
KPT-330,0.38,0.54155,0.4409,0.4567,0.39566666666666667,0.42835,0.529175,0.39843333333333336
LGX818,0.4629333333333333,0.42715000000000003,0.4634666666666667,0.446625,0.36615,0.5373,0.42879999999999996,0.46475
Enzastaurin,0.49272,0.4492,0.54992,0.52595,0.5368,0.562775,0.55716,0.47472
Fluticasone Propionate,0.39718,0.36633333333333334,0.4778,0.45476666666666665,0.4058333333333334,0.6340333333333333,0.659675,0.4142
Crizotinib,0.46352,0.47682,0.59104,0.554075,0.4942666666666667,0.554225,0.65452,0.4819
PF-562271,0.46116,0.534,0.52452,0.582075,0.5529,0.534625,0.5523,0.496
Quinacrine,0.5413,0.44494,0.38351999999999997,0.5626249999999999,0.5575666666666667,0.55065,0.58242,0.45974000000000004
Cephaeline,0.41264999999999996,0.42396666666666666,0.4666,0.4508,0.3572,0.398475,0.46175,0.49695
Riluzole,0.377425,0.5141666666666667,0.41881999999999997,0.4766666666666666,0.4991333333333333,0.560575,0.50012,0.5297499999999999
AZD-8330,0.47536,0.49686,0.5121399999999999,0.535975,0.5700666666666667,0.6352,0.57038,0.47448
Amonafide,0.4671,0.5238666666666667,0.4047,0.452475,0.3671333333333333,0.4887666666666667,0.50493999999999994,0.4753
I-BET151,0.4426,0.4457,0.48478,0.51755,0.46846666666666664,0.502125,0.48886,0.5563750000000001
Pitavastatin Calcium,0.45798,0.5078666666666667,0.44076,0.572375,0.48860000000000003,0.476325,0.61240000000000006,0.4915
Dinaciclib,0.43028,0.4187,0.46158,0.5473666666666667,0.4348,0.5256,0.4268,0.49517500000000003
Bitopertin,0.35855000000000004,0.4035666666666667,0.41703333333333337,0.47966666666666663,0.5954999999999999,0.41109999999999997,0.5073666666666666,0.46745
LRRK2-IN-1,0.49908,0.46027999999999997,0.52726,0.561325,0.5454333333333333,0.644675,0.52398,0.551175
Triacsin C,0.375475,0.49812,0.460625,0.5443,0.36135,0.47053333333333336,0.5496333333333333,0.45615
CHEMBL2143628,0.38152,0.39490000000000003,0.44956,0.4579666666666667,0.4121333333333333,0.440075,0.52235,0.4082
NVP-BHG712,0.4189,0.42105,0.48862,0.5039750000000001,0.44089999999999996,0.522475,0.5160399999999999,0.50135
Resminostat,0.354,0.3693666666666667,0.3725,0.46535000000000004,0.53,0.430025,0.54748,0.4324
Carvedilol,0.44920000000000004,0.37005,0.4553,0.433425,0.45920000000000005,0.4925333333333334,0.60456,0.41788
Atorvastatin,0.481975,0.46814999999999996,0.403925,0.5043,0.4616,0.4615,0.6139,0.439125
Minoxidil,0.46792,0.4453333333333333,0.47297500000000003,0.5696333333333333,0.46140000000000003,0.5115500000000001,0.568875,0.4847
Indigo Red,0.65015,0.44045,0.446925,0.45147499999999996,0.4186333333333333,0.480325,0.53218,0.4556
AM-580,0.48608,0.44432000000000005,0.5047666666666667,0.5224500000000001,0.4879,0.5290333333333334,0.53812,0.4048
3-Chloro-l-alanine,0.6168,0.48462,0.44475,0.4610666666666667,0.5254666666666666,0.5413,0.55396,0.48278
