compound,azt,los,nib,quine,vir,similarity,meansim,nas
Azithromycin,1,0.41,NA,0.4551,0.7938,-0.3823,0.664725,1
362-74-3,0.6684,NA,NA,0.6098,0.393,-0.4216,0.5570666666666667,2
SB-216763,0.622,0.5285,0.4154,0.5243,0.6232,-0.4296,0.5426799999999999,0
848193-68-0,0.5735,0.5036,NA,0.5557,0.4705,-0.3472,0.525825,1
Nimodipine,0.5503,0.3265,0.3771,0.4404,0.8082,-0.3392,0.5005000000000001,0
Gefitinib,0.5428,0.4664,0.378,0.5095,0.7275,-0.3795,0.52484,0
3-(4-Pyridyl)indole,0.5197,0.5565,0.4068,0.4752,0.5068,-0.3236,0.493,0
PCI-34051,0.4553,0.4993,0.4007,0.3854,0.4883,-0.3437,0.44580000000000003,0
AKT Inhibitor IV,0.4388,0.8315,0.4156,0.4946,0.5438,-0.3242,0.54486,0
Rivaroxaban,0.4102,NA,NA,0.361,0.6952,-0.3557,0.4888,2
PF-04217903,0.4016,0.3582,0.3856,0.6505,0.7104,-0.3384,0.50126,0
XAV 939,0.3994,NA,0.4751,0.4665,0.4712,-0.3548,0.45305,1
Sirolimus,0.3987,0.4989,0.3374,0.657,0.7278,-0.3317,0.52396,0
CT-200783,0.3909,0.5953,0.4812,0.5389,0.4747,-0.3893,0.49620000000000003,0
Mesoridazine,0.3847,0.4389,NA,0.3958,0.5255,-0.403,0.436225,1
STK222600,0.3786,NA,0.4242,0.3336,0.7854,-0.3365,0.48045,1
Ivabradine HCl,0.3768,NA,NA,0.5664,NA,-0.3472,0.4716,3
BRD32048,0.374,0.3356,NA,0.3971,0.4556,-0.3379,0.390575,1
Wortmannin,0.3706,0.4726,0.4437,0.6202,0.8187,-0.3228,0.54516,0
Phenytoin,0.3692,NA,NA,0.3729,0.6479,-0.4222,0.4633333333333333,2
KW-2449,0.3682,0.3497,0.4919,0.5779,0.6607,-0.3648,0.48968,0
HLI-373,0.3635,0.4886,0.3222,0.4732,0.4618,-0.3312,0.42186,0
Gallocatechin Gallate,0.3619,NA,0.3313,0.5671,0.7744,-0.3917,0.508675,1
Flufenamic acid,0.3585,NA,NA,NA,0.5354,-0.3973,0.44694999999999996,3
MLS002474103,0.3581,0.3902,NA,NA,NA,-0.3862,0.37415,3
Vorinostat,0.3574,0.6613,0.4976,0.7391,0.8047,-0.3584,0.61202,0
Quinacrine,0.3486,0.3924,0.3762,0.5076,0.6739,-0.323,0.45974000000000004,0
Sorafenib,0.3479,0.5962,0.4481,0.5062,0.657,-0.3516,0.51108,0
Lenalidomide,0.3466,NA,0.4105,0.3636,0.4271,-0.3356,0.38695,1
AS601245,0.3451,0.4126,0.3988,0.5033,0.7823,-0.3349,0.48842,0
Avicin-G,0.3444,0.4119,0.3346,0.513,0.5555,-0.3672,0.43188,0
Mitoxantrone,0.3434,0.3656,0.415,0.5627,0.6443,-0.3323,0.4662,0
Rebastinib,0.341,0.4757,NA,0.4991,0.8894,-0.3924,0.5513,1
BMS-345541,0.3374,0.4735,0.3854,0.517,0.6134,-0.3717,0.46534,0
"Pfmrk inhibitor, wr 216174",0.3354,0.7845,0.4644,0.4999,0.4698,-0.3325,0.5108,0
Curcumin,0.3287,0.5484,0.358,0.5682,0.5265,-0.3254,0.46596,0
SB590885,0.3267,0.4372,0.3835,0.5161,0.798,-0.3234,0.4923,0
AB00540134,0.3245,0.3346,NA,0.4078,NA,-0.3546,0.35563333333333336,2
Avicin-D,0.3238,0.3452,0.3434,0.3303,0.5834,-0.3342,0.38522,0
AC1Q6JJ5,0.3223,0.4932,0.3841,0.4467,0.7956,-0.3312,0.48838,0
Regorafenib,0.3213,0.4772,0.508,0.435,0.7733,-0.3334,0.50296,0
Azithromycin,1,0.41,NA,0.4551,0.7938,-0.3823,0.664725,1
Chaetocin,0.5498,0.585,0.5147,0.4998,0.57,-0.3462,0.54386,0
Foretinib,0.4831,0.3971,NA,0.4565,0.6946,-0.3319,0.507825,1
Enzastaurin,0.4649,0.4833,0.352,0.4677,0.6057,-0.424,0.47472,0
SCHEMBL17378613,0.4533,0.3948,0.3665,0.4038,0.7773,-0.3534,0.47914,0
E319,0.449,0.3421,0.328,0.4345,0.6997,-0.3469,0.45066,0
Withaferin A,0.4478,0.7333,0.5206,0.6094,0.6668,-0.3319,0.59558,0
Y-39983,0.4446,0.4845,NA,0.5621,0.6233,-0.4017,0.528625,1
GSK-461364,0.4279,0.462,0.3962,0.6988,0.6915,-0.3244,0.53528,0
Alprostadil,0.4033,0.3871,NA,0.4495,0.4768,-0.3432,0.429175,1
Canertinib,0.4013,0.6263,0.528,0.6396,0.845,-0.3755,0.60804,0
Cyclosporine,0.3888,NA,0.3875,0.4386,0.6518,-0.4502,0.466675,1
Dasatinib,0.3863,0.423,0.4123,0.5973,0.8208,-0.3795,0.52794,0
Fenretinide,0.385,0.629,NA,NA,0.5357,-0.3942,0.5165666666666666,2
TAK-285,0.3822,NA,NA,NA,0.8068,-0.3356,0.5945,3
PF 3845,0.3765,0.3791,0.3399,0.3956,0.5365,-0.3306,0.40552,0
AZ628,0.3765,0.5698,0.3357,0.5784,0.8109,-0.3412,0.53426,0
Htfmt,0.3749,NA,NA,0.3614,0.5996,-0.3414,0.44530000000000003,2
Lapatinib,0.3734,0.3735,0.3251,0.4447,0.6934,-0.323,0.44202,0
LDN 193189,0.3695,0.4284,0.4906,0.5286,0.6626,-0.3289,0.49594,0
BRD-U86222656,0.366,0.778,0.3333,NA,0.4558,-0.3457,0.483275,1
GSK-3 Inhibitor IX,0.3649,0.3843,0.5261,NA,0.5653,-0.3305,0.46015,1
Elliptecine,0.3613,0.4121,NA,NA,0.4535,-0.4025,0.4089666666666667,2
Levetiracetam,0.36,NA,NA,0.3649,0.6659,-0.3863,0.4636,2
"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",0.3587,0.8911,0.5335,0.7588,0.9261,-0.3213,0.69364,0
MLN-8054,0.3523,0.4045,0.5225,0.396,0.8743,-0.4248,0.50992,0
Decitabine,0.3483,0.3683,NA,0.4424,0.6627,-0.376,0.45542499999999997,1
