compound,azt,los,nib,quine,vir,similarity,meansim,nas
Radicicol,0.6787,0.3477,0.4194,0.4836,0.6953,-0.3257,0.52494,0
CP-724714,0.6325,NA,NA,0.5635,0.5078,-0.3331,0.5679333333333333,2
CGK733,0.6041,0.3271,0.4169,0.4349,0.406,-0.326,0.4378,0
GSK-461364,0.5842,0.396,0.3898,0.3789,0.4422,-0.3272,0.43822,0
CI-1040,0.5766,0.3859,0.4233,0.5202,0.502,-0.3641,0.48160000000000003,0
HMN-214,0.5242,0.3859,0.5915,0.6764,0.6705,-0.3286,0.5697,0
Withaferin A,0.5194,0.3552,0.4739,0.7403,0.6025,-0.3496,0.53826,0
Selumetinib,0.514,0.4407,0.5145,0.5513,0.5068,-0.3277,0.50546,0
Neratinib,0.4953,0.4114,0.3544,0.4821,0.6035,-0.3229,0.46934,0
GW620972X,0.4922,0.4346,0.4599,0.6134,0.4413,-0.3379,0.48828,0
AZ20,0.4842,NA,0.3929,0.7117,0.5473,-0.329,0.534025,1
Parthenolide,0.4774,0.4543,0.388,0.556,0.6559,-0.3418,0.50632,0
"(1Ar,7as,10as,10br)-1a,5-Dimethyl-8-methylidene-2,3,6,7,7a,8,10a,10b-octahydrooxireno[9,10]cyclodeca[1,2-b]furan-9(1ah)-one",0.4766,NA,0.3776,0.4867,0.3959,-0.3251,0.43420000000000003,1
Tivantinib,0.4749,0.3714,0.5112,0.8015,0.4504,-0.3553,0.52188,0
179324-69-7,0.4703,NA,0.4377,0.4749,0.4357,-0.3534,0.45465,1
Pazopanib,0.4658,0.4247,0.3398,0.5878,0.4704,-0.3244,0.4577,0
BX 912,0.4598,0.4376,0.3268,0.7404,0.4237,-0.3669,0.47766,0
Kinetin Riboside,0.4489,0.3281,0.3765,0.4108,0.5692,-0.3215,0.4267,0
WYE 125132,0.4449,0.4691,0.3814,0.5495,0.69,-0.3399,0.50698,0
GW-5074,0.4376,0.3918,0.4138,0.6125,0.399,-0.356,0.45094,0
Albendazole,0.4125,0.459,0.4223,0.6552,0.4365,-0.3375,0.4771,0
LY2874455,0.4114,NA,0.3214,0.8995,0.3851,-0.3221,0.50435,1
PD-0325901,0.4072,0.3627,0.4133,0.5389,0.5967,-0.326,0.46376,0
SCHEMBL618594,0.401,0.3601,0.4194,0.4264,0.4564,-0.3405,0.41265999999999997,0
Cladribine,0.3859,0.4073,0.6361,0.7564,0.5086,-0.322,0.53886,0
Troglitazone,0.3844,0.3569,0.5249,0.7537,0.6714,-0.342,0.53826,0
Pelitinib,0.3764,0.3899,0.4199,0.554,0.44,-0.3381,0.43604000000000004,0
ZK-93423,0.3657,NA,NA,0.3625,0.4842,-0.334,0.40413333333333334,2
"Cyclohexanecarboxamide, 4-(1-aminoethyl)-n-4-pyridinyl-, trans-",0.3623,0.3577,0.3432,0.4309,0.5796,-0.3257,0.41474,0
R-7128,0.3593,NA,NA,0.4062,NA,-0.3267,0.38275000000000003,3
O-Demethylated Adapalene,0.3541,NA,0.6299,0.7351,0.4387,-0.3263,0.53945,1
pyrvinium-pamoate,0.353,0.4227,0.6642,0.7007,0.4164,-0.3375,0.5114,0
Plinabulin,0.3497,NA,NA,0.4455,NA,-0.341,0.3976,3
331771-20-1,0.3432,0.3898,0.4465,0.8087,0.4104,-0.3388,0.47972,0
CHEMBL3182395,0.3378,0.4986,0.4255,0.3765,0.4871,-0.3723,0.4251,0
BRD-K00541818,0.3374,NA,0.3905,0.6583,0.4006,-0.3291,0.4467,1
GW843682X,0.3367,0.442,0.3448,0.5671,0.4491,-0.3213,0.42794,0
MLS002264457,0.3304,0.3763,NA,0.3509,NA,-0.3524,0.35253333333333337,2
Podofilox,0.3282,0.3701,NA,0.4473,0.3452,-0.3493,0.3727,1
MLS002264453,0.3282,0.3428,NA,0.3759,0.3273,-0.3308,0.34355,1
Mebendazole,0.3249,NA,0.4562,0.7804,0.4159,-0.3375,0.49435,1
TPCA-1,0.4749,0.4493,0.4678,0.5471,0.7515,-0.3265,0.5381199999999999,0
GSK-3 Inhibitor IX,0.4043,0.349,0.6146,0.5242,0.5333,-0.3217,0.48508,0
Bosutinib,0.4022,0.4107,NA,0.6361,0.6268,-0.3255,0.51895,1
A-443654,0.354,NA,0.4067,0.5467,0.3409,-0.3416,0.41207499999999997,1
CC-401,NA,0.5947,NA,0.6071,NA,-0.3694,0.6009,3
MLS002264481,NA,0.5819,NA,0.4523,NA,-0.3351,0.5171,3
VRT752271,NA,0.3748,0.3684,0.4598,NA,-0.3257,0.401,2
Indigo Red,NA,0.3425,0.5384,NA,NA,-0.3309,0.44045,3
Dolastatin 10,NA,0.3324,NA,0.3578,NA,-0.3225,0.34509999999999996,3
CHEMBL1394624,NA,0.3401,NA,0.4801,NA,-0.3278,0.4101,3
TAK-733,NA,NA,0.3694,0.4789,NA,-0.338,0.42415,3
Volasertib (BI 6727),NA,NA,0.3643,0.3221,NA,-0.3349,0.3432,3
TH-302,NA,NA,0.3606,0.7126,0.3367,-0.3319,0.46996666666666664,2
Thioguanine,NA,NA,0.3532,0.72,NA,-0.3344,0.5366,3
NMS-1286937,NA,NA,0.3285,0.4875,NA,-0.3307,0.40800000000000003,3
CHEMBL2361739,NA,NA,0.3886,0.3428,0.3216,-0.3538,0.351,2
LY2090314,NA,NA,0.3724,0.4697,NA,-0.3379,0.42105000000000004,3
cortisone-acetate,NA,NA,NA,0.6286,0.3987,-0.3389,0.51365,3
Thioguanosine,NA,NA,NA,0.446,0.4531,-0.3442,0.44955,3
"MEK162 (ARRY-162, ARRY-438162)",NA,NA,NA,0.4222,0.4029,-0.3335,0.41255,3
MLS002264466,NA,NA,NA,0.345,0.3708,-0.338,0.3579,3
KF 38789,NA,NA,NA,0.3431,0.3223,-0.3413,0.3327,3
