compound,nib,quine,vir,similarity,meansim,nas
TW 37,0.7416,0.3247,0.5126,-0.3267,0.5263,0
Fedratinib,0.74,0.5342,0.4017,-0.3242,0.5586333333333333,0
PAC-1,0.7338,0.4837,0.4062,-0.3252,0.5412333333333333,0
CHEMDIV1_016684,0.7192,0.3498,0.3566,-0.4771,0.47519999999999996,0
Vorinostat,0.7059,0.7269,0.5397,-0.3242,0.6575,0
Vorinostat,0.7059,0.7269,0.5397,-0.3242,0.6575,0
CHEMBL179288,0.7041,0.3993,0.4568,-0.3407,0.5200666666666667,0
BIX01294,0.7022,0.4987,0.4624,-0.4309,0.5544333333333333,0
CHEMBL2141722,0.6906,NA,0.3454,-0.3581,0.518,1
"Trichostatin A, Streptomyces Sp.",0.687,0.5017,0.5172,-0.3215,0.5686333333333333,0
BRD-K20197338,0.6801,0.5101,NA,-0.4429,0.5951,1
CID 6167421,0.6766,0.3684,0.3696,-0.3241,0.4715333333333333,0
Canertinib,0.6699,0.6538,0.4174,-0.3273,0.5803666666666667,0
"Trans-1,4-bis(2-chlorobenzaminomethyl)cyclohexane dihydrochloride",0.669,0.396,NA,-0.453,0.5325,1
SMR000030495,0.664,0.4017,NA,-0.3263,0.53285,1
Bosutinib,0.6571,0.5772,0.4221,-0.3331,0.5521333333333334,0
IOX2,0.6567,0.7763,0.4323,-0.4207,0.6217666666666667,0
CHEMBL2136735,0.6562,0.6237,0.5003,-0.4204,0.5934,0
CHEMBL1673039,0.6544,0.6826,0.6268,-0.3254,0.6546,0
1268524-70-4,0.654,0.4761,0.3502,-0.3327,0.49343333333333333,0
AC1OAV9H,0.653,0.363,0.3509,-0.3297,0.45563333333333333,0
AC1MFIS3,0.6507,NA,0.3676,-0.3761,0.50915,1
SCHEMBL2557158,0.6397,0.4743,0.3356,-0.3276,0.4832,0
PFI-1,0.6386,0.6442,0.3881,-0.333,0.5569666666666666,0
LRRK2-IN-1,0.6358,0.5759,0.4246,-0.3665,0.5454333333333333,0
AC1O9ZP5,0.6357,0.3453,NA,-0.3392,0.49050000000000005,1
MST-312,0.6355,NA,0.3793,-0.3291,0.5074,1
WAY-170523,0.6339,0.3806,NA,-0.3477,0.50725,1
CID 75060947,0.6208,0.3319,NA,-0.3428,0.47635,1
I-BET151,0.6198,0.4331,0.3525,-0.3288,0.46846666666666664,0
CHEMBL2142321,0.6176,0.3601,0.3505,-0.3358,0.4427333333333333,0
T 98475,0.6168,0.346,NA,-0.427,0.4814,1
Belinostat,0.6147,0.4726,0.4107,-0.3242,0.49933333333333335,0
Wortmannin,0.6143,0.6268,0.5301,-0.3235,0.5904,0
NINDS_000152,0.6137,0.3375,0.3971,-0.41,0.44943333333333335,0
BI-2536,0.6132,0.6482,0.3813,-0.4109,0.5475666666666666,0
PCL2_000057,0.6127,0.4481,NA,-0.3254,0.5304,1
GSK-1070916,0.612,0.6366,0.4767,-0.3429,0.5751000000000001,0
6266-99-5,0.6104,NA,0.3765,-0.3725,0.49345000000000006,1
GSK 525762A,0.6088,0.6901,0.4311,-0.3841,0.5766666666666667,0
Perhexiline,0.6073,0.6237,0.4331,-0.3227,0.5547,0
"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",0.6067,0.7712,0.5321,-0.3232,0.6366666666666667,0
Merck-Ketone,0.6041,0.344,NA,-0.3229,0.47404999999999997,1
SCHEMBL2608041,0.6026,0.507,0.3703,-0.5389,0.4933,0
Rottlerin,0.6021,0.5542,0.3566,-0.3308,0.5043,0
AC1O9X68,0.5985,0.44,0.3651,-0.3568,0.46786666666666665,0
SCHEMBL16980224,0.5984,0.5108,0.5198,-0.3547,0.543,0
NCH-51,0.5974,0.4957,NA,-0.4373,0.54655,1
Zuclomiphene,0.5971,0.6092,0.3487,-0.3404,0.5183333333333333,0
XMD 8-92,0.5942,0.5635,0.4281,-0.41,0.5286,0
SCHEMBL16065773,0.5923,0.4681,0.3256,-0.4207,0.462,0
Palmitoyl Dopamine,0.5908,0.4048,NA,-0.3297,0.4978,1
SB-431542,0.5877,0.5657,NA,-0.4205,0.5767,1
FR-180204,0.5847,0.7462,0.5003,-0.339,0.6103999999999999,0
ML228,0.5817,0.331,NA,-0.3271,0.45635000000000003,1
CHEMBL1406616,0.5809,0.4712,NA,-0.3218,0.52605,1
Dacinostat,0.5756,0.3803,0.4293,-0.41,0.46173333333333333,0
Etoposide,0.5736,0.4129,NA,-0.3612,0.49324999999999997,1
AC1L1JM9,0.5729,0.4711,NA,-0.3681,0.522,1
KU-55933,0.5721,0.56,0.3639,-0.3275,0.4986666666666667,0
XMD-16144,0.5713,0.3338,NA,-0.3282,0.45255,1
Pictilisib,0.5686,0.5535,0.4548,-0.3213,0.5256333333333333,0
AT 7867,0.5635,0.5896,0.4795,-0.3218,0.5442,0
Abexinostat,0.5624,0.4868,NA,-0.3227,0.5246,1
Haloperidol,0.5612,0.4396,0.363,-0.4159,0.4546,0
NU-7441,0.5607,0.6262,0.3685,-0.3353,0.5184666666666666,0
SB 239063,0.5577,0.5503,0.5346,-0.4275,0.5475333333333333,0
Sertraline,0.5573,0.396,NA,-0.3443,0.47665,1
Bithionol,0.5564,0.4912,NA,-0.3281,0.5238,1
Fentanyl Isothiocyanate,0.556,0.4232,NA,-0.4616,0.48960000000000004,1
KU0060648,0.5553,0.4452,0.3667,-0.428,0.4557333333333333,0
Quinacrine,0.5539,0.6349,0.4839,-0.3362,0.5575666666666667,0
Salmeterol,0.5527,NA,0.4247,-0.4649,0.4887,1
FPA1_000218,0.5508,0.4307,NA,-0.4907,0.49075,1
ZINC01792951,0.5491,0.4377,NA,-0.6574,0.4934,1
Thioridazine,0.5439,0.56,0.4063,-0.3781,0.5034000000000001,0
Pyroxamide,0.5423,0.3707,0.3366,-0.6746,0.4165333333333333,0
PF431396,0.541,0.753,0.4339,-0.3398,0.5759666666666667,0
MLS000038106,0.5409,0.3511,0.3737,-0.4324,0.4219,0
Cediranib,0.5395,0.5545,0.396,-0.3221,0.49666666666666665,0
Pracinostat,0.5387,0.5328,0.3264,-0.3235,0.4659666666666667,0
Panobinostat,0.5384,0.4489,0.3525,-0.3221,0.4466,0
Perphenazine,0.5382,0.5065,0.3444,-0.321,0.4630333333333333,0
Pitavastatin Calcium,0.5362,0.441,NA,-0.357,0.48860000000000003,1
Amitriptyline,0.5344,0.5326,0.3485,-0.4316,0.4718333333333333,0
Obatoclax,0.5339,0.5017,NA,-0.3885,0.5178,1
Ricolinostat,0.5337,0.577,0.4173,-0.3224,0.5093333333333333,0
Thiothixene,0.5285,0.768,0.4365,-0.3329,0.5776666666666667,0
MK-2206,0.5279,0.7238,0.5943,-0.3257,0.6153333333333334,0
HG-14-10-04,0.5273,0.6212,0.4588,-0.4129,0.5357666666666666,0
"(R,S)-Indatraline",0.5247,0.4523,NA,-0.4593,0.48850000000000005,1
Chlorpromazine,0.5242,0.5967,0.3498,-0.413,0.49023333333333335,0
VX-702,0.5238,0.3313,0.4235,-0.4602,0.4262,0
Dilazep,0.5233,0.5734,0.3285,-0.3293,0.4750666666666667,0
Idebenone,0.5218,0.7486,0.4028,-0.4366,0.5577333333333334,0
Amoxapine,0.519,0.5207,0.3738,-0.352,0.4711666666666667,0
