compound,azt,los,nib,quine,vir,similarity,meansim,nas
Azithromycin,1,0.5498,0.3901,0.656,0.4806,-0.6301,0.6153,0
MLN 2238,0.8299,0.5897,0.4939,0.663,0.7557,-0.4887,0.66644,0
Thioguanosine,0.8191,0.38,NA,0.3909,0.328,-0.4746,0.47950000000000004,1
Sertindole,0.8082,0.4103,NA,0.5715,0.4076,-0.4907,0.5494,1
Bisoprolol,0.8064,0.5248,NA,0.5766,0.4024,-0.7639,0.57755,1
Dabigatran Etexilate,0.7837,0.5311,0.3787,0.5472,0.4334,-0.5258,0.53482,0
Arvanil,0.7783,0.3384,NA,0.5473,0.398,-0.4834,0.5155,1
CLONAZEPAM,0.775,0.4629,0.4414,0.4146,0.5782,-0.5224,0.53442,0
CLONAZEPAM,0.775,0.4629,0.4414,0.4146,0.5782,-0.5224,0.53442,0
Amoxapine,0.7568,0.3316,NA,0.4509,0.3736,-0.6344,0.478225,1
MK-2461,0.7438,0.54,NA,0.5082,0.4163,-0.723,0.552075,1
Ciprofloxacin,0.7415,0.3461,NA,NA,0.4895,-0.6145,0.5257000000000001,2
Closantel,0.7378,0.3324,0.389,0.4026,0.3589,-0.5442,0.44414,0
AEE788 (NVP-AEE788),0.7354,NA,0.3512,0.4991,0.6128,-0.4778,0.549625,1
Oprozomib (ONX 0912),0.7244,0.3462,0.3868,0.5524,0.6012,-0.4905,0.5222,0
BMY45778,0.7209,NA,0.35,0.5026,NA,-0.4864,0.5245,2
Gefitinib,0.7185,0.5062,0.5433,0.6631,0.3802,-0.5386,0.56226,0
Tacedinaline,0.7157,0.3573,0.3554,0.7361,0.4922,-0.5424,0.53134,0
Lomitapide,0.7115,0.3309,0.3421,NA,0.5059,-0.5124,0.4726,1
Aminolevulinic acid,0.7061,0.3642,0.4141,0.449,0.4864,-0.4913,0.48396,0
"N-(4-Hydroxyphenyl)icosa-5,8,11,14-tetraenamide",0.7041,NA,NA,0.4386,0.3877,-0.4938,0.5101333333333333,2
"376348-65-1, Uk-427857, uk427857",0.7031,0.3864,0.3684,0.4122,0.4718,-0.4906,0.46838,0
Carfilzomib (PR-171),0.7022,NA,0.3709,0.5286,0.5592,-0.4923,0.540225,1
SPECTRUM_001418,0.69,0.3509,0.5063,0.7327,0.4037,-0.4863,0.53672,0
Ketorolac,0.6861,0.6028,NA,0.6596,0.51,-0.531,0.614625,1
Duloxetine,0.6857,0.4874,0.3907,0.4793,0.3921,-0.6687,0.48704,0
R-7128,0.6854,0.4849,0.5565,0.3224,0.4085,-0.4964,0.49154,0
Methazolamide,0.6739,0.4029,0.3777,NA,0.452,-0.6718,0.476625,1
PF-562271,0.6736,0.3948,0.5137,0.577,0.4635,-0.5128,0.52452,0
TG 100801,0.6731,0.3216,0.4994,0.4606,0.6794,-0.6032,0.5268200000000001,0
10-DEBC,0.6717,0.3791,NA,0.4983,0.5255,-0.6388,0.51864999999999994,1
MLN9708,0.669,0.3324,0.4053,0.5685,0.5454,-0.4831,0.50412,0
Rilpivirine,0.6659,0.3357,NA,0.4622,0.4747,-0.5129,0.48462500000000003,1
brefeldin-a,0.6651,0.5138,0.3222,0.3943,0.4149,-0.6669,0.46206,0
R547,0.6637,0.3594,0.3527,0.4284,0.4481,-0.4908,0.45045999999999997,0
Danusertib,0.6611,0.374,0.6191,0.4436,0.3376,-0.6092,0.48708,0
Ranolazine,0.661,0.4526,NA,0.6605,0.5058,-0.498,0.569975,1
SCHEMBL3958507,0.6582,0.4623,0.5082,0.6871,0.5173,-0.4808,0.56662,0
Navitoclax,0.6562,0.4965,0.3736,0.6853,0.4164,-0.5319,0.5256,0
OTSSP167,0.6558,0.469,NA,0.7293,0.3917,-0.605,0.56145,1
Rosuvastatin,0.653,0.5199,0.4843,0.54,0.3474,-0.5509,0.50892,0
VILAZODONE HYDROCHLORIDE,0.653,0.4666,0.3661,0.42,0.405,-0.6115,0.46214,0
Idelalisib,0.6515,0.538,0.4041,0.7448,0.4311,-0.5594,0.5539000000000001,0
metitepine,0.6502,0.4057,NA,0.7373,0.4499,-0.4888,0.560775,1
Skiii,0.6455,0.3627,0.4086,0.475,0.4155,-0.4812,0.46146,0
Dasatinib,0.6447,0.5034,0.6319,0.7753,0.5275,-0.4832,0.61656,0
FR-180204,0.643,0.5656,0.4478,0.6804,0.4052,-0.4885,0.5484,0
Lidoflazine,0.6408,NA,0.4227,0.4536,0.4645,-0.4798,0.4954,1
VU-0402605,0.6404,0.5275,NA,0.3848,0.5037,-0.5958,0.5141,1
Sirolimus,0.6397,0.4916,0.5713,0.6706,0.5189,-0.4747,0.57842,0
