compound,azt,nib,quine,vir,similarity,meansim,nas
BCPP000194,0.8125,0.3218,0.5858,0.49,-0.4281,0.5525249999999999,0
WZ3105,0.798,0.4329,0.6992,0.5818,-0.3258,0.6279750000000001,0
SCHEMBL14379041,0.7243,0.4625,0.7347,0.6869,-0.3225,0.6521,0
Tebipenem Pivoxil,0.7006,NA,0.4523,0.4089,-0.4148,0.5206,1
BRD-K84023371,0.6874,NA,0.6345,0.482,-0.5642,0.6013,1
AZD-8055,0.6842,0.4777,0.7235,0.6374,-0.3265,0.6307,0
Azacitidine,0.6741,0.5278,0.6831,0.6323,-0.3218,0.629325,0
Cyproheptadine,0.6688,0.4402,0.5527,0.4822,-0.4154,0.535975,0
"N-(3-Fluoro-4-((7-methoxyquinolin-4-yl)oxy)phenyl)-1-(2-hydroxy-2-methylpropyl)-5-methyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazole-4-carboxamide",0.662,0.3754,0.7367,0.5156,-0.4122,0.572425,0
Buparlisib,0.653,0.477,0.7625,0.4667,-0.3613,0.5898,0
PD-173074,0.6508,0.3636,0.6308,0.5452,-0.3222,0.5476,0
SCHEMBL3954849,0.6431,0.3716,0.7603,0.5478,-0.3308,0.5807,0
Ruxolitinib,0.6377,0.4987,0.7754,0.6037,-0.3384,0.628875,0
SB-203580,0.6376,NA,0.7273,0.5814,-0.3594,0.6487666666666666,1
7-Nitroindazole,0.6374,NA,0.6243,0.5408,-0.4287,0.6008333333333333,1
Penfluridol,0.6336,0.491,0.6159,0.6497,-0.3477,0.59755,0
paroxetine,0.6322,0.4746,0.6441,0.3644,-0.4093,0.528825,0
Linifanib,0.631,0.3802,0.7171,0.7072,-0.3596,0.608875,0
RG2833 (RGFP109),0.6291,NA,0.5969,0.5959,-0.3511,0.6073,1
SB525334,0.6155,0.4424,0.68,0.5828,-0.3276,0.580175,0
Fcodpguefhccia-Uhfffaoysa-N,0.6085,NA,0.6909,0.6865,-0.4446,0.6619666666666667,1
Momelotinib,0.6027,0.429,0.5935,0.5811,-0.3284,0.551575,0
SCHEMBL1564574,0.6023,0.4941,0.762,0.6094,-0.3228,0.61695,0
Oxaprozin,0.5987,0.4161,0.6694,NA,-0.4208,0.5614,1
GDC-0980 (RG7422),0.5927,0.7253,0.6422,0.4282,-0.3411,0.5971,0
GSK 525762A,0.5922,0.4968,0.6551,0.5899,-0.3841,0.5835,0
Imatinib,0.5915,0.3742,0.7886,0.6157,-0.3588,0.5925,0
Y-39983,0.5898,0.4224,0.6753,0.5619,-0.4129,0.56235,0
VX-745,0.5863,0.3404,0.6469,0.5556,-0.4182,0.5323,0
Cladribine,0.5848,0.4944,0.6306,0.6855,-0.3341,0.598825,0
Flutamide,0.5844,0.3685,0.7404,0.6733,-0.413,0.59165,0
Mycophenolate Mofetil,0.5828,0.3868,0.6171,0.5668,-0.3606,0.5383749999999999,0
Sirolimus,0.5828,0.5129,0.7565,0.7807,-0.3234,0.658225,0
Nimodipine,0.5827,0.3681,0.659,0.8194,-0.4127,0.6073,0
BAY 61-3606,0.5801,0.47,0.6831,0.5714,-0.3259,0.5761499999999999,0
Foretinib,0.5788,0.477,0.6313,0.6649,-0.3313,0.588,0
PLX-4720,0.5785,0.4861,0.7469,0.5734,-0.3511,0.596225,0
SPECTRUM_001579,0.5759,NA,0.7148,0.5495,-0.401,0.6134,1
MLS000709026,0.5744,0.4791,0.8068,0.5495,-0.3333,0.60245,0
BMS-345541,0.574,0.4635,0.6977,0.5209,-0.3229,0.564025,0
848193-68-0,0.574,0.4405,0.6198,0.7571,-0.4111,0.59785,0
CHEMBL1673039,0.571,0.5813,0.6429,0.5291,-0.3254,0.581075,0
PF477736,0.5671,0.524,0.63,0.694,-0.3389,0.603775,0
PF-04691502,0.5669,0.3903,NA,NA,-0.4727,0.47859999999999997,2
Rebastinib,0.5634,0.5353,0.7235,0.6004,-0.3248,0.60565,0
Rebastinib,0.5634,0.5353,0.7235,0.6004,-0.3248,0.60565,0
TIE2 Kinase Inhibitor,0.5599,0.4186,0.4621,0.4924,-0.4461,0.48325,0
CHEMBL3182128,0.5579,0.4543,NA,0.3877,-0.3567,0.4666333333333333,1
SPECTRUM_000403,0.5556,0.3432,0.5582,0.4538,-0.3939,0.4777,0
LRRK2-IN-1,0.5552,0.5512,0.7471,0.7252,-0.3665,0.644675,0
PA-824,0.5548,0.4125,0.5464,0.3596,-0.4583,0.468325,0
Bupropion,0.5539,NA,0.6499,0.529,-0.4197,0.5776,1
ZIDOVUDINE [AZT],0.5531,NA,0.5586,0.3551,-0.5074,0.48893333333333333,1
