threshold,fda_status,compound,num
1,fda,Withaferin A,5
1,non_fda,"4,11-Diethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione",5
1,non_fda,AZD-8330,5
1,non_fda,BX 912,5
0.26,non_fda,PD-0325901,4
0.5,fda,Radicicol,4
0.5,fda,Selumetinib,4
0.5,fda,Wortmannin,4
0.5,non_fda,CI-1040,4
0.5,non_fda,GSK-3 Inhibitor IX,4
0.5,non_fda,PD-0325901,4
0.85,fda,Alaproclate,4
0.85,fda,Amuvatinib,4
0.85,fda,Bosutinib,4
0.85,fda,Camptothecin,4
0.85,fda,Canertinib,4
0.85,fda,"Cyclohexanecarboxamide, 4-(1-aminoethyl)-n-4-pyridinyl-, trans-",4
0.85,fda,Dabrafenib,4
0.85,fda,Decitabine,4
0.85,fda,Erlotinib,4
0.85,fda,Gefitinib,4
0.85,fda,Gemcitabine,4
0.85,fda,Genistein,4
0.85,fda,Glyburide,4
0.85,fda,L-Sulforaphane,4
0.85,fda,Lapatinib,4
0.85,fda,Methotrexate,4
0.85,fda,Mitoxantrone,4
0.85,fda,Motesanib,4
0.85,fda,Neratinib,4
0.85,fda,Parthenolide,4
0.85,fda,Pazopanib,4
0.85,fda,Pelitinib,4
0.85,fda,Promazine,4
0.85,fda,pyrvinium-pamoate,4
0.85,fda,Radicicol,4
0.85,fda,Rebastinib,4
0.85,fda,Rigosertib,4
0.85,fda,Selumetinib,4
0.85,fda,Sildenafil,4
0.85,fda,Spiramide,4
0.85,fda,Thioridazine,4
0.85,fda,Tranylcypromine,4
0.85,fda,Troglitazone,4
0.85,fda,Withaferin A,4
0.85,non_fda,"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",4
0.85,non_fda,179324-69-7,4
0.85,non_fda,331771-20-1,4
0.85,non_fda,"4,11-Diethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione",4
0.85,non_fda,852475-26-4,4
0.85,non_fda,869288-64-2,4
0.85,non_fda,A-443654,4
0.85,non_fda,AC1Q6JJ5,4
0.85,non_fda,AGK 2,4
0.85,non_fda,AZ20,4
0.85,non_fda,AZ628,4
0.85,non_fda,AZD-5438,4
0.85,non_fda,AZD-8055,4
0.85,non_fda,AZD-8330,4
0.85,non_fda,BAY 61-3606,4
0.85,non_fda,BIIB 021,4
0.85,non_fda,BMS-509744,4
0.85,non_fda,BRD-A01645196,4
0.85,non_fda,BRD-A25736793,4
0.85,non_fda,BRN 1087718,4
0.85,non_fda,BX 912,4
0.85,non_fda,CHEMBL3182395,4
0.85,non_fda,CHEMBL3183436,4
0.85,non_fda,CHIR-99021,4
0.85,non_fda,CI-1040,4
0.85,non_fda,CP-724714,4
0.85,non_fda,E319,4
0.85,non_fda,GSK-461364,4
0.85,non_fda,GSK429286A,4
0.85,non_fda,GW-5074,4
0.85,non_fda,HMN-214,4
0.85,non_fda,"Ingenol 3,20-dibenzoate",4
0.85,non_fda,JW 55,4
0.85,non_fda,KU-55933,4
0.85,non_fda,LDN 193189,4
0.85,non_fda,"MEK162 (ARRY-162, ARRY-438162)",4
0.85,non_fda,MG-132,4
0.85,non_fda,NCGC00346967-01,4
0.85,non_fda,NU-7441,4
0.85,non_fda,PD-0325901,4
0.85,non_fda,PLX-4720,4
0.85,non_fda,SCHEMBL16980377,4
0.85,non_fda,SCHEMBL17378613,4
0.85,non_fda,SCHEMBL17497583,4
0.85,non_fda,SCHEMBL3954849,4
0.85,non_fda,SCHEMBL618594,4
0.85,non_fda,SGI-1776,4
0.85,non_fda,ST021200,4
0.85,non_fda,TPCA-1,4
0.85,non_fda,Tyrphostin AG-1478,4
0.85,non_fda,U0126,4
0.85,non_fda,UNC0638,4
0.85,non_fda,VRT752271,4
0.85,non_fda,WZ 4002,4
