compound,nib,quine,vir,similarity,meansim,nas
Vorinostat,0.7059,0.7269,0.5397,-0.3584,0.6575,0
PCI-34051,0.7041,0.4972,0.3951,-0.3437,0.5321333333333333,0
Canertinib,0.6699,0.6538,0.4174,-0.3755,0.5803666666666667,0
Wortmannin,0.6143,0.6268,0.5301,-0.3228,0.5904,0
"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",0.6067,0.7712,0.5321,-0.3213,0.6366666666666667,0
Quinacrine,0.5539,0.6349,0.4839,-0.323,0.5575666666666667,0
Thioridazine,0.5439,0.56,0.4063,-0.3437,0.5034000000000001,0
Amitriptyline,0.5344,0.5326,0.3485,-0.3711,0.4718333333333333,0
Ricolinostat,0.5337,0.577,0.4173,-0.4198,0.5093333333333333,0
Dilazep,0.5233,0.5734,0.3285,-0.341,0.4750666666666667,0
Radicicol,0.497,0.687,0.6343,-0.3261,0.6061,0
"4,11-Diethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione",0.4956,0.4369,0.5877,-0.3269,0.5067333333333334,0
ETHYLENEDIAMINE TETRACETATE TETRA-ETHANOLAMINE,0.4935,0.4242,NA,-0.3267,0.45885,1
869288-64-2,0.4909,0.6026,0.5016,-0.35,0.5317000000000001,0
ZSTK 474,0.4891,0.537,0.4601,-0.3333,0.4954,0
Dasatinib,0.4828,0.7183,0.5738,-0.3795,0.5916333333333333,0
amcinonide,0.48,0.6636,0.5153,-0.3532,0.5529666666666666,0
SCHEMBL1564574,0.4679,0.5975,0.3979,-0.3543,0.4877666666666667,0
PG 490,0.4674,0.569,0.444,-0.3306,0.49346666666666666,0
Vandetanib,0.4661,0.5293,0.3358,-0.3331,0.4437333333333333,0
XL-147,0.4427,0.4064,NA,-0.3488,0.42455,1
KW-2449,0.4418,0.6249,0.4177,-0.3648,0.4948,0
Foretinib,0.441,0.7068,0.4435,-0.3319,0.5304333333333333,0
Lonafarnib,0.4375,0.4704,0.3551,-0.3411,0.421,0
Lapatinib,0.4362,0.7105,0.4712,-0.323,0.5393,0
HLI-373,0.4344,0.47,0.3955,-0.3312,0.4333,0
Nortriptyline,0.4334,0.5587,0.5773,-0.3213,0.5231333333333333,0
BRD-A24396574-001-01-5,0.4288,0.4899,0.5978,-0.4825,0.5055000000000001,0
Cabozantinib,0.4249,0.5128,0.4919,-0.3231,0.47653333333333336,0
Promazine,0.419,0.4774,NA,-0.3754,0.4482,1
MLS000089581,0.4159,0.3496,NA,-0.352,0.38275000000000003,1
PF 3845,0.4135,0.4299,NA,-0.3306,0.42169999999999996,1
BRD-U86222656,0.4114,0.4138,NA,-0.3457,0.41259999999999997,1
BRD32048,0.4027,0.6475,0.3619,-0.3379,0.4707,0
"ICI-199,441",0.4001,0.3577,NA,-0.326,0.3789,1
Stavudine,0.3853,0.325,0.4586,-0.3229,0.38963333333333333,0
CHEMBL2361177,0.3828,0.3554,NA,-0.3312,0.3691,1
Linifanib,0.3825,0.5687,0.4339,-0.3517,0.4617,0
Amuvatinib,0.3714,0.6907,0.5714,-0.324,0.5445,0
AZD-1775,0.3708,0.6453,0.5191,-0.354,0.5117333333333334,0
TAK-285,0.368,0.5153,0.3919,-0.3356,0.42506666666666665,0
GAP-134 (Hydrochloride),0.3588,0.6005,NA,-0.3285,0.47965,1
CT-200783,0.3583,0.4594,NA,-0.3893,0.40885,1
Isorotenone,0.3568,0.4225,0.3412,-0.3307,0.3735,0
Parthenolide,0.3533,0.4472,0.5308,-0.3252,0.4437666666666667,0
Falnidamol,0.3422,0.6209,NA,-0.3284,0.48155000000000003,1
MLS002474519,0.3418,0.3963,NA,-0.3256,0.36905,1
FK888,0.3385,0.7753,0.3946,-0.3504,0.5028,0
"9-Fluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione",0.3381,0.5498,NA,-0.3485,0.44394999999999996,1
SCHEMBL15556278,0.3372,0.5429,0.4661,-0.3261,0.4487333333333334,0
LGX818,0.3316,0.4007,NA,-0.3383,0.36615,1
Ibrutinib (PCI-32765),0.3312,0.4272,0.4949,-0.3307,0.4177666666666667,0
CHEMBL3347630,0.62,0.5728,0.3997,-0.321,0.5308333333333333,0
GSK-461364,0.5978,0.7089,0.4833,-0.3244,0.5966666666666667,0
Mitoxantrone,0.5936,0.7382,0.4291,-0.3323,0.5869666666666666,0
BIO2_000413,0.5864,0.3638,NA,-0.3258,0.4751,1
TPCA-1,0.5813,0.5115,0.5295,-0.3432,0.5407666666666666,0
Alvocidib,0.5787,0.6617,0.4701,-0.3217,0.5701666666666667,0
Selumetinib,0.5775,0.7421,0.5164,-0.3322,0.612,0
LDN 193189,0.5589,0.6086,0.4596,-0.3289,0.5423666666666667,0
A-443654,0.5519,0.5608,0.3923,-0.3231,0.5016666666666666,0
CGP 60474,0.5505,0.5276,0.4396,-0.3228,0.5059,0
Erlotinib,0.5412,0.568,0.3895,-0.3484,0.49956666666666666,0
AMSACRINE,0.5386,0.4756,0.3558,-0.3228,0.45666666666666667,0
Sirolimus,0.5375,0.8209,0.5091,-0.3317,0.6224999999999999,0
Withaferin A,0.5352,0.708,0.4775,-0.3319,0.5735666666666667,0
Piplartine,0.534,0.4965,0.3387,-0.3277,0.45640000000000003,0
Indomethacin,0.5315,0.5196,0.351,-0.3307,0.46736666666666665,0
Avicin-G,0.5221,0.5504,0.5621,-0.3672,0.5448666666666667,0
Quizartinib,0.5152,0.7311,0.5534,-0.3296,0.5999,0
Aminopurvalanol,0.5132,0.5451,0.428,-0.3407,0.49543333333333334,0
848193-68-0,0.5098,0.6684,0.4773,-0.3472,0.5518333333333334,0
Trametinib,0.5075,0.5741,0.5263,-0.3235,0.5359666666666667,0
AS-605240,0.5063,0.7909,0.3937,-0.3338,0.5636333333333333,0
GSK-3 Inhibitor II,0.5043,0.6096,0.4546,-0.3424,0.5228333333333334,0
IN1451,0.5023,0.3721,NA,-0.3332,0.4372,1
Vemurafenib,0.5019,0.6299,0.4516,-0.3581,0.5278,0
STK249718,0.4984,NA,0.3343,-0.3361,0.41635,1
Daunorubicin,0.4976,0.364,0.3313,-0.3385,0.39763333333333334,0
PD-0325901,0.4939,0.688,0.5085,-0.4324,0.5634666666666667,0
Gefitinib,0.491,0.7086,0.4889,-0.3795,0.5628333333333333,0
Enzastaurin,0.49,0.5987,0.5217,-0.424,0.5368,0
XAV 939,0.4891,0.542,0.3707,-0.3548,0.46726666666666666,0
