compound,azt,los,nib,quine,vir,similarity,meansim,nas
Azithromycin,1,NA,0.425,0.4221,0.5955,-0.3823,0.61065,1
"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",0.7076,0.4849,0.4968,0.6762,0.6942,-0.3213,0.61194,0
Canertinib,0.7054,NA,0.5015,0.4805,0.4562,-0.3755,0.5359,1
AS-605240,0.686,0.3614,0.4257,0.421,0.6413,-0.3338,0.50708,0
Radicicol,0.6787,0.3477,0.4194,0.4836,0.6953,-0.3261,0.52494,0
Y-39983,0.658,NA,0.4436,0.5133,0.4105,-0.4017,0.50635,1
Sirolimus,0.6207,0.4601,0.4222,0.5314,0.5922,-0.3317,0.52532,0
Simvastatin,0.6203,NA,0.4699,0.4767,0.4562,-0.3343,0.505775,1
869288-64-2,0.5987,0.52,0.378,0.5039,NA,-0.35,0.50015,1
GSK-461364,0.5842,0.396,0.3898,0.3789,0.4422,-0.3244,0.43822,0
CI-1040,0.5766,0.3859,0.4233,0.5202,0.502,-0.323,0.48160000000000003,0
Phentolamine,0.5578,0.389,NA,NA,NA,-0.4844,0.4734,3
Phenytoin,0.5533,NA,NA,0.3365,0.3749,-0.4222,0.4215666666666667,2
Pinacidil,0.5522,NA,0.322,0.3907,0.3573,-0.4666,0.40555,1
TL_HRAS26,0.5419,0.3691,0.4571,0.7781,0.553,-0.3448,0.53984,0
SCHEMBL1564574,0.526,0.3453,0.3836,0.6722,0.499,-0.3543,0.48522,0
Withaferin A,0.5194,0.3552,0.4739,0.7403,0.6025,-0.3319,0.53826,0
Selumetinib,0.514,0.4407,0.5145,0.5513,0.5068,-0.3322,0.50546,0
Erlotinib,0.5005,NA,0.5429,0.4186,0.3962,-0.3484,0.46455,1
Decitabine,0.4991,0.3616,0.5032,0.4957,0.3988,-0.376,0.45167999999999997,0
Linifanib,0.4984,0.4421,0.4371,0.5251,0.4174,-0.3517,0.46402,0
AS601245,0.4926,NA,0.475,0.4313,0.4738,-0.3349,0.468175,1
Foretinib,0.485,NA,0.4305,0.7438,0.6077,-0.3319,0.56675,1
BRD-A24396574-001-01-5,0.4779,0.4806,0.4167,0.625,0.47,-0.4825,0.49404,0
Parthenolide,0.4774,0.4543,0.388,0.556,0.6559,-0.3252,0.50632,0
UNC 669,0.474,0.3581,0.4703,0.3387,0.3504,-0.321,0.3983,0
Sorafenib,0.4688,NA,0.4528,0.4724,0.502,-0.3516,0.474,1
Vemurafenib,0.4607,0.3833,0.455,0.4979,0.6274,-0.3581,0.48486,0
LDN 193189,0.4541,0.4455,0.4823,0.4763,0.4727,-0.3289,0.46618,0
Lapatinib,0.4495,0.3947,0.517,0.7758,0.6042,-0.323,0.5482400000000001,0
Quinacrine,0.4401,0.3302,0.4161,0.6965,0.3418,-0.323,0.44494,0
XAV 939,0.4388,NA,0.379,0.5488,0.4969,-0.3548,0.465875,1
Trametinib,0.4373,0.353,0.3336,0.5187,0.4376,-0.3235,0.41604,0
CHEMBL2355513,0.4364,NA,NA,0.3842,0.3253,-0.3331,0.3819666666666667,2
Enzastaurin,0.4329,0.3565,0.4694,0.492,0.4952,-0.424,0.4492,0
BRD-K62242359,0.4322,NA,NA,NA,0.3659,-0.4061,0.39905,3
SA-1921617,0.4295,NA,NA,NA,0.5343,-0.3218,0.4819,3
CHEMBL585951,0.4293,NA,0.3665,0.5263,NA,-0.3624,0.4407,2
BX-795,0.4284,0.4187,0.5041,0.555,0.6194,-0.3296,0.50512,0
Benzbromarone,0.4183,NA,0.3274,0.3585,0.388,-0.3272,0.37305,1
