compound,a5491,a5492,ha1e2,ht29,mcf72,pc3,vcap1,vcap2
Lonidamine,0.503875,0.419675,0.50292,0.6044333333333334,0.4596,0.536575,0.604025,0.43252
Manumycin-A,0.546925,0.478975,0.63896,0.49985,0.5631333333333334,0.547725,0.54628,0.46942
EX527,0.5051,0.35983333333333334,0.40716,0.50415,0.4451,0.4705,0.4497,0.47296666666666665
Rimcazole,0.609125,0.3927333333333333,0.4639333333333333,0.5723499999999999,0.39476666666666665,0.7061999999999999,0.49014,0.46973333333333334
848193-68-0,0.57684,0.444,0.55645,0.5894666666666667,0.5518333333333334,0.59785,0.49924,0.525825
Sirolimus,0.63744,0.52532,0.57842,0.684825,0.6224999999999999,0.658225,0.63302,0.52396
Aurora A Inhibitor I,0.55052,0.4934,0.53458,0.5354,0.47736666666666666,0.568525,0.59882,0.484575
MK-2206,0.60474000000000006,0.46884,0.5725,0.5843,0.6153333333333334,0.69535,0.6006400000000001,0.566325
Secnidazole,0.56185,0.39945,0.44758,0.44065,0.42515000000000003,0.7081,0.49373333333333336,0.4853
ZINC77024257,0.55358,0.5110600000000001,0.4682,0.578275,0.5059666666666667,0.53135,0.63006,0.50335
Rilmenidine,0.4928666666666667,0.41974,0.5611999999999999,0.4832666666666667,0.4292333333333333,0.5586666666666666,0.4859,0.455
Metoclopramide,0.5068333333333334,0.348,0.403675,0.438,0.44795,0.4284,0.4917,0.49034999999999995
Tipifarnib,0.5678,0.49062,0.49356,0.614775,0.48264999999999997,0.562775,0.53982,0.45752499999999996
10-DEBC,0.602,0.53215,0.51864999999999994,0.561975,0.5222666666666667,0.5453749999999999,0.51862,0.44384
AKT Inhibitor VIII,0.6408,0.46368,0.50918,0.62925,0.5113666666666666,0.63455,0.62578,0.6044499999999999
Cyclosporin A,0.52982,0.49224999999999997,0.48207500000000003,0.5241,0.40215,0.4925,0.599575,0.5052333333333333
Birinapant,0.5362,0.354,0.47796,0.446725,0.41383333333333333,0.508075,0.48322499999999996,0.49333333333333335
Cromakalim,0.53445,0.444675,0.4444666666666667,0.581575,0.5477666666666667,0.5602,0.5568333333333333,0.4094
Tivozanib,0.51868,0.4767,0.4843,0.54535,0.5007333333333334,0.5858,0.58454,0.48125
AC1NSZCT,0.46024,0.3626666666666667,0.467275,0.4719666666666667,0.3978666666666667,0.52835,0.55034,0.38645
Salermide,0.60796,0.403725,0.52208,0.499675,0.4340333333333333,0.577725,0.6097400000000001,0.5107
Gliclazide,0.5708,0.4273,0.50005,0.5353,0.36375,0.46496666666666664,0.6241666666666666,0.5524
Rosuvastatin,0.53342,0.457375,0.50892,0.44275,0.4950333333333334,0.59195,0.5996,0.4383
OSI-930,0.556925,0.37586,0.53598,0.5351,0.39653333333333335,0.5287333333333334,0.51986,0.460975
MLN-8054,0.51634,0.53264,0.58992,0.538775,0.4956333333333333,0.63315,0.54816,0.50992
LE-135,0.55658,0.448025,0.52276,0.47862499999999997,0.48536666666666667,0.50635,0.57074,0.45186666666666664
AMSACRINE,0.5764666666666667,0.50465,0.4641,0.47009999999999996,0.45666666666666667,0.5099333333333333,0.4629,0.40025
