compound,mcf7,ha1e
SCHEMBL3954849,0.573675,0.46565
Radicicol,0.5036,0.40976666666666667
PHA-665752,0.4618,0.395825
Vemurafenib,0.5047333333333333,0.4402666666666667
CHEMBL1083527,0.5095333333333333,0.5089666666666667
Tozasertib,0.46992,0.451525
Dexniguldipine,0.53315,0.5650999999999999
"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",0.54776,0.45354
Mibefradil,0.46015,0.5019333333333333
Tetrahydrouridine,0.47204999999999997,0.4605
Tacedinaline,0.44189999999999996,0.43977499999999997
Tosedostat,0.44243333333333335,0.33394999999999997
Foretinib,0.444175,0.5340333333333334
Tivozanib,0.4176666666666667,0.5066
SCHEMBL6874948,0.46680000000000005,0.3620333333333333
CP466722,0.49883333333333335,0.39175
Sertraline,0.42285,0.47355
TAK-715,0.4325,0.45089999999999997
Broad-Sai-296,0.388425,0.386
936890-98-1,0.41635,0.5036499999999999
SB-216763,0.39590000000000003,0.5617333333333333
Mepivacaine,0.42010000000000003,0.46455
BX 912,0.40445,0.4543
CHEMBL3183436,0.420125,0.42910000000000004
MG-132,0.46182,0.5441499999999999
galantamine,0.46090000000000003,0.47065
179324-69-7,0.51582,0.4971333333333333
Ethacrynic acid,0.425875,0.49715
GSK-1070916,0.44551999999999997,0.5388
Genistein,0.3612,0.4866666666666667
ABT-199 (GDC-0199),0.445575,0.44984999999999997
Entinostat,0.43162,0.45445
BRD-K01621458,0.3822,0.459375
AT-9283,0.50525,0.437875
Pazopanib,0.34286666666666665,0.5413666666666667
Belinostat,0.405325,0.4148
Trametinib,0.5502,0.4292
Seliciclib,0.49803333333333333,0.5112
Wortmannin,0.59046,0.48267499999999997
CHEMBL2333346,0.44705,0.4431333333333333
Perhexiline,0.468725,0.38927999999999996
Broad-Sai-045,0.46875,0.56065
Dasatinib,0.49896666666666667,0.5193666666666666
Vorinostat,0.56702,0.471075
Indirubin-3'monoxime,0.45355,0.45905
Alvocidib,0.47764,0.42843333333333333
SPECTRUM_001645,0.41076666666666667,0.3514
Sirolimus,0.45711999999999997,0.5404249999999999
MGCD-265,0.4518,0.48435
Colforsin,0.4327,0.45403333333333334
CHEMBL2136735,0.466425,0.4444
KU-55933,0.4074,0.4527333333333333
Crizotinib,0.458125,0.44904999999999995
Selumetinib,0.45405,0.4969
Azacitidine,0.47986666666666666,0.5260666666666667
GSK 1059615,0.46083999999999997,0.5535
CX-5461,0.44275,0.4537333333333333
Olmesartan Medoxomil,0.42100000000000004,0.33245
"Trichostatin A, Streptomyces Sp.",0.55284,0.48
Bosutinib,0.45065,0.42212500000000003
PHA-767491,0.39936666666666665,0.58985
Amiloride,0.38895,0.5673
PF-04217903,0.428775,0.56115
Tyrphostin AG-1478,0.35975,0.4615
Broad-Sai-443,0.34865,0.45965
QL47,0.42745,0.4437
"HDACi1,2+3_mix",0.3718,0.4498
Doramapimod,0.39803333333333335,0.462725
Tacalcitol,0.3349,0.6073500000000001
Osimertinib,0.48460000000000003,0.420925
Tivantinib,0.4667,0.47559999999999997
Paroxetine,0.39565,0.3328333333333333
BX-795,0.45765,0.45476666666666665
Ipatasertib,0.454725,0.4665
Nafronyl,0.383,0.43726666666666664
GW843682X,0.5126000000000001,0.44706666666666667
TPCA-1,0.4985,0.4537
Manumycin-A,0.491,0.535375
BG-51,0.4394,0.48505
Gefitinib,0.38466666666666666,0.5702333333333334
Panobinostat,0.52765,0.38906
Apatinib Hydrochloride,0.45775,0.4619
GW-5074,0.36715,0.44003333333333333
fluocinolone-acetonide,0.38844999999999996,0.5551
GW620972X,0.46954999999999997,0.5871500000000001
GW620972X,0.46954999999999997,0.5871500000000001
HMN-214,0.4936666666666667,0.4839333333333333
Lexibulin,0.5199,0.407675
altrenogest,0.52115,0.3822
Carfilzomib (PR-171),0.4950333333333333,0.5409666666666667
SB225002,0.5375,0.45449999999999996
Rigosertib,0.43523333333333336,0.5061
GSK-461364,0.499,0.439675
Colchicine,0.4241,0.4675666666666667
SCHEMBL16980224,0.5232,0.4550333333333333
Podofilox,0.4465,0.4557
Dolastatin 10,0.52665,0.3809
C21H27N7O3,0.47,0.508
Tubastatin A,0.43363333333333337,0.42993333333333333
Triclosan,0.4117,0.4438333333333333
IMD-0354,0.45535,0.420375
KX2-391,0.3746,0.48283333333333334
