compound,los,nib,quine,vir,similarity,meansim,nas
114798-26-4,1,0.3443,0.4565,0.3902,-0.516,0.54775,0
AS-605240,0.8877,0.3992,0.5034,0.447,-0.3467,0.559325,0
Phorbol Myristate Acetate,0.8535,0.3868,NA,0.42,-0.3335,0.5534333333333333,1
SDZ-201106,0.853,0.3391,NA,0.3893,-0.4497,0.5271333333333333,1
5-(6-Aminopurin-9-yl)-2-methyltetrahydrofuran-3-ol,0.8293,0.3345,0.518,0.4235,-0.328,0.526325,0
Zileuton,0.8246,0.4333,0.4045,0.4344,-0.3217,0.5242,0
Tipifarnib,0.8244,0.5761,0.5124,0.5462,-0.4196,0.614775,0
BAY 87-2243,0.8202,0.4411,0.3675,0.4329,-0.3423,0.515425,0
STOCK1N-09285,0.81,NA,0.5019,0.4327,-0.5436,0.5815333333333333,1
Nicardipine,0.808,NA,0.5317,0.3607,-0.3579,0.5668,1
Isradipine,0.7872,NA,0.4094,0.3607,-0.4117,0.5191,1
BRD-A25736793,0.7829,0.3535,0.5517,0.4878,-0.3344,0.543975,0
SB590885,0.7785,0.4505,0.4758,0.435,-0.3523,0.53495,0
Sirolimus,0.7773,0.7163,0.6614,0.5843,-0.3234,0.684825,0
Ubenimex,0.7727,0.413,0.5437,NA,-0.5022,0.5764666666666667,1
Telatinib,0.772,NA,NA,0.3384,-0.4469,0.5552,2
Andarine,0.7718,0.3386,0.3872,0.3768,-0.4311,0.4686,0
Trimethoprim,0.7701,0.5867,0.3971,0.3688,-0.4866,0.530675,0
Zafirlukast,0.7693,NA,0.4208,0.3752,-0.4371,0.5217666666666667,1
MGCD-265,0.7666,0.4258,0.4556,0.423,-0.3684,0.5177499999999999,0
AZD-5438,0.7546,NA,0.5941,0.3299,-0.324,0.5595333333333333,1
Vardenafil,0.7504,0.375,0.4733,0.3702,-0.4952,0.49222499999999997,0
Avicin-D,0.7491,NA,0.4976,0.4648,-0.3245,0.5705,1
Nemonapride,0.7478,NA,0.4412,0.4518,-0.4227,0.5469333333333333,1
clobetasol,0.7469,NA,NA,0.3384,-0.4759,0.54265,2
BRD-K24748809,0.7455,NA,0.5697,NA,-0.4534,0.6576,2
Lisinopril,0.7313,NA,0.5417,0.3662,-0.4287,0.5464,1
LY 2183240,0.729,0.3692,0.4907,0.3958,-0.4232,0.496175,0
Nepafenac,0.728,NA,0.4421,0.4808,-0.5324,0.5503,1
Novobiocin,0.7247,NA,0.5084,0.4134,-0.4152,0.5488333333333333,1
Y-39983,0.7242,NA,0.416,0.5265,-0.4129,0.5555666666666667,1
YM 976,0.7208,NA,0.6833,0.3986,-0.5285,0.6009,1
OSI-930,0.7163,NA,0.4728,0.4162,-0.4124,0.5351,1
Seliciclib,0.7149,0.3722,0.4404,0.5219,-0.3211,0.51235,0
Prazosin,0.7135,NA,0.4747,0.4364,-0.4136,0.5415333333333333,1
Iguratimod,0.7129,NA,0.3621,0.3716,-0.3216,0.48219999999999996,1
Ixabepilone,0.7123,0.3577,0.3821,0.5035,-0.3909,0.4889,0
Nimesulide,0.7047,NA,0.5409,0.3964,-0.4477,0.5473333333333333,1
Busulfan,0.7045,0.3316,0.5194,0.5524,-0.5518,0.526975,0
PSI-7977,0.7032,NA,NA,0.3371,-0.4551,0.52015,2
