compound,similarity,fda_status,threshold,disease,file
CHEMBL1716096,-0.4499,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
XMD-1499,-0.4448,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMDIV3_005068,-0.3911,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL1887751,-0.3881,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
PCL2_000154,-0.3872,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
MAYBRIDGE4_003028,-0.3861,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Naproxol,-0.3787,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
WZ-4-145,-0.3719,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Pitavastatin Calcium,-0.37,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL277800,-0.3639,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
PFI-1,-0.3627,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
TENOVIN-1,-0.3592,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Hycanthone,-0.3586,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
I-BET151,-0.3573,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Doxorubicin,-0.3568,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Cytarabine,-0.3547,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
ITK Inhibitor,-0.3505,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
SCHEMBL16226502,-0.3504,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Mifepristone,-0.3464,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Thiothixene,-0.3435,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Aminopurvalanol,-0.3429,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
AC1MJ3VH,-0.3426,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Brefeldin A,-0.3421,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
GR-55562,-0.3421,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
TAS-103 (dihydrochloride),-0.3408,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
PD-0325901,-0.3397,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
PHA-793887,-0.3391,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
1268524-70-4,-0.3358,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
"O-(OCTAHYDRO-1H-4,7-METHANOINDEN-5-YL) HYDROGEN CARBONODITHIOATE",-0.3352,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
