compound,avg,sdev,slog10,slog2
"(1Ar,7as,10as,10br)-1a,5-Dimethyl-8-methylidene-2,3,6,7,7a,8,10a,10b-octahydrooxireno[9,10]cyclodeca[1,2-b]furan-9(1ah)-one",0.47815416666666666,0.03812036301231241,1.4188429723177225,4.713294331975734
(3-Isopropoxyphenyl)(1-((5-methyl-1-propyl-1H-pyrazol-4-yl)methyl)piperidin-3-yl)methanone,0.455278125,0.0615820495609313,1.2105458610939064,4.0213463061174615
(R)-(-)-Jq1 enantiomer,0.45915395833333333,0.037146575136812285,1.4300812214121454,4.750626987379841
(S)-(-)-BAY K 8644,0.4886260416666667,0.09193673392281695,1.036510928739864,3.4432147748387467
(Z) Fluvoxamine,0.5166354166666667,0.07531315332193739,1.1231291683374804,3.730954338487754
1-(5-Isoquinolinesulfonyl)piperazine,0.48005,0.05024202218910774,1.2989328890181375,4.314961657402559
10-{3-[4-(2-Chloroethyl)piperazin-1-yl]propyl}-2-(trifluoromethyl)-10H-phenothiazine,0.43467333333333336,0.05472705355918444,1.2617979331371139,4.191602004158984
10-DEBC,0.5306095833333333,0.04501764409606879,1.3466172366311255,4.473365631424519
114798-26-4,0.4983164583333334,0.059854271906243976,1.2229048477788638,4.062401971210561
1166227-08-2,0.5170060416666666,0.10126119776580894,0.9945569398762474,3.3038466405401077
1228746-78-8,0.475090625,0.07399310529837512,1.1308087460848628,3.7564653435636552
1268524-70-4,0.5086760416666667,0.04888918846899329,1.310787171702482,4.35434073209642
127408-30-4,0.485421875,0.04874232030220208,1.312093800747161,4.358681259829535
"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",0.6214239583333334,0.03630293877143365,1.4400582168218203,4.783769848733802
"13-Methyl-7-[9-(4,4,5,5,5-pentafluoropentylsulfinyl)nonyl]-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol",0.48654270833333335,0.06074244116497588,1.2165077582989787,4.041151299941822
1446-61-3,0.47093958333333336,0.04919740458657913,1.30805780787204,4.345273981706905
15D-PGJ2,0.4367158333333333,0.04041364946028027,1.3934719298370521,4.629013553162615
"16,16-Dimethyl prostaglandin e2",0.517195625,0.06782840070364252,1.1685884228549446,3.8819667132419537
16Beta-bromoandrosterone,0.46582104166666666,0.06451721043882432,1.1903244186732815,3.9541721284212414
179324-69-7,0.5269297916666666,0.06390834788131086,1.1944424094159931,3.967851797563941
"2-(4-(4-Chloro-1,2-diphenylbut-1-en-1-yl)phenoxy)-n,n-dimethylethanamine",0.50102125,0.0698964241639921,1.1555450417875073,3.8386375392217116
2-(Ethylmercuriothio)benzoic acid,0.4597291666666667,0.03623820918260041,1.4408332724006225,4.786344527636125
"2-[(Dimethylamino)methyl]-2,3-dihydro-1H-inden-1-one",0.47898,0.1489042095730387,0.8270930244204243,2.747543554907567
"2,3',4,5'-Tetramethoxystilbene",0.441180625,0.03237818592447577,1.4897474874251415,4.948834032765435
3-(4-Pyridyl)indole,0.5266466666666667,0.0758844870327409,1.1198469972885747,3.720051202268168
3-Aminobenzamide,0.5090547916666667,0.057630743500140344,1.2393457775047907,4.1170175575731855
3-Chloro-l-alanine,0.5138429166666667,0.05666517161718265,1.2466837915820903,4.1413939126972465
"3,5-Bis(4-methylbenzylidene)piperidin-4-one",0.5240787499999999,0.07797226002834964,1.108059877558004,3.680895238077384
"3,7-Bis(dimethylamino)phenothiazin-5-ium",0.5056983333333334,0.052076703021783625,1.2833565187711031,4.263218075462568
301836-43-1,0.5030283333333333,0.030095012045187823,1.5215054785177073,5.054331795613012
32703-82-5,0.5058477083333334,0.11723446509242046,0.9309446937866789,3.092531333076281
331771-20-1,0.5117097916666666,0.04798585426843032,1.318886769261526,4.3812470127850895
"376348-65-1, Uk-427857, uk427857",0.48168500000000003,0.0395732163311709,1.4025986508177792,4.65933186400269
"4-(3-Ethyl[1,2,4]triazolo[3,4-b][1,3,4]thiadiazol-6-yl)aniline",0.45744666666666667,0.044396976445027395,1.3526466055149435,4.493394761314113
4-Deoxyuridine,0.5014310416666666,0.0789103873799789,1.1028658246121485,3.6636409676702146
4-Hydroxytamoxifen,0.47829374999999996,0.04272662633785032,1.3693013973933807,4.548720782369596
