compound,azt,los,nib,quine,vir,similarity,meansim,nas
Azithromycin,1,NA,0.425,0.4221,0.5955,-0.6301,0.61065,1
NVP-AUY922,0.7139,0.3292,0.3942,0.4443,0.6601,-0.4738,0.50834,0
PF431396,0.7103,0.3411,0.5512,0.5733,0.4702,-0.4879,0.52922,0
"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",0.7076,0.4849,0.4968,0.6762,0.6942,-0.4739,0.61194,0
Canertinib,0.7054,NA,0.5015,0.4805,0.4562,-0.5688,0.5359,1
HG-5-88-01,0.6949,NA,NA,0.3852,NA,-0.6585,0.5400499999999999,3
AS-605240,0.686,0.3614,0.4257,0.421,0.6413,-0.5621,0.50708,0
L-Sulforaphane,0.6792,0.4709,0.4251,0.6277,0.4783,-0.4897,0.53624,0
Radicicol,0.6787,0.3477,0.4194,0.4836,0.6953,-0.4765,0.52494,0
CHEMBL2136735,0.6751,0.3233,0.4225,0.4888,0.5666,-0.6103,0.49526,0
CP466722,0.6609,0.3986,0.4547,0.4676,0.566,-0.4801,0.50956,0
Y-39983,0.658,NA,0.4436,0.5133,0.4105,-0.4785,0.50635,1
SSR 69071,0.6579,NA,0.3258,0.6349,NA,-0.578,0.5395333333333333,2
BRD-K80230516,0.6571,NA,NA,0.3983,NA,-0.6059,0.5277000000000001,3
CHEMBL1718102,0.6514,NA,NA,NA,0.3237,-0.659,0.48755,3
SU 11274,0.6475,0.3386,0.3273,0.4407,0.36870000000000003,-0.5284,0.42456,0
N9-Isopropylolomoucine,0.6427,NA,NA,0.6312,0.4521,-0.5153,0.5753333333333334,2
PIK-93,0.6401,0.3979,NA,0.6095,0.5863,-0.5043,0.55845,1
Fluoropyruvate,0.6329,0.439,NA,0.4634,0.4912,-0.7074,0.506625,1
CP-724714,0.6325,NA,NA,0.5635,0.5078,-0.5199,0.5679333333333333,2
Calcitriol,0.6314,0.342,NA,0.4935,0.5859,-0.6212,0.5132,1
Linopirdine,0.6305,NA,0.4634,0.5003,0.4639,-0.6333,0.514525,1
AC1LWZG4,0.6305,NA,0.4477,NA,0.4799,-0.4763,0.5193666666666666,2
131780-47-7,0.6288,NA,NA,0.8403,0.4636,-0.4764,0.6442333333333333,2
Imatinib,0.6234,0.362,NA,0.4516,0.6738,-0.4892,0.5277,1
JZL-184,0.6218,0.3265,NA,NA,0.6349,-0.65,0.5277333333333334,2
Sirolimus,0.6207,0.4601,0.4222,0.5314,0.5922,-0.4747,0.52532,0
Simvastatin,0.6203,NA,0.4699,0.4767,0.4562,-0.4778,0.505775,1
CHEMBL416418,0.6097,0.4566,0.4916,0.4005,0.7182,-0.4946,0.53532,0
Seliciclib,0.6054,0.3404,0.4372,0.6342,0.548,-0.5407,0.51304,0
CGK733,0.6041,0.3271,0.4169,0.4349,0.406,-0.5113,0.4378,0
MLN 2238,0.6035,0.5116,0.4273,0.4626,0.4403,-0.4887,0.48906000000000005,0
CHEMBL3185054,0.6033,NA,NA,0.3477,NA,-0.6279,0.4755,3
AZD-8330,0.6025,0.3409,0.373,0.7018,0.4661,-0.6021,0.49686,0
869288-64-2,0.5987,0.52,0.378,0.5039,NA,-0.5099,0.50015,1
Saracatinib,0.5873,0.393,0.3815,0.4767,0.438,-0.485,0.45530000000000004,0
ABT737,0.5859,0.3475,0.4876,0.422,0.5289,-0.4752,0.47437999999999997,0
Valproic acid,0.5854,NA,0.4036,0.4087,0.6815,-0.6142,0.5198,1
TAE-684,0.5846,0.4167,0.4911,0.4694,0.4368,-0.4778,0.47972,0
GSK-461364,0.5842,0.396,0.3898,0.3789,0.4422,-0.4794,0.43822,0
GF-109203,0.582,0.3462,0.462,0.6273,0.3216,-0.6246,0.46782,0
CI-1040,0.5766,0.3859,0.4233,0.5202,0.502,-0.4844,0.48160000000000003,0
CBIOL_001848,0.5736,0.4323,0.468,0.3675,NA,-0.5336,0.46035000000000004,1
Broad-Sai-045,0.5715,NA,0.4202,0.5038,0.4095,-0.5012,0.47625,1
STK178014,0.5701,0.361,0.4397,0.43120000000000003,0.3543,-0.5001,0.43126000000000003,0
Elesclomol,0.5674,0.3532,NA,0.4106,0.3599,-0.478,0.422775,1
GMX1778,0.5649,NA,NA,NA,0.4068,-0.6884,0.48585,3
Phentolamine,0.5578,0.389,NA,NA,NA,-0.5342,0.4734,3
SPECTRUM_000898,0.5567,NA,NA,0.3949,NA,-0.8489,0.4758,3
Tyrphostin AG 538,0.5553,NA,NA,0.4119,0.4052,-0.8546,0.4574666666666667,2
SPOX1_000651,0.5548,0.365,0.4127,NA,NA,-0.481,0.44416666666666665,2
Phenytoin,0.5533,NA,NA,0.3365,0.3749,-0.6327,0.4215666666666667,2
Navitoclax,0.553,NA,0.3629,0.3704,0.7054,-0.5319,0.497925,1
Pinacidil,0.5522,NA,0.322,0.3907,0.3573,-0.4883,0.40555,1
Moxonidine,0.5456,0.3486,NA,NA,0.357,-0.53,0.41706666666666664,2
MLS003271344,0.5431,NA,NA,NA,0.4504,-0.6577,0.49675,3
AZD-1152-HQPA,0.5431,NA,0.4547,0.8628,0.4974,-0.6223,0.5895,1
BRD-K64106162,0.5425,NA,NA,NA,0.3258,-0.4758,0.43415,3
TL_HRAS26,0.5419,0.3691,0.4571,0.7781,0.553,-0.4904,0.53984,0
CI-218872,0.5418,0.3528,0.3426,0.3846,NA,-0.6091,0.40545,1
SCHEMBL570779,0.5413,NA,0.3914,0.4872,0.5973,-0.5566,0.5043,1
MLS002264450,0.5401,0.3583,NA,0.3342,0.331,-0.6088,0.3909,1
BRD-K23021002,0.5335,NA,NA,0.4446,0.433,-0.7971,0.47036666666666666,2
Pictilisib,0.5328,0.3958,0.491,0.4885,0.6216,-0.4773,0.5059400000000001,0
MLS003271340,0.5328,0.4169,0.3746,0.4949,0.54990000000000006,-0.8609,0.47382,0
BL003-049-HDAC3,0.5317,NA,NA,0.5743,0.5123,-0.5126,0.5394333333333333,2
SCHEMBL6874948,0.5312,NA,0.3219,0.4547,0.4217,-0.5014,0.432375,1
"Haematoxylone, Tetramethyl-",0.5292,NA,NA,0.3728,0.603,-0.6901,0.5016666666666667,2
SCHEMBL1564574,0.526,0.3453,0.3836,0.6722,0.499,-0.5773,0.48522,0
Nicardipine,0.5245,0.4412,0.3294,0.4707,0.429,-0.6038,0.43896,0
HMN-214,0.5242,0.3859,0.5915,0.6764,0.6705,-0.4775,0.5697,0
BDBM50127227,0.5242,0.3772,NA,0.4558,0.468,-0.4947,0.4563,1
CHEMBL1434137,0.524,NA,0.3804,0.524,0.3522,-0.4777,0.44515000000000005,1
KU0060648,0.5218,0.3535,0.3591,0.4569,0.43,-0.48,0.42425999999999997,0
SCHEMBL15422533,0.5215,0.3883,0.4109,0.5004,NA,-0.5207,0.455275,1
Palbociclib,0.5212,0.3381,0.4184,0.4625,0.5439,-0.5193,0.45682,0
LY-294002,0.5207,0.4902,0.6446,0.517,0.5364,-0.482,0.54178,0
BRD-A69951442-001-01-3,0.5201,NA,0.3606,0.438,0.3786,-0.6111,0.424325,1
Reichsteins Substance S,0.5196,NA,NA,0.3974,NA,-0.7897,0.45849999999999996,3
Withaferin A,0.5194,0.3552,0.4739,0.7403,0.6025,-0.4748,0.53826,0
PP 3,0.5192,NA,NA,0.4333,0.3947,-0.4926,0.44906666666666667,2
"3-{3-[(1,3-Benzothiazol-2-ylsulfanyl)methyl]-4-hydroxy-5-methoxyphenyl}-2-cyanoprop-2-enamide",0.5188,NA,0.3892,0.3897,NA,-0.4988,0.43256666666666665,2
AKT Inhibitor VIII,0.5159,0.3409,0.4079,0.5053,0.5484,-0.4793,0.46368,0
Selumetinib,0.514,0.4407,0.5145,0.5513,0.5068,-0.5146,0.50546,0
GSK J4,0.5128,NA,0.3426,0.3981,0.3448,-0.5617,0.399575,1
QS-11,0.5126,NA,0.4639,0.6416,0.4962,-0.6384,0.528575,1
AC1O9BJ3,0.5121,NA,0.3218,NA,0.3404,-0.4827,0.3914333333333333,2
4-Hydroxytamoxifen,0.5118,NA,0.3713,NA,0.3559,-0.6589,0.41300000000000003,2
SCHEMBL13991002,0.5106,0.3824,NA,0.4537,0.3231,-0.4899,0.41745,1
Alpelisib,0.5096,0.3576,0.4791,0.4208,0.4999,-0.6206,0.4534,0
Tamoxifen,0.5077,0.3815,0.462,0.6796,0.5765,-0.475,0.52146,0
Dovitinib,0.5071,0.4186,0.4393,0.6968,0.4578,-0.4893,0.50392,0
Arctigenin,0.5068,NA,NA,0.4392,0.3261,-0.5178,0.4240333333333333,2
SCHEMBL16226502,0.5066,NA,0.3706,0.561,0.4851,-0.4789,0.480825,1
LY 2183240,0.5059,0.3982,0.4139,0.5659,0.4869,-0.4744,0.47415999999999997,0
PJ34,0.5052,0.4349,NA,0.4944,0.3973,-0.544,0.45794999999999997,1
PIK 90,0.5038,0.3645,0.3479,0.4547,0.3376,-0.4738,0.4017,0
83002-04-4,0.5021,NA,NA,0.414,0.4421,-0.4908,0.4527333333333333,2
rifampicin,0.5015,NA,0.4352,0.6374,0.5763,-0.5227,0.5376,1
CAY10618,0.5014,0.4024,NA,0.415,0.4455,-0.5439,0.441075,1
