Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Alternate_BioProject_ID,Alternate_Taxon_ID
SRR1190365,RNA-Seq,202,2344201516,PRJNA233943,SAMN02688745,1615202680,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX487459,Illumina HiSeq 2500,IL100040000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-Gleevec-24hrs,SRP040070,233941,1335626
SRR1190366,RNA-Seq,202,2302532350,PRJNA233943,SAMN02688745,1589252981,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX487457,Illumina HiSeq 2500,IL100040000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-Gleevec-24hrs,SRP040070,233941,1335626
SRR1190367,RNA-Seq,202,2298482654,PRJNA233943,SAMN02688745,1589906809,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX487458,Illumina HiSeq 2500,IL100040000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-Gleevec-24hrs,SRP040070,233941,1335626
SRR1190368,RNA-Seq,202,2326216850,PRJNA233943,SAMN02688745,1607642291,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX487455,Illumina HiSeq 2500,IL100040000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-Gleevec-24hrs,SRP040070,233941,1335626
SRR1190369,RNA-Seq,202,2321974244,PRJNA233943,SAMN02688745,1607544219,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX487456,Illumina HiSeq 2500,IL100040000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-Gleevec-24hrs,SRP040070,233941,1335626
SRR1190370,RNA-Seq,202,2324384508,PRJNA233943,SAMN02688745,1608067744,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX487454,Illumina HiSeq 2500,IL100040000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-Gleevec-24hrs,SRP040070,233941,1335626
SRR1190371,RNA-Seq,202,2318488330,PRJNA233943,SAMN02688745,1599468019,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX487453,Illumina HiSeq 2500,IL100040000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-Gleevec-24hrs,SRP040070,233941,1335626
SRR1190372,RNA-Seq,202,2309307026,PRJNA233943,SAMN02688745,1601983147,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX487452,Illumina HiSeq 2500,IL100040000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-Gleevec-24hrs,SRP040070,233941,1335626
SRR1190460,RNA-Seq,202,3172820666,PRJNA233943,SAMN02688792,2164803061,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX487555,Illumina HiSeq 2500,IL100040004,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-Gleevec-48hrs,SRP040070,233941,1335626
SRR1190461,RNA-Seq,202,3117317934,PRJNA233943,SAMN02688792,2133998009,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX487554,Illumina HiSeq 2500,IL100040004,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-Gleevec-48hrs,SRP040070,233941,1335626
SRR1190462,RNA-Seq,202,3106101278,PRJNA233943,SAMN02688792,2131474392,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX487553,Illumina HiSeq 2500,IL100040004,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-Gleevec-48hrs,SRP040070,233941,1335626
SRR1190463,RNA-Seq,202,3147597936,PRJNA233943,SAMN02688792,2157923905,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX487552,Illumina HiSeq 2500,IL100040004,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-Gleevec-48hrs,SRP040070,233941,1335626
SRR1190464,RNA-Seq,202,3149514108,PRJNA233943,SAMN02688792,2162411145,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX487551,Illumina HiSeq 2500,IL100040004,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-Gleevec-48hrs,SRP040070,233941,1335626
SRR1190465,RNA-Seq,202,3143160602,PRJNA233943,SAMN02688792,2156804588,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX487550,Illumina HiSeq 2500,IL100040004,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-Gleevec-48hrs,SRP040070,233941,1335626
SRR1190466,RNA-Seq,202,3125866372,PRJNA233943,SAMN02688792,2138303650,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX487549,Illumina HiSeq 2500,IL100040004,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-Gleevec-48hrs,SRP040070,233941,1335626
SRR1190467,RNA-Seq,202,3113665976,PRJNA233943,SAMN02688792,2142595013,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX487548,Illumina HiSeq 2500,IL100040004,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-Gleevec-48hrs,SRP040070,233941,1335626
SRR1190502,RNA-Seq,202,3034626002,PRJNA233943,SAMN02688873,2087012018,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488072,Illumina HiSeq 2500,IL100039998,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-IFNbeta-24hrs,SRP040070,233941,1335626
SRR1190503,RNA-Seq,202,2978909352,PRJNA233943,SAMN02688873,2052291691,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488071,Illumina HiSeq 2500,IL100039998,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-IFNbeta-24hrs,SRP040070,233941,1335626
SRR1190504,RNA-Seq,202,2975253152,PRJNA233943,SAMN02688873,2054603258,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488070,Illumina HiSeq 2500,IL100039998,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-IFNbeta-24hrs,SRP040070,233941,1335626
SRR1190505,RNA-Seq,202,3003395388,PRJNA233943,SAMN02688873,2071955736,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488076,Illumina HiSeq 2500,IL100039998,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-IFNbeta-24hrs,SRP040070,233941,1335626
SRR1190506,RNA-Seq,202,2998868366,PRJNA233943,SAMN02688873,2072569776,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488075,Illumina HiSeq 2500,IL100039998,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-IFNbeta-24hrs,SRP040070,233941,1335626
SRR1190507,RNA-Seq,202,2999553348,PRJNA233943,SAMN02688873,2071399774,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488074,Illumina HiSeq 2500,IL100039998,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-IFNbeta-24hrs,SRP040070,233941,1335626
SRR1190508,RNA-Seq,202,2998406594,PRJNA233943,SAMN02688873,2064941793,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488073,Illumina HiSeq 2500,IL100039998,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-IFNbeta-24hrs,SRP040070,233941,1335626
