SignatureId	Perturbagen	GeneTargets	Concentration	CellLine	Time	is_exemplar
LINCSCP_10346	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	A673	6h	1
LINCSCP_104968	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	HELA	24h	
LINCSCP_104969	Minoxidil	ABCC9|KCNJ11|KCNJ8	3.33uM	HELA	24h	
LINCSCP_104970	Minoxidil	ABCC9|KCNJ11|KCNJ8	1.11uM	HELA	24h	
LINCSCP_121765	Minoxidil	ABCC9|KCNJ11|KCNJ8	1.11uM	HT29	24h	
LINCSCP_121768	Minoxidil	ABCC9|KCNJ11|KCNJ8	0.04uM	HT29	24h	
LINCSCP_12798	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	DV90	6h	1
LINCSCP_138344	Minoxidil	ABCC9|KCNJ11|KCNJ8	1.11uM	MCF7	24h	
LINCSCP_138347	Minoxidil	ABCC9|KCNJ11|KCNJ8	0.04uM	MCF7	24h	
LINCSCP_14210	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	HA1E	6h	0
LINCSCP_15267	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	HA1E	24h	1
LINCSCP_15554	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	HA1E	6h	0
LINCSCP_156547	Minoxidil	ABCC9|KCNJ11|KCNJ8	3.33uM	PC3	24h	
LINCSCP_156549	Minoxidil	ABCC9|KCNJ11|KCNJ8	0.37uM	PC3	24h	
LINCSCP_156551	Minoxidil	ABCC9|KCNJ11|KCNJ8	0.04uM	PC3	24h	
LINCSCP_170148	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	YAPC	24h	
LINCSCP_170150	Minoxidil	ABCC9|KCNJ11|KCNJ8	1.11uM	YAPC	24h	
LINCSCP_170152	Minoxidil	ABCC9|KCNJ11|KCNJ8	0.12uM	YAPC	24h	
LINCSCP_170153	Minoxidil	ABCC9|KCNJ11|KCNJ8	0.04uM	YAPC	24h	
LINCSCP_17657	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	HCC15	6h	1
LINCSCP_212149	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	HA1E	6h	0
LINCSCP_21654	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	HEPG2	6h	0
LINCSCP_224124	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	HT29	6h	0
LINCSCP_227899	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	HT29	6h	0
LINCSCP_234723	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	LOVO	6h	1
LINCSCP_242908	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	MCF7	24h	0
LINCSCP_25484	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	HT29	24h	1
LINCSCP_267279	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	PC3	24h	0
LINCSCP_272009	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	PC3	24h	1
LINCSCP_272476	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	PC3	24h	0
LINCSCP_289028	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	U937	6h	1
LINCSCP_30499	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	MCF7	24h	1
LINCSCP_33713	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	MCF7	6h	0
LINCSCP_34363	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	MCF7	6h	0
LINCSCP_39733	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	MDST8	6h	1
LINCSCP_40187	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	NCIH508	6h	1
LINCSCP_4494	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	A549	24h	1
LINCSCP_50175	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	PHH	24h	1
LINCSCP_50761	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	RKO	6h	1
LINCSCP_50935	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	RMGI	6h	1
LINCSCP_51105	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	RMUGS	6h	1
LINCSCP_54176	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	SW620	6h	1
LINCSCP_54503	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	SW948	6h	1
LINCSCP_54901	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	THP1	6h	1
LINCSCP_56122	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	VCAP	6h	0
LINCSCP_56838	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	VCAP	24h	1
LINCSCP_57079	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	VCAP	6h	0
LINCSCP_663	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	A375	24h	1
LINCSCP_74812	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	A375	24h	
LINCSCP_74813	Minoxidil	ABCC9|KCNJ11|KCNJ8	3.33uM	A375	24h	
LINCSCP_74814	Minoxidil	ABCC9|KCNJ11|KCNJ8	1.11uM	A375	24h	
LINCSCP_74816	Minoxidil	ABCC9|KCNJ11|KCNJ8	0.12uM	A375	24h	
LINCSCP_74817	Minoxidil	ABCC9|KCNJ11|KCNJ8	0.04uM	A375	24h	
LINCSCP_7662	Minoxidil	ABCC9|KCNJ11|KCNJ8	10uM	A549	6h	0
LINCSCP_93159	Minoxidil	ABCC9|KCNJ11|KCNJ8	3.33uM	HA1E	24h	
