SignatureId	Perturbagen	GeneTargets	Concentration	CellLine	Time	is_exemplar
LINCSCP_107927	Meclofenamic acid	ALOX5|PTGS1|PTGS2	10uM	HELA	24h	
LINCSCP_107929	Meclofenamic acid	ALOX5|PTGS1|PTGS2	1.11uM	HELA	24h	
LINCSCP_124729	Meclofenamic acid	ALOX5|PTGS1|PTGS2	1.11uM	HT29	24h	
LINCSCP_141311	Meclofenamic acid	ALOX5|PTGS1|PTGS2	10uM	MCF7	24h	
LINCSCP_141312	Meclofenamic acid	ALOX5|PTGS1|PTGS2	3.33uM	MCF7	24h	
LINCSCP_141313	Meclofenamic acid	ALOX5|PTGS1|PTGS2	1.11uM	MCF7	24h	
LINCSCP_141315	Meclofenamic acid	ALOX5|PTGS1|PTGS2	0.12uM	MCF7	24h	
LINCSCP_159512	Meclofenamic acid	ALOX5|PTGS1|PTGS2	10uM	PC3	24h	
LINCSCP_159513	Meclofenamic acid	ALOX5|PTGS1|PTGS2	3.33uM	PC3	24h	
LINCSCP_159514	Meclofenamic acid	ALOX5|PTGS1|PTGS2	1.11uM	PC3	24h	
LINCSCP_159517	Meclofenamic acid	ALOX5|PTGS1|PTGS2	0.04uM	PC3	24h	
LINCSCP_173105	Meclofenamic acid	ALOX5|PTGS1|PTGS2	10uM	YAPC	24h	
LINCSCP_173106	Meclofenamic acid	ALOX5|PTGS1|PTGS2	3.33uM	YAPC	24h	
LINCSCP_173107	Meclofenamic acid	ALOX5|PTGS1|PTGS2	1.11uM	YAPC	24h	
LINCSCP_173108	Meclofenamic acid	ALOX5|PTGS1|PTGS2	0.37uM	YAPC	24h	
LINCSCP_18424	Meclofenamic acid	ALOX5|PTGS1|PTGS2	10uM	HCC515	6h	1
LINCSCP_193472	Meclofenamic acid	ALOX5|PTGS1|PTGS2	10uM	A549	6h	1
LINCSCP_208353	Meclofenamic acid	ALOX5|PTGS1|PTGS2	10uM	HA1E	24h	0
LINCSCP_213916	Meclofenamic acid	ALOX5|PTGS1|PTGS2	10uM	HCC515	24h	0
LINCSCP_265153	Meclofenamic acid	ALOX5|PTGS1|PTGS2	10uM	PC3	24h	0
LINCSCP_27126	Meclofenamic acid	ALOX5|PTGS1|PTGS2	10uM	HT29	6h	1
LINCSCP_289849	Meclofenamic acid	ALOX5|PTGS1|PTGS2	10uM	VCAP	6h	1
LINCSCP_34388	Meclofenamic acid	ALOX5|PTGS1|PTGS2	10uM	MCF7	6h	1
LINCSCP_56006	Meclofenamic acid	ALOX5|PTGS1|PTGS2	10uM	VCAP	24h	0
LINCSCP_77764	Meclofenamic acid	ALOX5|PTGS1|PTGS2	10uM	A375	24h	
LINCSCP_77765	Meclofenamic acid	ALOX5|PTGS1|PTGS2	3.33uM	A375	24h	
LINCSCP_77766	Meclofenamic acid	ALOX5|PTGS1|PTGS2	1.11uM	A375	24h	
LINCSCP_77768	Meclofenamic acid	ALOX5|PTGS1|PTGS2	0.12uM	A375	24h	
LINCSCP_96097	Meclofenamic acid	ALOX5|PTGS1|PTGS2	10uM	HA1E	24h	
LINCSCP_96098	Meclofenamic acid	ALOX5|PTGS1|PTGS2	3.33uM	HA1E	24h	
LINCSCP_96099	Meclofenamic acid	ALOX5|PTGS1|PTGS2	1.11uM	HA1E	24h	
LINCSCP_96100	Meclofenamic acid	ALOX5|PTGS1|PTGS2	0.37uM	HA1E	24h	
